protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;job_id;start;stop;feature;mdi;mdi_std
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;0;0.0;0.0
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;1;0.0;0.0
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;2;0.0;0.0
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;3;0.03041811131650172;0.06255869966413503
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;4;0.016526284090694517;0.019448477796766773
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;5;0.008094832981828433;0.009359143327724377
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;6;0.006516840371242765;0.008117809882780772
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;7;0.01585813695983687;0.02062739387220644
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;8;0.024036877601063062;0.02961005135139922
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;9;0.009552809505525745;0.017302434504924472
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;10;0.008602242170495775;0.015426635795884205
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;11;0.002481303758048089;0.004806668535165894
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;12;0.0021189952619875153;0.00367247489167667
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;13;0.0017436790560062328;0.0034122588119716193
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;14;0.0021059840110299716;0.004557266436954853
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;15;0.002273665195677928;0.00481535719388711
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;16;0.002182726177083168;0.003930396241013131
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;17;0.0019083372446222656;0.004036225917079985
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;18;0.002106509069474652;0.004632676859042332
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;19;0.004238528696642404;0.006521879764284205
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;20;0.0010298965767939516;0.003009762967850267
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;21;0.000995711858429088;0.002522439290902701
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;22;0.00005113168646848056;0.00012150921136808978
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;23;0.00002880783806381942;0.0000742388819728798
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;24;0.000014798252139449395;0.000054130281412949006
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;25;0.000059288743997212226;0.00027388761905925774
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;26;0.14428874047426457;0.15650502326501595
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;27;0.0030707257694594812;0.00547403865472644
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;28;0.0019216821436830842;0.004375611232493379
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;29;0.0020667194754362805;0.004777115479237021
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;30;0.0024879901122444687;0.006863122213988688
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;31;0.0019139678254657992;0.0032926167424369972
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;32;0.00251379937597233;0.005204683295570315
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;33;0.00019036777084173911;0.00042086318214637296
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;34;0.0001496582787929024;0.00033460415070004853
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;35;0.00008861254289031495;0.0004233133504753077
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;36;0.000023758746635370563;0.00004740137463701983
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;37;0.015011724325657573;0.020742861079373134
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;38;0.001350695830632712;0.0032417208931777696
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;39;0.0015201945751547132;0.003564840174884116
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;40;0.0013060098463467302;0.0035356168376000346
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;41;0.0017962283123789224;0.004059791667197307
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;42;0.00550848323211971;0.008187611107763556
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;43;0.0018223343157832991;0.0030727170951862664
oscore-base;schc;peer_based;1024;d2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759441488;1759441751;44;0.00046823564713370183;0.0012869553443718119
