protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,nb,,8937,2298,5377,17896,0.7775878057262084,0.6243537795165572,0.7954606141522029,0.6995968531057967
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,9667,1568,1012,22261,0.925234728178973,0.9052345725255174,0.8604361370716511,0.8822670438988774
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,9642,1593,1814,21459,0.9012692708937058,0.8416550279329609,0.8582109479305741,0.8498523643735402
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,svm,C=0.01,9636,1599,890,22383,0.9278717978439782,0.9154474634239027,0.8576769025367156,0.8856210652084003
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,dt,,10569,666,924,22349,0.9539237278312276,0.9196032367528061,0.9407209612817089,0.9300422386483632
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9099,2136,186,23087,0.9327112553610757,0.979967689822294,0.8098798397863819,0.8868421052631579
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,2,0.2,nb,,8934,2256,5437,17881,0.7770661875507129,0.6216686382297683,0.7983914209115281,0.699033684128164
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,2,0.2,lr,max_iter=5000,9618,1572,1061,22257,0.9236988524400139,0.9006461279145987,0.8595174262734584,0.8796012620604509
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,2,0.2,knn,algorithm=brute,9645,1545,1826,21492,0.9023125072446969,0.8408159707087438,0.8619302949061662,0.8512422223202859
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,2,0.2,svm,C=0.01,9601,1589,967,22351,0.9259302190796337,0.9084973504920515,0.8579982126899017,0.8825259674602445
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,2,0.2,dt,,10527,663,946,22372,0.9533731308682045,0.9175455417066155,0.9407506702412869,0.9290032211092971
oscore-base,schc,peer_based,1024,d2,json,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",9101,2089,212,23106,0.9333198098991539,0.9772361215505208,0.8133154602323504,0.887772521094474
