protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,nb,,7640,9913,11280,52777,0.7403136870481558,0.40380549682875266,0.43525323306557284,0.4189400378362076
oscore-base,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,9100,8453,3643,60414,0.8517828697463546,0.7141175547359334,0.51842989802313,0.600739371534196
oscore-base,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,9709,7844,3359,60698,0.8627251562308541,0.7429599020508112,0.5531248219677548,0.6341399693021129
oscore-base,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,svm,C=0.01,8908,8645,3378,60679,0.8526773679696116,0.725052905746378,0.5074915968780266,0.5970709474178089
oscore-base,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,dt,,12424,5129,6257,57800,0.8604827839725524,0.6650607569187945,0.7077992365977326,0.6857647513385219
oscore-base,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",8581,8972,2631,61426,0.8578237961034187,0.765340706386015,0.4888623027402723,0.5966278463410395
oscore-base,schc,peer_based,64,d2,json,dns_cbor,binvec,2,0.2,nb,,7739,9817,11221,52833,0.7422129640975371,0.40817510548523206,0.4408179539758487,0.42386898893635666
oscore-base,schc,peer_based,64,d2,json,dns_cbor,binvec,2,0.2,lr,max_iter=5000,9110,8446,3681,60373,0.8514030143364784,0.7122195293565788,0.5189109136477558,0.6003888357992553
oscore-base,schc,peer_based,64,d2,json,dns_cbor,binvec,2,0.2,knn,algorithm=brute,9884,7672,3323,60731,0.8652738634971204,0.7483910047701976,0.5629984051036683,0.6425901245002112
oscore-base,schc,peer_based,64,d2,json,dns_cbor,binvec,2,0.2,svm,C=0.01,8910,8646,3392,60662,0.8524935669648327,0.7242724760201593,0.5075187969924813,0.5968249715319177
oscore-base,schc,peer_based,64,d2,json,dns_cbor,binvec,2,0.2,dt,,12540,5016,6294,57760,0.8614140423967651,0.6658171392163109,0.7142857142857143,0.6892003297609234
oscore-base,schc,peer_based,64,d2,json,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",8728,8828,2604,61450,0.8599191275578973,0.7702082597952701,0.49715197083618134,0.6042647466075879
