protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,1,0.2,nb,,8945,2412,4760,18350,0.7919169060260539,0.652681503101058,0.7876199700625165,0.7138297023382013
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,10502,855,456,22654,0.9619636173731395,0.9583865668917686,0.9247160341639518,0.9412502800806632
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,10577,780,1149,21961,0.9440334232744364,0.9020126215248166,0.9313198908162367,0.9164320062383572
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,1,0.2,svm,C=0.01,10513,844,385,22725,0.9643427046160096,0.9646724169572398,0.9256845998062869,0.9447764547292743
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,1,0.2,dt,,10726,631,864,22246,0.9566251777062117,0.9254529767040552,0.9444395526987761,0.9348498714428901
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9327,2030,102,23008,0.9381437316853802,0.9891823098950048,0.8212556132781544,0.8974309631482729
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,2,0.2,nb,,8937,2332,4768,18430,0.79400586067833,0.6520977745348413,0.7930606087496672,0.715704332505806
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,2,0.2,lr,max_iter=5000,10443,826,464,22734,0.9625728958133867,0.9574585128816356,0.9267015706806283,0.9418290043290043
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,2,0.2,knn,algorithm=brute,10463,806,1248,21950,0.9404067658920127,0.89343352403723,0.9284763510515573,0.9106179286335945
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,2,0.2,svm,C=0.01,10413,856,383,22815,0.9640525720254156,0.9645238977399037,0.9240394001242346,0.9438477226376615
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,2,0.2,dt,,10640,629,905,22293,0.9554936606028955,0.9216110870506713,0.9441831573342799,0.93276058560533
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",9300,1969,111,23087,0.9396524211564685,0.988205291679949,0.8252728724820303,0.8994197292069632
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,3,0.2,nb,,8885,2314,4729,18539,0.7956596164447153,0.6526369913324519,0.793374408429324,0.7161568532624027
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,3,0.2,lr,max_iter=5000,10403,796,479,22789,0.9630080946992776,0.9559823561845249,0.9289222251986785,0.94225804990716
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,3,0.2,knn,algorithm=brute,10485,714,1191,22077,0.9447297414918617,0.8979958890030832,0.9362443075274578,0.9167213114754098
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,3,0.2,svm,C=0.01,10409,790,414,22854,0.9650680360924943,0.9617481289845698,0.9294579873202965,0.9453273998728544
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,3,0.2,dt,,10562,637,916,22352,0.9549424086807671,0.920195155950514,0.9431199214215555,0.9315165145301406
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",9246,1953,97,23171,0.9405228189282502,0.9896178957508295,0.8256094294133405,0.9002044591568494
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,4,0.2,nb,,8734,2393,4637,18703,0.7960367888124873,0.6532046967317329,0.7849375393187742,0.7130377990040003
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,4,0.2,lr,max_iter=5000,10297,830,428,22912,0.9635013201032872,0.96009324009324,0.9254066684640964,0.9424308987735677
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,4,0.2,knn,algorithm=brute,10356,771,1178,22162,0.9434531580932486,0.8978671753077857,0.93070908600701,0.9139932041833988
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,4,0.2,svm,C=0.01,10282,845,348,22992,0.9653871819421476,0.9672624647224836,0.9240585962074234,0.9451670726662683
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,4,0.2,dt,,10495,632,811,22529,0.9581338671773,0.9282681761896339,0.9432012222521794,0.9356751214728302
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",9115,2012,64,23276,0.939768474192706,0.9930275629153502,0.8191785746382673,0.8977642076233625
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,5,0.2,nb,,8784,2421,4829,18433,0.7896538718194215,0.6452655549842062,0.7839357429718875,0.7078733177532436
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,5,0.2,lr,max_iter=5000,10369,836,431,22831,0.9632402007717527,0.9600925925925926,0.9253904506916555,0.942422176778005
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,5,0.2,knn,algorithm=brute,10462,743,1231,22031,0.9427278266167639,0.8947233387496792,0.933690316822847,0.9137915975194341
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,5,0.2,svm,C=0.01,10386,819,382,22880,0.9651550758696724,0.9645245170876672,0.9269076305220884,0.9453420106494334
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,5,0.2,dt,,10579,626,833,22429,0.9576696550323498,0.927006659656502,0.94413208389112,0.93549100234337
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",9201,2004,102,23160,0.9388980764209244,0.9890357949048694,0.8211512717536814,0.8973083674663546
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,6,0.2,nb,,8840,2347,4819,18461,0.7920909855804102,0.6471923274031774,0.7902029140967194,0.711583353457297
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,6,0.2,lr,max_iter=5000,10350,837,462,22818,0.9623117764818522,0.9572697003329633,0.9251810136765889,0.9409518614482476
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,6,0.2,knn,algorithm=brute,10425,762,1213,22067,0.9426988133577044,0.895772469496477,0.9318852239206221,0.9134720700985761
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,6,0.2,svm,C=0.01,10360,827,395,22885,0.9645457974294253,0.9632728963272896,0.9260749083757933,0.9443077203536596
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,6,0.2,dt,,10525,662,846,22434,0.9562480053384397,0.925600211063231,0.9408241709126665,0.9331501019593935
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,6,0.2,rf,"n_estimators=250,max_depth=9",9192,1995,104,23176,0.9391011692343401,0.9888123924268503,0.8216680075087155,0.8975247766440463
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,7,0.2,nb,,8899,2349,4759,18460,0.7937737546058549,0.6515595255527896,0.7911628733997155,0.7146069220268209
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,7,0.2,lr,max_iter=5000,10465,783,464,22755,0.9638204659529405,0.9575441485954799,0.9303876244665719,0.9437705731162916
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,7,0.2,knn,algorithm=brute,10490,758,1193,22026,0.9433951315751299,0.8978858169990585,0.9326102418207681,0.9149186690506301
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,7,0.2,svm,C=0.01,10438,810,411,22808,0.9645748106884846,0.9621163240851691,0.9279871977240398,0.944743630357062
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,7,0.2,dt,,10649,599,862,22357,0.957611628514231,0.9251151072886804,0.9467460881934566,0.9358056153609561
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,7,0.2,rf,"n_estimators=250,max_depth=9",9265,1983,88,23131,0.939913540488003,0.9905912541430557,0.8237019914651493,0.8994708994708994
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,8,0.2,nb,,8810,2401,4728,18528,0.7931644761656077,0.6507608213916384,0.7858353402907858,0.711947957493232
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,8,0.2,lr,max_iter=5000,10374,837,467,22789,0.9621667101865553,0.9569227931002675,0.9253411827669253,0.9408670415381825
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,8,0.2,knn,algorithm=brute,10410,801,1171,22085,0.9427858531348826,0.8988861065538382,0.9285523146909286,0.9134784134784135
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,8,0.2,svm,C=0.01,10377,834,390,22866,0.9644877709113064,0.9637782112008916,0.9256087770939256,0.9443079443079443
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,8,0.2,dt,,10529,682,831,22425,0.9561029390431427,0.9268485915492958,0.9391668896619392,0.9329670816534491
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,8,0.2,rf,"n_estimators=250,max_depth=9",9214,1997,89,23167,0.9394783416021122,0.9904331935934645,0.8218713763268218,0.8983133469825485
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,9,0.2,nb,,8769,2386,4770,18542,0.7923811181710041,0.6476844670950587,0.7861048857014792,0.7102130072082288
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,9,0.2,lr,max_iter=5000,10326,829,472,22840,0.9622537499637335,0.9562882015187998,0.9256835499775885,0.940737029107639
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,9,0.2,knn,algorithm=brute,10411,744,1217,22095,0.9431049989845359,0.8953388372893016,0.9333034513670999,0.9139270508712637
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,9,0.2,svm,C=0.01,10321,834,410,22902,0.9639075057301186,0.9617929363526232,0.9252353204840879,0.9431600109659143
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,9,0.2,dt,,10559,596,889,22423,0.9569153102968057,0.9223445143256463,0.9465710443747198,0.9343007565367429
oscore-base,schc,,1024,d2,json,dns_cbor,binvec,9,0.2,rf,"n_estimators=250,max_depth=9",9156,1999,106,23206,0.9389270896799837,0.9885553876052688,0.8207978484984312,0.896899642454817
