protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,1,1016,0,17698,0,63900,0.7831074291036545,nan,0.0,0.0
oscore-base,schc,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,2,1016,0,17681,0,63917,0.7833157675433221,nan,0.0,0.0
oscore-base,schc,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,3,1016,0,17530,0,64068,0.7851663030956642,nan,0.0,0.0
oscore-base,schc,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,4,1016,0,17715,0,63883,0.7828990906639869,nan,0.0,0.0
oscore-base,schc,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,5,1016,0,17690,0,63908,0.7832054707223216,nan,0.0,0.0
oscore-base,schc,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,6,1016,0,17575,0,64023,0.7846148189906615,nan,0.0,0.0
oscore-base,schc,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,7,1016,17443,0,0,64155,1.0,1.0,1.0,1.0
oscore-base,schc,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,8,1016,17578,0,0,64020,1.0,1.0,1.0,1.0
oscore-base,schc,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,9,1016,17663,0,0,63935,1.0,1.0,1.0,1.0
oscore-base,schc,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,10,1016,17685,0,0,63913,1.0,1.0,1.0,1.0
oscore-base,schc,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,11,1016,17638,0,0,63960,1.0,1.0,1.0,1.0
oscore-base,schc,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,12,1016,17745,0,0,63853,1.0,1.0,1.0,1.0
oscore-base,schc,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,13,1016,17672,0,0,63926,1.0,1.0,1.0,1.0
oscore-base,schc,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,14,1016,17557,0,0,64041,1.0,1.0,1.0,1.0
oscore-base,schc,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,15,1016,17741,0,0,63857,1.0,1.0,1.0,1.0
oscore-base,schc,,64,d2,json,dns_cbor,binvec,1,0.2,dt,,16,1016,17553,0,0,64045,1.0,1.0,1.0,1.0
