protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,1,1016,0,17270,0,41890,0.7080797836375929,nan,0.0,0.0
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,2,1016,0,17377,0,41783,0.7062711291413117,nan,0.0,0.0
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,3,1016,0,17495,0,41665,0.7042765382014875,nan,0.0,0.0
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,4,1016,0,17398,0,41762,0.7059161595672752,nan,0.0,0.0
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,5,1016,0,17231,0,41929,0.708739012846518,nan,0.0,0.0
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,6,1016,0,17423,0,41737,0.7054935767410413,nan,0.0,0.0
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,7,1016,0,17300,0,41860,0.7075726842461122,nan,0.0,0.0
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,8,1016,0,17368,0,41792,0.7064232589587559,nan,0.0,0.0
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,9,1016,0,17207,0,41953,0.7091446923597025,nan,0.0,0.0
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,10,1016,0,17346,0,41814,0.7067951318458418,nan,0.0,0.0
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,11,1016,0,17483,0,41677,0.7044793779580798,nan,0.0,0.0
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,12,1016,0,17281,0,41879,0.70789384719405,nan,0.0,0.0
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,13,1016,0,17373,0,41787,0.7063387423935091,nan,0.0,0.0
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,14,1016,0,17356,0,41804,0.7066260987153482,nan,0.0,0.0
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,15,1016,0,17228,0,41932,0.708789722785666,nan,0.0,0.0
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,16,1016,0,17447,0,41713,0.7050878972278567,nan,0.0,0.0
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,17,1016,0,17330,0,41830,0.7070655848546316,nan,0.0,0.0
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,18,1016,6,17271,6,41877,0.7079614604462474,0.5,0.0003472825143254037,0.0006940829429116779
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,19,1016,70,17187,82,41821,0.7080966869506423,0.4605263157894737,0.004056324969577562,0.008041817450743867
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,20,1016,174,17239,269,41478,0.7040567951318458,0.3927765237020316,0.009992534313443978,0.019489247311827957
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,21,1016,852,16481,1056,40771,0.7035665990534145,0.44654088050314467,0.04915479143829689,0.08856088560885608
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,22,1016,2015,15049,2395,39701,0.7051386071670047,0.45691609977324266,0.11808485700890764,0.18766880879202757
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,23,1016,3255,13943,3865,38097,0.6989858012170386,0.4571629213483146,0.18926619374345854,0.26770293609671847
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,24,1016,3901,13455,5170,36634,0.6851757944557133,0.43005181347150256,0.22476377045402166,0.29522836492980664
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,25,1016,4544,12764,6622,35230,0.6723123732251521,0.40694966863693355,0.2625375548879131,0.31916836412165484
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,26,1016,5981,11337,8145,33697,0.6706896551724137,0.4234036528387371,0.34536320591292297,0.3804223381249205
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,27,1016,6160,11174,11575,30251,0.6154665314401623,0.347335776712715,0.3553709472712588,0.35130742250990904
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,28,1016,6242,11075,11464,30379,0.6190162271805274,0.3525358635490794,0.360455044176243,0.3564514747451675
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,29,1016,6206,11121,11455,30378,0.6183908045977011,0.35139573070607555,0.3581693311017487,0.3547502000685949
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,30,1016,6155,11164,11297,30544,0.6203346855983772,0.3526816410726564,0.355390034066632,0.3540306577320181
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,31,1016,6282,10994,11562,30322,0.6187288708586883,0.35205110961667785,0.3636258393146562,0.35774487471526195
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,32,1016,6203,11081,11521,30355,0.6179513184584179,0.3499774317309862,0.3588868317519093,0.35437614259597805
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,33,1016,6345,10999,11507,30309,0.6195740365111562,0.35542236164015234,0.3658325645756458,0.36055233549266963
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,34,1016,6757,10610,11974,29819,0.6182555780933063,0.36073888206716137,0.3890712270397881,0.37436977117845865
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,35,1016,6728,10447,11965,30020,0.6211629479377958,0.3599208259776387,0.3917321688500728,0.3751533400245344
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,36,1016,6836,10551,11939,29834,0.6198444895199459,0.3641011984021305,0.39316730890895496,0.3780764338255627
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,37,1016,7589,9746,11244,30581,0.6451994590939825,0.40296288429883714,0.43778482838188637,0.41965273169652734
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,38,1016,6734,10633,11989,29804,0.6176132521974307,0.3596645836671474,0.38774687625957277,0.37317816569686896
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,39,1016,7696,9667,10832,30965,0.653498985801217,0.4153713298791019,0.44324137533836316,0.428854030258282
oscore-base,schc,,64,p1,cbor,dns_cbor,binvec,1,0.2,dt,,40,1016,6894,10405,11771,30090,0.6251521298174442,0.3693544066434503,0.3985201456731603,0.3833833833833834
