protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,1,1016,0,13079,0,21104,0.6173829096334436,nan,0.0,0.0
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,2,1016,0,13181,0,21002,0.6143989702483691,nan,0.0,0.0
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,3,1016,0,13162,0,21021,0.6149548020946084,nan,0.0,0.0
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,4,1016,7302,5933,5855,15093,0.6551502208700231,0.5549897393022726,0.5517189270872686,0.553349499848439
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,5,1016,7330,5742,5847,15264,0.660971828101688,0.5562722926310997,0.5607405140758874,0.5584974665701551
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,6,1016,7255,5903,5740,15285,0.6593920954860604,0.5582916506348595,0.551375588995288,0.554812067449241
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,7,1016,7380,5811,5821,15171,0.6597138928707252,0.5590485569275055,0.5594723675233113,0.5592603819339194
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,8,1016,7268,5851,5833,15231,0.6581926688704912,0.5547668116937639,0.5540056406738318,0.5543859649122806
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,9,1016,5023,8223,3192,17745,0.6660620776409326,0.611442483262325,0.3792088177563038,0.46810493453240765
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,10,1016,5052,7984,3320,17827,0.6693093057952784,0.6034400382226469,0.3875421908560908,0.47197309417040356
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,11,1016,7913,5326,5594,15350,0.6805429599508528,0.585844376989709,0.5977037540599743,0.5917146489194646
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,12,1016,7840,5359,5649,15335,0.6779685808735336,0.5812143227815257,0.5939843927570271,0.5875299760191847
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,13,1016,7897,5317,5607,15362,0.6804259427200655,0.5847896919431279,0.597623732405025,0.5911370611572723
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,14,1016,8306,4938,5833,15106,0.6849018517976772,0.5874531437866893,0.6271519178495922,0.6066537632837892
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,15,1016,11051,2110,8685,12337,0.6841997484129538,0.5599412241588975,0.8396778360306968,0.6718545764051433
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,16,1016,10683,2412,8426,12662,0.6829418131819911,0.5590559422261762,0.815807560137457,0.6634579555334741
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,17,1016,10973,2081,8683,12446,0.6851066319515549,0.5582519332519332,0.8405852612226138,0.6709263222256191
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,18,1016,10580,2608,8128,12867,0.6859257525670654,0.5655334616206971,0.8022444646648468,0.6634060697266115
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,19,1016,10440,2727,7980,13036,0.6867741274902729,0.5667752442996743,0.7928913192071086,0.6610314369835691
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,20,1016,10515,2714,8041,12913,0.6853699207208261,0.5666630739383488,0.7948446594602767,0.6616328456819255
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,21,1016,10166,2897,7872,13248,0.6849603604130708,0.5635879809291495,0.7782285845517875,0.6537410372656828
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,22,1016,9521,3500,7746,13416,0.6710060556416932,0.5513986216482307,0.7312034405959603,0.6286978341257263
oscore-base,schc,,1024,p1,cbor,dns_message,binvec,1,0.2,dt,,23,1016,8371,4838,7229,13745,0.6469882690226135,0.5366025641025641,0.6337345749110455,0.5811378388697976
