protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,,1024,p1,json,dns_message,word2vec,1,0.2,nb,,9242,4036,8716,14386,0.6494777350192413,0.5146452834391357,0.6960385600241,0.5917531053912153
oscore-base,schc,,1024,p1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,9979,3299,3493,19609,0.8133040131940626,0.7407214964370546,0.751543907214942,0.7460934579439252
oscore-base,schc,,1024,p1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,10060,3218,3709,19393,0.8095931830676196,0.7306267702810662,0.7576442235276397,0.7438902650940955
oscore-base,schc,,1024,p1,json,dns_message,word2vec,1,0.2,svm,C=0.01,9908,3370,3505,19597,0.8110225398570643,0.7386863490643406,0.7461967163729477,0.7424225394327676
oscore-base,schc,,1024,p1,json,dns_message,word2vec,1,0.2,dt,,12089,1189,1272,21830,0.9323529411764706,0.9047975450939301,0.9104533815333634,0.9076166522767372
oscore-base,schc,,1024,p1,json,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",11276,2002,2035,21067,0.8890324354040682,0.8471189241980317,0.8492242807651755,0.8481702959870623
oscore-base,schc,,1024,p1,json,dns_message,word2vec,1,0.2,nb,,9029,4066,8858,14427,0.6447498625618472,0.5047800078269133,0.6894998090874379,0.5828545607126718
oscore-base,schc,,1024,p1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,9826,3269,3531,19754,0.8130841121495327,0.7356442314891068,0.7503627338678885,0.7429305912596401
oscore-base,schc,,1024,p1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,9968,3127,3837,19448,0.8085761407366685,0.722057225642883,0.7612065673921344,0.7411152416356878
oscore-base,schc,,1024,p1,json,dns_message,word2vec,1,0.2,svm,C=0.01,9673,3422,3587,19698,0.8073391973611874,0.7294871794871794,0.7386788850706376,0.7340542591538608
oscore-base,schc,,1024,p1,json,dns_message,word2vec,1,0.2,dt,,11908,1187,1214,22071,0.9340021990104453,0.9074836153025454,0.9093547155402826,0.9084182019300454
oscore-base,schc,,1024,p1,json,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",11007,2088,1990,21295,0.8879054425508521,0.8468877433253827,0.8405498281786942,0.8437068833358884
