protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,1,0.2,nb,,8565,2671,5162,15866,0.757221671212497,0.6239527937641145,0.7622819508721965,0.6862155990866482
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,1,0.2,lr,max_iter=5000,9656,1580,1044,19984,0.9186709645425242,0.9024299065420561,0.8593805624777501,0.8803792851932896
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,1,0.2,knn,algorithm=brute,9821,1415,1432,19596,0.9117592363005207,0.8727450457655737,0.8740655037379851,0.8734047756681044
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,1,0.2,svm,C=0.01,9662,1574,969,20059,0.9211815026035209,0.9088514721098674,0.8599145603417586,0.8837060410664471
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,10526,710,886,20142,0.9505331019092487,0.9223624255169997,0.936810252758989,0.9295302013422819
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9110,2126,308,20720,0.9245598809818993,0.9672966659588023,0.8107867568529726,0.882153577999419
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,2,0.2,nb,,8624,2571,5103,15966,0.7621497644433424,0.6282508924018358,0.7703439035283609,0.6920792873766151
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,2,0.2,lr,max_iter=5000,9676,1519,1111,19958,0.9184849987602282,0.8970056549550385,0.8643144260830729,0.8803566554453643
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,2,0.2,knn,algorithm=brute,9866,1329,1500,19569,0.9123171336474089,0.8680274502903396,0.8812862885216615,0.8746066220468951
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,2,0.2,svm,C=0.01,9694,1501,1046,20023,0.9210575254153236,0.9026070763500931,0.8659222867351496,0.8838842033280145
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,2,0.2,dt,,10559,636,846,20223,0.9540664517728737,0.9258220078912758,0.943188923626619,0.9344247787610619
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",9123,2072,268,20801,0.9274733449045376,0.9714620381216058,0.8149173738276017,0.8863305158845818
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,5,0.2,nb,,8635,2588,5207,15834,0.7583994545003719,0.6238260366998989,0.7694021206451038,0.6890085776979853
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,5,0.2,lr,max_iter=5000,9733,1490,1060,19981,0.9209645425241756,0.9017881960529973,0.8672369241735721,0.8841751453488372
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,5,0.2,knn,algorithm=brute,9883,1340,1432,19609,0.9140838085792214,0.8734423331860363,0.8806023344916689,0.8770077202946135
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,5,0.2,svm,C=0.01,9723,1500,983,20058,0.9230411604264815,0.9081823276667289,0.8663458968190323,0.8867709425874413
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,5,0.2,dt,,10570,653,840,20201,0.953725514505331,0.9263803680981595,0.9418159137485521,0.9340343745857819
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",9190,2033,294,20747,0.9278762707661791,0.9690004217629692,0.8188541388220618,0.8876225431013667
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,3,0.2,nb,,8670,2651,5118,15825,0.7592053062236549,0.6288076588337685,0.7658334069428496,0.6905890318212593
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,3,0.2,lr,max_iter=5000,9795,1526,1043,19900,0.920375650880238,0.9037645322015132,0.8652062538644996,0.8840651653955504
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,3,0.2,knn,algorithm=brute,9967,1354,1470,19473,0.9124721051326556,0.871469791029116,0.8803992580160763,0.875911767290623
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,3,0.2,svm,C=0.01,9788,1533,968,19975,0.9224832630795934,0.9100037188545927,0.8645879339280982,0.8867146804366536
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,3,0.2,dt,,10671,650,825,20118,0.9542834118522192,0.9282359081419624,0.9425845773341578,0.9353552176009116
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",9242,2079,280,20663,0.9268844532606001,0.9705944129384583,0.8163589788887907,0.8868205152809097
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,4,0.2,nb,,8726,2627,5220,15691,0.7567877510538061,0.6256991251971892,0.7686074165418832,0.6898296375350804
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,4,0.2,lr,max_iter=5000,9874,1479,1103,19808,0.9199727250185966,0.8995171722692903,0.8697260635955254,0.884370801612181
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,4,0.2,knn,algorithm=brute,9976,1377,1437,19474,0.912782048103149,0.8740909489179006,0.8787104730027305,0.8763946235614513
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,4,0.2,svm,C=0.01,9866,1487,1034,19877,0.9218633771386064,0.9051376146788991,0.8690214040341759,0.8867119040129421
oscore-base,schc,min_rules,1024,p2,cbor,dns_cbor,binvec,4,0.2,dt,,10691,662,836,20075,0.9535705430200843,0.927474624793962,0.9416894212983352,0.934527972027972
