protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,1,1016,0,17342,0,41836,0.7069519078035756,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,2,1016,0,17289,0,41889,0.7078475108993207,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,3,1016,0,17400,0,41778,0.7059718138497415,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,4,1016,0,17298,0,41880,0.7076954273547602,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,5,1016,0,17334,0,41844,0.7070870931765183,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,6,1016,0,17347,0,41831,0.7068674169454865,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,7,1016,0,17233,0,41945,0.7087938085099192,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,8,1016,0,17168,0,42010,0.7098921896650783,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,9,1016,0,17361,0,41817,0.7066308425428368,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,10,1016,0,17248,0,41930,0.7085403359356518,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,11,1016,0,17430,0,41748,0.7054648687012065,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,12,1016,0,17215,0,41963,0.7090979755990402,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,13,1016,0,17384,0,41794,0.7062421845956267,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,14,1016,0,17519,0,41659,0.7039609314272196,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,15,1016,0,17335,0,41843,0.7070701950049004,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,16,1016,0,17431,0,41747,0.7054479705295887,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,17,1016,0,17541,0,41637,0.7035891716516273,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,18,1016,0,17357,0,41821,0.7066984352293082,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,19,1016,0,17249,0,41929,0.7085234377640339,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,20,1016,258,17041,315,41564,0.7067153334009261,0.450261780104712,0.014914156887681369,0.028871978513876455
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,21,1016,837,16349,1046,40946,0.7060563047078307,0.4445034519383962,0.0487024322122658,0.08778645969898789
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,22,1016,1943,15335,2268,39632,0.7025414850113217,0.4614105913084778,0.11245514527144346,0.18083670715249664
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,23,1016,3192,14080,3726,38180,0.6991111561729021,0.4614050303555941,0.18480778138026865,0.2639107069036792
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,24,1016,3913,13330,5219,36716,0.6865558146608537,0.42849321068769164,0.22693266832917705,0.29672037914691946
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,25,1016,4499,12964,6350,35365,0.6736287133732131,0.41469259839616557,0.2576304185993243,0.31781576716586607
oscore-base,schc,min_rules,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,26,1016,5833,11659,8071,33615,0.6665990739801954,0.41951956271576524,0.3334667276469243,0.37157599694228566
