protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,min_rules,64,p2,cbor,dns_message,binvec,1,0.2,nb,,18622,6561,8388,33360,0.7766505804485216,0.689448352462051,0.7394671008219831,0.7135822811488131
oscore-base,schc,min_rules,64,p2,cbor,dns_message,binvec,1,0.2,lr,max_iter=5000,21382,3801,2806,38942,0.9012863994262749,0.8839920621795931,0.8490648453321685,0.8661765003747139
oscore-base,schc,min_rules,64,p2,cbor,dns_message,binvec,1,0.2,knn,algorithm=brute,22336,2847,2482,39266,0.920380690561922,0.8999919413329035,0.8869475439780804,0.8934221315573688
oscore-base,schc,min_rules,64,p2,cbor,dns_message,binvec,1,0.2,svm,C=0.01,21342,3841,2773,38975,0.9011818141070654,0.8850093302923492,0.8474764722233252,0.8658363422451215
oscore-base,schc,min_rules,64,p2,cbor,dns_message,binvec,1,0.2,dt,,22856,2327,2318,39430,0.9306001703246627,0.907920870739652,0.907596394393043,0.9077586035705065
oscore-base,schc,min_rules,64,p2,cbor,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",19919,5264,1817,39931,0.8942044792398142,0.9164059624585941,0.790970098876226,0.8490803299303055
oscore-base,schc,min_rules,64,p2,cbor,dns_message,binvec,2,0.2,nb,,18367,6842,7704,34018,0.7826717066830019,0.7044992520424993,0.7285889959934944,0.7163416536661467
oscore-base,schc,min_rules,64,p2,cbor,dns_message,binvec,2,0.2,lr,max_iter=5000,21274,3935,2912,38810,0.8977006170533833,0.8795997684610932,0.8439049545797136,0.8613827310456524
oscore-base,schc,min_rules,64,p2,cbor,dns_message,binvec,2,0.2,knn,algorithm=brute,22281,2928,2480,39242,0.9192003705308452,0.8998424942449821,0.8838510055932405,0.8917750650390234
oscore-base,schc,min_rules,64,p2,cbor,dns_message,binvec,2,0.2,svm,C=0.01,21251,3958,2884,38838,0.8977753208528185,0.8805054899523513,0.84299258201436,0.8613407911802854
oscore-base,schc,min_rules,64,p2,cbor,dns_message,binvec,2,0.2,dt,,22898,2311,2439,39283,0.9290313905365227,0.9037376169238662,0.9083263913681622,0.9060261939619356
oscore-base,schc,min_rules,64,p2,cbor,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",20010,5199,1950,39772,0.8931885075674949,0.9112021857923497,0.7937641318576699,0.8484385931438021
