protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,min_rules,1024,p2,json,dns_cbor,binvec,1,0.2,nb,,8805,2407,5258,18008,0.7776843204362202,0.6261110716063429,0.7853193007491973,0.6967359050445104
oscore-base,schc,min_rules,1024,p2,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,9651,1561,914,22352,0.9282150936829282,0.9134879318504496,0.8607741705315733,0.8863479818156771
oscore-base,schc,min_rules,1024,p2,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,9931,1281,1379,21887,0.9228493532107431,0.8780725022104332,0.8857474134855512,0.8818932599236302
oscore-base,schc,min_rules,1024,p2,json,dns_cbor,binvec,1,0.2,svm,C=0.01,9542,1670,744,22522,0.9299843378386218,0.9276686758701147,0.8510524438102034,0.8877104846962508
oscore-base,schc,min_rules,1024,p2,json,dns_cbor,binvec,1,0.2,dt,,10592,620,960,22306,0.9541736759672835,0.9168975069252078,0.9447021048876204,0.9305921630644878
oscore-base,schc,min_rules,1024,p2,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9113,2099,101,23165,0.9361911943848251,0.9890384197959626,0.812789867998573,0.8922941349260746
oscore-base,schc,min_rules,1024,p2,json,dns_cbor,binvec,2,0.2,nb,,8939,2316,5257,17966,0.7803526886710366,0.6296844181459567,0.7942247889826743,0.702447840949275
oscore-base,schc,min_rules,1024,p2,json,dns_cbor,binvec,2,0.2,lr,max_iter=5000,9716,1539,891,22332,0.9295202737977841,0.9159988686716319,0.8632607729897823,0.8888482298051413
oscore-base,schc,min_rules,1024,p2,json,dns_cbor,binvec,2,0.2,knn,algorithm=brute,9964,1291,1401,21822,0.9219212251290678,0.8767267927848659,0.8852954242558863,0.8809902740937223
oscore-base,schc,min_rules,1024,p2,json,dns_cbor,binvec,2,0.2,svm,C=0.01,9612,1643,790,22433,0.9294332617901271,0.9240530667179389,0.8540204353620613,0.8876575703005957
oscore-base,schc,min_rules,1024,p2,json,dns_cbor,binvec,2,0.2,dt,,10582,673,892,22331,0.9546087360055687,0.9222590203939341,0.940204353620613,0.9311452329622949
oscore-base,schc,min_rules,1024,p2,json,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",9192,2063,112,23111,0.9369162944486339,0.9879621668099742,0.8167036872501111,0.8942069166788268
