protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,min_rules,64,p2,json,dns_cbor,binvec,1,0.2,dt,,1,1016,0,17347,0,48096,0.7349296334214507,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_cbor,binvec,1,0.2,dt,,2,1016,0,17328,0,48115,0.7352199624100362,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_cbor,binvec,1,0.2,dt,,3,1016,0,17321,0,48122,0.7353269257216204,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_cbor,binvec,1,0.2,dt,,4,1016,0,17337,0,48106,0.7350824381522852,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_cbor,binvec,1,0.2,dt,,5,1016,0,17350,0,48093,0.7348837920022004,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_cbor,binvec,1,0.2,dt,,6,1016,0,17476,0,47967,0.7329584523936861,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_cbor,binvec,1,0.2,dt,,7,1016,0,17368,0,48075,0.7346087434866984,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_cbor,binvec,1,0.2,dt,,8,1016,0,17296,0,48147,0.7357089375487065,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_cbor,binvec,1,0.2,dt,,9,1016,0,17146,0,48297,0.7380010085112235,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_cbor,binvec,1,0.2,dt,,10,1016,0,17239,0,48204,0.736579924514463,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_cbor,binvec,1,0.2,dt,,11,1016,0,17540,0,47903,0.7319805021163456,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_cbor,binvec,1,0.2,dt,,12,1016,0,17365,0,48078,0.7346545849059487,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_cbor,binvec,1,0.2,dt,,13,1016,0,17337,0,48106,0.7350824381522852,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_cbor,binvec,1,0.2,dt,,14,1016,0,17360,0,48083,0.7347309872713659,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_cbor,binvec,1,0.2,dt,,15,1016,0,17390,0,48053,0.7342725730788625,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_cbor,binvec,1,0.2,dt,,16,1016,0,17377,0,48066,0.7344712192289473,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_cbor,binvec,1,0.2,dt,,17,1016,0,17433,0,48010,0.7336155127362743,nan,0.0,0.0
oscore-base,schc,min_rules,64,p2,json,dns_cbor,binvec,1,0.2,dt,,18,1016,0,17099,0,48344,0.7387191907461454,nan,0.0,0.0
