protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,1,1016,0,13038,0,23356,0.641754135297027,nan,0.0,0.0
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,2,1016,0,13203,0,23191,0.637220420948508,nan,0.0,0.0
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,3,1016,0,13116,0,23278,0.6396109248777271,nan,0.0,0.0
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,4,1016,7133,5838,5384,18039,0.6916524701873935,0.5698649836222737,0.5499190501888829,0.5597143753923415
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,5,1016,7327,5873,5311,17883,0.6926965983403858,0.5797594556100649,0.5550757575757576,0.5671491601517146
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,6,1016,7388,5878,5304,17824,0.6927515524537011,0.5820989599747872,0.5569124076586763,0.5692272131905386
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,7,1016,7306,5851,5316,17921,0.6931637083035666,0.5788306132150214,0.5552937599756783,0.5668179525970751
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,8,1016,7283,5940,5331,17840,0.6903060944111666,0.577374345964801,0.5507827270664751,0.5637651430119596
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,9,1016,5130,8071,3034,20159,0.6948672858163434,0.6283684468397844,0.3886069237179002,0.48022466651064827
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,10,1016,5118,8055,3049,20172,0.694894762873001,0.6266682992530918,0.3885219767706673,0.4796626054358013
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,11,1016,7862,5167,5742,17623,0.7002527889212508,0.5779182593354896,0.6034231330109755,0.5903953741598769
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,12,1016,8723,4377,6622,16672,0.6977798538220585,0.5684587813620071,0.6658778625954198,0.6133239585164352
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,13,1016,8712,4383,6609,16690,0.6979721932186624,0.568631290385745,0.6652920962199312,0.6131756756756757
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,14,1016,8326,4750,6351,16967,0.6949771940429741,0.5672821421271377,0.6367390639339248,0.6000072064281339
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,15,1016,7616,5545,5416,17817,0.6988239819750508,0.5844076120319214,0.5786794316541296,0.5815294162562517
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,16,1016,7856,5317,5671,17550,0.6980821014452931,0.5807643971316626,0.5963713656722083,0.5884644194756554
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,17,1016,7673,5437,5522,17762,0.6988789360883663,0.5815081470253884,0.5852784134248665,0.5833871887473864
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,18,1016,10303,2730,8225,15136,0.698988844314997,0.5560772884283247,0.7905317271541472,0.6528943949811477
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,19,1016,10261,2769,8103,15261,0.7012694400175853,0.5587562622522326,0.7874904067536455,0.653691788239791
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,20,1016,10284,2925,8010,15175,0.6995383854481508,0.5621515250901935,0.7785600726777198,0.6528902009332445
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,21,1016,10062,3107,7897,15328,0.6976424685387701,0.5602761846427975,0.7640671273445212,0.6464919043947571
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,22,1016,9701,3387,7734,15572,0.6944276529098203,0.5564095210782908,0.7412133251833741,0.6356518035579727
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,23,1016,7598,5516,6269,17011,0.6761828872891136,0.5479195211653566,0.5793808143968279,0.563211148586042
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,24,1016,6242,6911,6080,17161,0.6430455569599385,0.5065736081804901,0.47456853949669275,0.49004906771344453
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,25,1016,5001,8133,6243,17017,0.6049898334890367,0.4447705442902882,0.38076747373229786,0.4102879645582082
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,26,1016,5000,8103,6920,16371,0.5872121778315107,0.41946308724832215,0.3815920018316416,0.3996323382488111
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,27,1016,10624,2624,3402,19744,0.8344232565807551,0.7574504491658349,0.8019323671497585,0.7790569773410574
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,28,1016,10488,2757,3295,19854,0.8337088531076551,0.7609373866357106,0.7918459796149491,0.7760840609738049
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,29,1016,10152,2908,3164,20170,0.8331593119745013,0.7623911084409732,0.7773353751914241,0.7697907188353048
oscore-base,schc,min_rules,1024,p2,json,dns_message,binvec,1,0.2,dt,,30,1016,10189,2932,3265,20008,0.8297246798922899,0.7573212427530845,0.7765414221477022,0.7668109125117591
