protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;job_id;start;stop;feature;mdi;mdi_std
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;0;0.0;0.0
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;1;0.0;0.0
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;2;0.0;0.0
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;3;0.0013867995443954176;0.0028325369589971513
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;4;0.0;0.0
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;5;0.001546500120491279;0.0031513021363896838
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;6;0.001800545858578465;0.003722435318214772
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;7;0.0;0.0
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;8;0.019495326828736663;0.02000902524944311
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;9;0.0048563087776769785;0.008736717404201035
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;10;0.005188616837657549;0.008145665271547078
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;11;0.00008170337712603443;0.0001964232835081669
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;12;0.000041299538178298535;0.00011930149566849433
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;13;0.00002335564512859227;0.00004111798019216545
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;14;0.00002513417896093878;0.000055306898751277294
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;15;0.000018564898779182376;0.00003159375973282888
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;16;0.00003485788862469234;0.00016763361087299
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;17;9.824776209814952e-6;0.000023668976672272372
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;18;0.000011346507144055906;0.000018863585692364256
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;19;0.000010528117839012894;0.000020135945873937215
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;20;8.933287230776513e-6;0.000020304368763590635
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;21;7.968624161036605e-6;0.000011785429468961331
oscore-base;schc;min_rules;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;1759424851;1759425480;22;0.00001369438177122084;0.00008016705381865733
