protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,1,1016,0,11249,0,20974,0.6509015299630698,nan,0.0,0.0
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,2,1016,0,11292,0,20931,0.6495670794153244,nan,0.0,0.0
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,3,1016,0,11325,0,20898,0.648542966204264,nan,0.0,0.0
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,4,1016,9141,2174,5830,15078,0.7516059957173448,0.6105804555473916,0.8078656650463986,0.6955033097466332
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,5,1016,9051,2110,5974,15088,0.7491232970238649,0.602396006655574,0.8109488397097034,0.6912854196899106
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,6,1016,9021,2216,5856,15130,0.7494957018278869,0.6063722524702561,0.8027943401263683,0.6908937734548518
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,7,1016,9000,2216,2632,18375,0.8495484591751233,0.7737276478679505,0.8024251069900142,0.7878151260504201
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,8,1016,9148,2128,2637,18310,0.8521242590696086,0.7762409843020789,0.8112805959560128,0.7933740947920732
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,9,1016,9125,2181,2649,18268,0.8501070663811563,0.775012739935451,0.8070935786308155,0.7907279029462738
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,10,1016,9028,2228,2548,18419,0.8517828879992552,0.7798894263994471,0.8020611229566453,0.7908199018920813
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,11,1016,9025,2203,2619,18376,0.8503553362505043,0.7750772930264513,0.8037940862130388,0.7891745365512417
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,12,1016,9075,2193,2656,18299,0.8495174254414548,0.7735913391867701,0.8053780617678381,0.7891647462933171
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,13,1016,9079,2190,2602,18352,0.8512863482605593,0.7772450988785207,0.8056615493832638,0.79119825708061
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,14,1016,9045,2140,2596,18442,0.8530242373459951,0.7769951035134438,0.8086723290120698,0.7925173048278279
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,15,1016,9042,2132,2666,18383,0.8511001458585482,0.7722924496071063,0.8091999284052264,0.7903155318591032
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,16,1016,8986,2087,2621,18529,0.853893181888713,0.7741879900060309,0.8115235256931275,0.7924162257495591
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,17,1016,9012,2211,2613,18387,0.8502932687831674,0.7752258064516129,0.8029938519112537,0.7888655462184874
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,18,1016,9061,2283,2587,18292,0.8488657170344164,0.7779017857142857,0.7987482369534555,0.7881871955462769
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,19,1016,9052,2173,2640,18358,0.8506346398535207,0.7742045843311666,0.8064142538975501,0.7899812366365581
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,20,1016,8888,2255,2709,18371,0.8459485460695776,0.7664051047684746,0.7976307996051333,0.7817062445030782
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,21,1016,8632,2444,2669,18478,0.8413245197529715,0.7638262100699054,0.7793427230046949,0.7715064575233499
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,22,1016,8312,2963,2581,18367,0.827948980541849,0.7630588451299,0.7372062084257206,0.7499097798628654
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,23,1016,7701,3492,2372,18658,0.8180181857679297,0.7645190112181078,0.6880192977753954,0.7242546788300573
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,24,1016,7065,3985,2395,18778,0.8020047791949849,0.7468287526427061,0.639366515837104,0.6889322281813749
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,25,1016,6599,4670,2404,18550,0.7804673680290476,0.7329778962568033,0.5855887833880558,0.6510457774269929
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,26,1016,6452,4824,2784,18163,0.7638953542500698,0.6985708098744045,0.572188719404044,0.6290951638065523
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,27,1016,9433,1803,934,20053,0.9150606709493219,0.9099064338767242,0.8395336418654326,0.8733046336157015
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,28,1016,9263,1839,907,20214,0.9147813673463054,0.9108161258603736,0.8343541704197442,0.8709101165851824
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,29,1016,9235,1811,1024,20153,0.9120193650498092,0.9001852032361829,0.8360492485967771,0.8669326449190331
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,30,1016,9365,1807,1029,20022,0.9119883313161407,0.9010005772561093,0.8382563551736484,0.868496707780766
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,31,1016,9290,1896,1030,20007,0.9091952952859759,0.9001937984496124,0.8305024137314501,0.8639449455965778
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,32,1016,9401,1798,1032,19992,0.9121745337181516,0.9010831016965398,0.8394499508884722,0.8691752958579881
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,33,1016,9381,1822,1208,19812,0.9059677869844521,0.8859193502691473,0.8373649915201286,0.8609581497797357
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,34,1016,9460,1746,1297,19720,0.9055643484467616,0.8794273496327972,0.8441906121720507,0.8614488002549743
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,35,1016,9553,1673,1458,19539,0.9028333798839339,0.8675869584960494,0.8509709602707999,0.8591986329091155
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,36,1016,9459,1720,1610,19434,0.8966576668839028,0.8545487397235523,0.8461400840862331,0.8503236245954693
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,37,1016,9728,1640,1926,18929,0.8893337057381373,0.8347348549854128,0.8557353976073188,0.84510468247763
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,38,1016,10277,792,994,20160,0.9445737516680632,0.9118090675184101,0.9284488210317102,0.920053715308863
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,39,1016,10501,768,1019,19935,0.9445427179343947,0.9115451388888889,0.9318484337563226,0.9215849752073368
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,40,1016,10445,791,1042,19945,0.9431151661856438,0.9092887612083225,0.9296012815948737,0.9193328345728997
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,41,1016,10443,783,1068,19929,0.9425565589796109,0.9072191816523325,0.930251202565473,0.918590843119145
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,42,1016,10400,787,974,20062,0.9453495950097757,0.9143660981185159,0.9296504871726111,0.9219449492487035
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,43,1016,10427,766,1032,19998,0.9442013468640412,0.9099397853215813,0.9315643705887608,0.9206251103655306
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,44,1016,10475,819,1049,19880,0.9420289855072463,0.9089725789656369,0.9274836196210378,0.9181348058550267
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,45,1016,10481,774,995,19973,0.9451013251404277,0.9132973161380272,0.9312305641936917,0.9221767630108663
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,46,1016,10371,764,996,20092,0.9453806287434441,0.9123779361309052,0.9313875168387966,0.9217847302462003
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,47,1016,10404,743,1048,20028,0.9444185829997207,0.9084876004191408,0.9333452946981251,0.9207487056949423
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,48,1016,10620,739,1049,19815,0.9445116842007262,0.9101036935470049,0.9349414561140945,0.9223553934340802
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,49,1016,10261,776,1021,20165,0.9442323805977098,0.9095018613720971,0.9296910392316753,0.9194856400376361
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,50,1016,10433,764,961,20065,0.9464668094218416,0.9156573635246621,0.9317674377065286,0.9236421583816564
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,51,1016,10378,787,1036,20022,0.9434255035223288,0.9092342736989661,0.9295118674429019,0.9192612604632623
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,52,1016,10441,756,1039,19987,0.9442944480650467,0.9094947735191637,0.9324819147986068,0.9208449089385721
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,53,1016,10378,804,982,20059,0.9445737516680632,0.913556338028169,0.9280987301019495,0.920770118001952
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,54,1016,10540,719,1095,19869,0.9437048071253452,0.9058874086807047,0.936139976907363,0.9207652660085612
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,55,1016,10563,737,986,19937,0.9465288768891785,0.9146246428262187,0.9347787610619469,0.9245918858593374
oscore-base,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,56,1016,10427,812,997,19987,0.9438599757936877,0.9127275910364145,0.9277515793220037,0.9201782641309624
