protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;repeats;job_id;start;stop;feature;accuracy_mean;accuracy_std;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;balanced_accuracy_mean;balanced_accuracy_std;roc_auc_mean;roc_auc_std
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;0;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;1;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;2;0.0;0.0;;;;;0.0;0.0;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;3;0.0030365912706646903;0.0002420972539254329;;;;;0.004224832235568798;0.0002764451508968646;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;4;0.00881234004288578;0.00015217541675316415;;;;;0.012062450168253969;0.0001549016943744319;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;5;0.003901224320398411;0.00006917064397871098;;;;;0.005029002000531357;0.00008969700023375715;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;6;0.025489382306149277;0.00020059486753820632;;;;;0.031671586791041595;0.0002310365641676193;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;7;0.00747042954969912;0.000013834128795742195;;;;;0.010030573092090156;0.00007275731017425402;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;8;0.0019436950958013344;0.00003458532198935549;;;;;0.002463648176814437;0.00005418133034895689;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;9;0.0013211592999930466;0.000048419450785097684;;;;;0.00177177140705026;0.00007920903097852205;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;10;0.0019436950958013344;0.000048419450785097684;;;;;0.002746383130686425;0.0000639324404665409;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;11;0.005028705817251122;0.00007608770837652656;;;;;0.006642956025619262;0.00008294323651825142;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;12;0.01203569205229299;0.00037352147748498377;;;;;0.016024434592592618;0.0005082732294017234;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;13;0.004931866915680927;0.0002420972539254329;;;;;0.006489221417877222;0.0003140385005527824;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;14;0.004710520854949107;0.00008992183717232427;;;;;0.006220710380059724;0.0001192902334734014;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;15;0.007871619284775477;0.00015217541675310864;;;;;0.010413294335981371;0.00020900519318234334;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;16;0.010133499342878882;0.0002835996403126595;;;;;0.013461917970334691;0.0003772896772126222;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;17;0.012180950404648228;0.00007608770837658207;;;;;0.01619063624795819;0.00011661049557193381;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;18;0.005921007124576327;0.00005533651518296878;;;;;0.007810574700875261;0.00006995279100813212;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;19;0.005547485647091344;0.0002628484471190462;;;;;0.0073158436787214565;0.0003438792840982363;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;20;0.00040118973507641265;0.000041502386387226586;;;;;0.0005332648307191934;0.00004092092806234904;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;21;0.0005741163450231346;0.00003458532198929998;;;;;0.0007518700951776869;0.00004372556351567303;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;22;0.00017292660994666642;0.000048419450785097684;;;;;0.00022179820711681897;0.00005846094116007672;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;23;0.000048419450785097684;6.917064397871098e-6;;;;;0.000060138422182220985;9.073667293191257e-6;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;24;-0.000013834128795742195;0.0;;;;;-0.000018145598078223024;0.0;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;25;-0.000013834128795742195;0.000013834128795742195;;;;;-0.000013085663795930902;0.00001645955065426863;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;26;0.02189250881925703;0.000020751193193613293;;;;;0.025075322351522378;0.000020298430456977545;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;27;0.00016600954554879532;0.000013834128795742195;;;;;0.0001890587609783556;0.00001983737555705245;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;28;0.00011759009476375315;0.00006225357958078437;;;;;0.00015594464374141248;0.0000630939503283856;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;29;0.00010375596596801095;0.00008992183717226876;;;;;0.00018005716869240462;0.0001112695375433681;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;30;0.00003458532198935549;0.00006225357958083988;;;;;0.00004536983004904682;0.0000782878477259552;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;31;0.00010375596596801095;0.00004841945078504217;;;;;0.00015638660542033334;0.00005678002358805445;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;32;0.0002766825759147329;0.00009683890157019537;;;;;0.00039185542567499176;0.00013222696038583948;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;33;0.00008992183717226876;0.00003458532198929998;;;;;0.00011627163462335499;0.000040306770041298456;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;34;-0.00006225357958083988;6.917064397871098e-6;;;;;-0.00007659371504453727;0.000010757679690609478;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;35;0.0;0.000013834128795742195;;;;;-2.43134457011962e-10;0.000014772120944195333;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;36;6.917064397871098e-6;6.917064397871098e-6;;;;;0.000012447311010854722;9.073424152516996e-6;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;37;0.043031057619146384;0.0002559313827211751;;;;;0.05937615147487785;0.00036699740133216974;;;;
oscore-base;schc;;1024;p2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1950392;1760480193;1760480808;38;0.00006225357958083988;0.000020751193193613293;;;;;0.0000951710224937341;0.000023849192774150207;;;;
