protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;test_size;job_id;start;stop;feature;mdi;mdi_std
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;0;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;1;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;2;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;3;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;4;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;5;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;6;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;7;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;8;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;9;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;10;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;11;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;12;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;13;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;14;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;15;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;16;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;17;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;18;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;19;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;20;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;21;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;22;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;23;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;24;0.0;0.0
oscore;eth;;64;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759447827;1759448678;25;0.0;0.0
