protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,8,8840,10080,0,10083,0,0.499925606308585,0.499925606308585,1.0,0.6666005356611447
oscore,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,16,8840,9997,0,10166,0,0.49580915538362347,0.49580915538362347,1.0,0.6629310344827586
oscore,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,24,8840,9977,0,10186,0,0.4948172394980906,0.4948172394980906,1.0,0.6620437956204379
oscore,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,32,8840,0,10142,0,10021,0.496999454446263,nan,0.0,0.0
oscore,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,40,8840,9917,92,7253,2901,0.63571889103804,0.577577169481654,0.9908082725547007,0.7297545899407631
oscore,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,48,8840,8419,1717,2203,7824,0.8055844864355503,0.7926002636038411,0.8306037884767167,0.8111571442335486
oscore,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,56,8840,8365,1777,2282,7739,0.7986906710310966,0.7856673241288626,0.8247880102543877,0.8047525133484054
oscore,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,64,8840,8400,1621,2314,7828,0.8048405495214006,0.7840209072241926,0.8382396966370622,0.8102242585001206
oscore,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,72,8840,8370,1712,2187,7894,0.8066259981153598,0.7928388746803069,0.8301924221384646,0.8110858084209507
oscore,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,80,8840,8411,1746,2254,7752,0.8016168228934186,0.7886544772620722,0.8280988480850645,0.8078954951493612
oscore,eth,,1024,d1,json,dns_cbor,binvec,1,0.2,dt,,88,8840,8323,1683,2207,7950,0.8070723602638497,0.7904083570750238,0.831800919448331,0.8105765485001948
