protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,eth,,1024,d1,json,dns_message,binvec,1,0.2,nb,,8740,1341,4038,6044,0.7332242225859247,0.6839881045547034,0.8669774823926197,0.7646878691106348
oscore,eth,,1024,d1,json,dns_message,binvec,1,0.2,lr,max_iter=5000,9180,901,1348,8734,0.8884590586718246,0.8719604863221885,0.9106239460370995,0.8908729195982338
oscore,eth,,1024,d1,json,dns_message,binvec,1,0.2,knn,algorithm=brute,9066,1015,1945,8137,0.8531964489411298,0.8233584597220961,0.899315544092848,0.8596624312535559
oscore,eth,,1024,d1,json,dns_message,binvec,1,0.2,svm,C=0.01,9177,904,1324,8758,0.8895005703516342,0.8739167698314446,0.9103263565122508,0.8917500728792148
oscore,eth,,1024,d1,json,dns_message,binvec,1,0.2,dt,,8785,1296,1087,8995,0.8818132222387541,0.8898905996758509,0.8714413252653507,0.8805693379441688
oscore,eth,,1024,d1,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9595,486,2612,7470,0.8463522293309528,0.7860244122224953,0.9517904969745065,0.8610014357501795
oscore,eth,,1024,d1,json,dns_message,binvec,1,0.2,nb,,8846,1288,4004,6025,0.7375390566879929,0.6884046692607004,0.8729030984803632,0.7697528715628263
oscore,eth,,1024,d1,json,dns_message,binvec,1,0.2,lr,max_iter=5000,9164,970,1385,8644,0.8832019044785002,0.8687079344013651,0.9042826129859878,0.8861383745104675
oscore,eth,,1024,d1,json,dns_message,binvec,1,0.2,knn,algorithm=brute,9083,1051,1983,8046,0.849526360164658,0.8208024579793963,0.8962897177817248,0.8568867924528302
oscore,eth,,1024,d1,json,dns_message,binvec,1,0.2,svm,C=0.01,9131,1003,1338,8691,0.8838962455983732,0.8721940968573885,0.9010262482731399,0.8863757705188565
oscore,eth,,1024,d1,json,dns_message,binvec,1,0.2,dt,,8881,1253,1061,8968,0.8852353320438426,0.8932810299738483,0.8763568186303533,0.8847379956166567
oscore,eth,,1024,d1,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9653,481,2578,7451,0.8482864653077419,0.7892241026898864,0.9525360173672784,0.8632237871674492
oscore,eth,,1024,d1,json,dns_message,binvec,1,0.2,nb,,8806,1245,4024,6088,0.7386797599563557,0.6863600935307872,0.8761317281862501,0.7697216030767886
oscore,eth,,1024,d1,json,dns_message,binvec,1,0.2,lr,max_iter=5000,9165,886,1292,8820,0.8919803600654664,0.8764463995409774,0.9118495672072431,0.8937975424224692
oscore,eth,,1024,d1,json,dns_message,binvec,1,0.2,knn,algorithm=brute,9021,1030,1992,8120,0.8501215096959778,0.8191228548079542,0.897522634563725,0.856532472464869
oscore,eth,,1024,d1,json,dns_message,binvec,1,0.2,svm,C=0.01,9140,911,1305,8807,0.8900957198829539,0.8750598372426999,0.9093622525121878,0.8918813427010148
oscore,eth,,1024,d1,json,dns_message,binvec,1,0.2,dt,,8842,1209,1058,9054,0.887566334374845,0.8931313131313131,0.8797134613471297,0.8863716104455917
oscore,eth,,1024,d1,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9588,463,2596,7516,0.8482864653077419,0.7869336835193697,0.9539349318475774,0.8624241061389701
