protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,eth,,64,d1,json,dns_message,word2vec,1,0.2,nb,,10345,17340,6302,55664,0.7362884965031065,0.6214332912837148,0.373668051291313,0.46670576558693494
oscore,eth,,64,d1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,21414,6271,4609,57357,0.8786405059620083,0.8228874457210928,0.7734874480765758,0.7974231027035078
oscore,eth,,64,d1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,20083,7602,5158,56808,0.85767029927162,0.7956499346301652,0.7254108723135272,0.7589086649283906
oscore,eth,,64,d1,json,dns_message,word2vec,1,0.2,svm,C=0.01,20240,7445,4403,57563,0.8678430803895104,0.8213285720082782,0.731081813256276,0.7735820210976915
oscore,eth,,64,d1,json,dns_message,word2vec,1,0.2,dt,,22492,5193,5691,56275,0.8785958885009648,0.7980697583649717,0.8124255011739209,0.8051836471683254
oscore,eth,,64,d1,json,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",23312,4373,3392,58574,0.9133863537495399,0.8729778310365488,0.8420444283908254,0.8572321609148909
oscore,eth,,64,d1,json,dns_message,word2vec,1,0.2,nb,,10185,17619,6831,55016,0.7272757693723438,0.5985543018335684,0.36631419939577037,0.4544846050870147
oscore,eth,,64,d1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,21645,6159,4587,57260,0.8801351909069615,0.8251372369624885,0.778485110056107,0.8011325782811459
oscore,eth,,64,d1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,20443,7361,5103,56744,0.8609719913888301,0.80024269944414,0.7352539202992375,0.7663730084348641
oscore,eth,,64,d1,json,dns_message,word2vec,1,0.2,svm,C=0.01,20622,7182,4449,57398,0.8702635776511137,0.8225439751106857,0.7416918429003021,0.7800283687943262
oscore,eth,,64,d1,json,dns_message,word2vec,1,0.2,dt,,22623,5181,5506,56341,0.8807932984573513,0.8042589498382452,0.8136599050496331,0.8089321152092682
oscore,eth,,64,d1,json,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",23382,4422,3337,58510,0.9134532799411049,0.8751076013323852,0.840958135520069,0.8576930836527704
oscore,eth,,64,d1,json,dns_message,word2vec,1,0.2,nb,,10384,17239,5515,56513,0.7461935728547368,0.6531228379143342,0.3759186185425189,0.477183952943339
oscore,eth,,64,d1,json,dns_message,word2vec,1,0.2,lr,max_iter=5000,21601,6022,4730,57298,0.8800682647153963,0.8203638297064297,0.7819932664808312,0.8007191311116877
oscore,eth,,64,d1,json,dns_message,word2vec,1,0.2,knn,algorithm=brute,20445,7178,5082,56946,0.8632474819020424,0.8009166764602186,0.7401440828295262,0.7693320790216369
oscore,eth,,64,d1,json,dns_message,word2vec,1,0.2,svm,C=0.01,20675,6948,4472,57556,0.872617148721152,0.8221656658845986,0.7484704775006336,0.7835891605078643
oscore,eth,,64,d1,json,dns_message,word2vec,1,0.2,dt,,22542,5081,5553,56475,0.8813844798161761,0.802349172450614,0.8160590812004489,0.809146056929538
oscore,eth,,64,d1,json,dns_message,word2vec,1,0.2,rf,"n_estimators=250,max_depth=9",23359,4264,3471,58557,0.9137209847073652,0.8706298919120388,0.8456358831408609,0.8579508934310323
