protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,8,8824,10078,0,10086,0,0.49980162666137673,0.49980162666137673,1.0,0.6664903114873355
oscore,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,16,8824,0,10110,0,10054,0.498611386629637,nan,0.0,0.0
oscore,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,24,8824,10038,0,10126,0,0.4978178932751438,0.4978178932751438,1.0,0.6647241904509635
oscore,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,32,8824,10063,0,10101,0,0.49905772664153936,0.49905772664153936,1.0,0.6658285638667416
oscore,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,40,8824,10075,89,7322,2678,0.6324637968657012,0.5791228372707938,0.9912436048799685,0.7311055476942055
oscore,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,48,8824,8676,1450,2602,7436,0.7990478079746082,0.7692853342791275,0.8568042662453091,0.8106895907307046
oscore,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,56,8824,8582,1486,2641,7455,0.7953283078754215,0.764679675666043,0.8524036551450139,0.8061622281715278
oscore,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,64,8824,8507,1567,2614,7476,0.7926502678040072,0.7649491952162575,0.8444510621401627,0.8027364944562396
oscore,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,72,8824,8739,1509,2521,7395,0.8001388613370363,0.7761101243339253,0.852751756440281,0.812627859401153
oscore,eth,,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,80,8824,8621,1376,2849,7318,0.790468161079151,0.7516129032258064,0.8623587076122837,0.8031862859272372
