protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,8,4280,0,17582,0,61979,0.7790123301617626,nan,0.0,0.0
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,16,4280,0,17651,0,61910,0.7781450710775379,nan,0.0,0.0
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,24,4280,0,17383,0,62178,0.7815135556365556,nan,0.0,0.0
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,32,4280,0,17457,0,62104,0.7805834516911552,nan,0.0,0.0
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,40,4280,0,17581,0,61980,0.7790248991339979,nan,0.0,0.0
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,48,4280,9566,8099,4588,57308,0.8405374492527746,0.6758513494418539,0.5415227851684121,0.6012759671894151
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,56,4280,9506,8227,4643,57185,0.8382373273337439,0.6718496006784932,0.536062707945638,0.5963239445455115
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,64,4280,9425,8108,4547,57481,0.8409396563642991,0.6745634125393645,0.5375577482461644,0.5983177273448659
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,72,4280,9519,8013,4545,57484,0.8421588466711077,0.6768344709897611,0.5429500342231348,0.602544625902013
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,80,4280,9424,8144,4527,57466,0.8407385528085368,0.6755071321052254,0.5364298724954463,0.5979885148640502
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,88,4280,9377,8027,4637,57520,0.8408265356141829,0.6691165976880262,0.5387841875430935,0.5969189636514101
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,96,4280,9552,8098,4619,57292,0.8401603800857204,0.67405264272105,0.5411898016997168,0.6003582539832186
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,104,4280,9433,8137,4576,57415,0.8402106559746609,0.6733528445999001,0.5368810472396129,0.5974223376294373
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,112,4280,9729,7909,4784,57139,0.8404620354193637,0.6703645007923931,0.5515931511509241,0.6052066809741532
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,120,4280,9663,8035,4555,57308,0.8417566395595832,0.6796314530876354,0.5459938976155497,0.6055270083970422
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,128,4280,9564,8103,4563,57331,0.8408013976697125,0.6770014865151837,0.5413482764476142,0.601622947725986
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,136,4280,9581,8249,4569,57162,0.8388909138899712,0.6771024734982333,0.5373527762198542,0.5991869918699188
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,144,4280,9812,7824,4867,57058,0.840487173363834,0.6684379044894067,0.5563619868450896,0.607272164629429
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,152,4280,9584,7932,4604,57441,0.8424353640602807,0.6755004228925853,0.5471568851335922,0.604592480444108
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,160,4280,9462,7983,4616,57500,0.841643518809467,0.6721125159823839,0.542390369733448,0.600323573263966
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,168,4280,9525,7990,4583,57463,0.8419703120875806,0.6751488517153388,0.5438195832143876,0.6024096385542169
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,176,4280,9461,8137,4575,57388,0.840223224946896,0.6740524365916215,0.5376179111262643,0.598153885060378
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,184,4280,9425,8029,4576,57531,0.841568104976056,0.6731662024141133,0.539990833046866,0.5992687966936894
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,192,4280,10867,6647,5377,56670,0.8488706778446726,0.6689854715587293,0.6204750485326025,0.6438177617157415
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,200,4280,11074,6767,5292,56428,0.8484307638164428,0.6766467065868264,0.6207051174261532,0.6474698161195077
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,208,4280,11037,6573,5419,56532,0.8492728849561971,0.6706976178901313,0.6267461669505963,0.6479774555275054
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,216,4280,10931,6613,5347,56670,0.8496750920677216,0.6715198427325224,0.623062015503876,0.6463840104074271
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,224,4280,10845,6705,5328,56683,0.8487575570945564,0.6705620478575404,0.617948717948718,0.6431812116359754
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,232,4280,11047,6600,5385,56529,0.8493608677618432,0.6722857838364168,0.6259987533291778,0.648317145456146
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,240,4280,10902,6504,5456,56699,0.8496750920677216,0.6664628927741778,0.6263357462943813,0.6457765667574932
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,248,4280,10911,6662,5292,56696,0.8497505059011324,0.6733938159600074,0.6208956922551642,0.6460800568450971
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,256,4280,10999,6601,5390,56571,0.8492854539284322,0.6711208737567881,0.6249431818181819,0.6472093912736474
oscore,eth,,64,p1,json,dns_cbor,binvec,1,0.2,dt,,264,4280,10949,6571,5438,56603,0.8490592124281997,0.6681515835723439,0.6249429223744293,0.6458253457988026
