protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,eth,,64,p1,json,dns_message,binvec,1,0.2,nb,,12139,15626,15173,46714,0.6564605362958997,0.44445664909197424,0.4372051143526022,0.44080106033371463
oscore,eth,,64,p1,json,dns_message,binvec,1,0.2,lr,max_iter=5000,21415,6350,4297,57590,0.881240797751305,0.8328795892968264,0.7712947956059788,0.8009050619892664
oscore,eth,,64,p1,json,dns_message,binvec,1,0.2,knn,algorithm=brute,22937,4828,3549,58338,0.906560924463481,0.8660046817186439,0.8261120115253017,0.8455880997585298
oscore,eth,,64,p1,json,dns_message,binvec,1,0.2,svm,C=0.01,21359,6406,4152,57735,0.8822335251862758,0.8372466779036494,0.7692778678191968,0.8018244612958931
oscore,eth,,64,p1,json,dns_message,binvec,1,0.2,dt,,22354,5411,6427,55460,0.8679560969080444,0.776692957159237,0.805114352602197,0.7906483217203693
oscore,eth,,64,p1,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",23037,4728,3364,58523,0.909739883103556,0.8725805840687852,0.8297136682874122,0.8506073920909796
oscore,eth,,64,p1,json,dns_message,binvec,2,0.2,nb,,12025,15570,15054,47003,0.6584125284433141,0.4440710513682189,0.4357673491574561,0.43988001609540184
oscore,eth,,64,p1,json,dns_message,binvec,2,0.2,lr,max_iter=5000,21363,6232,4209,57848,0.8835385713648329,0.8354059127170342,0.7741619858670049,0.8036187860891154
oscore,eth,,64,p1,json,dns_message,binvec,2,0.2,knn,algorithm=brute,22847,4748,3582,58475,0.9070851737830723,0.8644670626962806,0.8279398441746694,0.8458092699540944
oscore,eth,,64,p1,json,dns_message,binvec,2,0.2,svm,C=0.01,21279,6316,4162,57895,0.8831258644536653,0.8364058016587398,0.7711179561514767,0.8024360811524248
oscore,eth,,64,p1,json,dns_message,binvec,2,0.2,dt,,22316,5279,6599,55458,0.8675099272743497,0.7717793532768459,0.8086972277586519,0.7898071137851708
oscore,eth,,64,p1,json,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",22956,4639,3340,58717,0.9110003123187436,0.8729844843322179,0.8318898351150571,0.8519418826891317
oscore,eth,,64,p1,json,dns_message,binvec,3,0.2,nb,,11971,15664,15299,46718,0.6546312407977513,0.43898056472313896,0.4331825583499186,0.4360622894089791
oscore,eth,,64,p1,json,dns_message,binvec,3,0.2,lr,max_iter=5000,21297,6338,4170,57847,0.8827912372283943,0.8362586877135116,0.7706531572281528,0.8021166811042899
oscore,eth,,64,p1,json,dns_message,binvec,3,0.2,knn,algorithm=brute,22857,4778,3453,58564,0.9081894436264668,0.8687571265678449,0.8271033110186358,0.8474186671609973
oscore,eth,,64,p1,json,dns_message,binvec,3,0.2,svm,C=0.01,21251,6384,4209,57808,0.8818431267567929,0.8346818538884525,0.7689886014112538,0.8004896882945663
oscore,eth,,64,p1,json,dns_message,binvec,3,0.2,dt,,22243,5392,6415,55602,0.8683018783741578,0.7761532556354247,0.8048851094626379,0.7902581137974526
oscore,eth,,64,p1,json,dns_message,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",22938,4697,3210,58807,0.9118034176593941,0.8772372648003671,0.8300343766962186,0.852983284681033
oscore,eth,,64,p1,json,dns_message,binvec,4,0.2,nb,,11989,15686,15081,46896,0.6568174720028555,0.44288880679719245,0.43320686540198733,0.43799433738240934
oscore,eth,,64,p1,json,dns_message,binvec,4,0.2,lr,max_iter=5000,21406,6269,4063,57914,0.884754383616651,0.8404727315560092,0.7734778681120145,0.8055848261327714
oscore,eth,,64,p1,json,dns_message,binvec,4,0.2,knn,algorithm=brute,22888,4787,3417,58560,0.9084906081292107,0.8701007413039347,0.8270280036133695,0.8480177843645794
oscore,eth,,64,p1,json,dns_message,binvec,4,0.2,svm,C=0.01,21312,6363,4028,57949,0.8840962834069513,0.8410418310970798,0.7700813008130082,0.8039988682448364
oscore,eth,,64,p1,json,dns_message,binvec,4,0.2,dt,,22358,5317,6400,55577,0.869305760049971,0.7774532304054524,0.8078771454381211,0.7923732567823791
oscore,eth,,64,p1,json,dns_message,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",22951,4724,3137,58840,0.9123165127381431,0.879753143207605,0.8293044263775972,0.8537842010304485
oscore,eth,,64,p1,json,dns_message,binvec,5,0.2,nb,,12161,15497,15185,46809,0.6577655824744568,0.4447085496964821,0.4396919516957119,0.44218602283470293
oscore,eth,,64,p1,json,dns_message,binvec,5,0.2,lr,max_iter=5000,21313,6345,4204,57790,0.8823339133538571,0.8352470901751773,0.7705907874755947,0.8016173013634227
oscore,eth,,64,p1,json,dns_message,binvec,5,0.2,knn,algorithm=brute,22869,4789,3418,58576,0.9084571454066837,0.8699737512839046,0.8268493745028563,0.8478635647418667
oscore,eth,,64,p1,json,dns_message,binvec,5,0.2,svm,C=0.01,21228,6430,4098,57896,0.8825681524115468,0.8381900023691069,0.7675175356135657,0.8012985052091197
oscore,eth,,64,p1,json,dns_message,binvec,5,0.2,dt,,22308,5350,6431,55563,0.8685918886360594,0.7762274261456558,0.8065659122134644,0.7911059098888239
oscore,eth,,64,p1,json,dns_message,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",22813,4845,3150,58844,0.9108218444652657,0.8786734968994339,0.8248246438643431,0.8508979690792786
oscore,eth,,64,p1,json,dns_message,binvec,6,0.2,nb,,11956,15733,14812,47151,0.6592937134698612,0.446652719665272,0.43179602008017626,0.4390987384541932
oscore,eth,,64,p1,json,dns_message,binvec,6,0.2,lr,max_iter=5000,21380,6309,4252,57711,0.8822000624637487,0.8341136079900124,0.7721477843186825,0.8019354475722511
oscore,eth,,64,p1,json,dns_message,binvec,6,0.2,knn,algorithm=brute,22855,4834,3468,58495,0.9073974925266587,0.8682520989248946,0.8254180360431941,0.8462934162778641
oscore,eth,,64,p1,json,dns_message,binvec,6,0.2,svm,C=0.01,21322,6367,4224,57739,0.8818654352384777,0.8346512174117279,0.7700530896746001,0.801051939513478
oscore,eth,,64,p1,json,dns_message,binvec,6,0.2,dt,,22348,5341,6489,55474,0.8680453308347834,0.7749765925720429,0.8071075156199212,0.7907157768106712
oscore,eth,,64,p1,json,dns_message,binvec,6,0.2,rf,"n_estimators=250,max_depth=9",22890,4799,3241,58722,0.9103199036273592,0.8759710688454326,0.8266820759146232,0.850613154960981
oscore,eth,,64,p1,json,dns_message,binvec,7,0.2,nb,,11944,15779,15018,46911,0.6564828447775845,0.4429938431867072,0.4308336038668254,0.43682911218798576
oscore,eth,,64,p1,json,dns_message,binvec,7,0.2,lr,max_iter=5000,21402,6321,4128,57801,0.883449337438094,0.8383078730904818,0.7719943729033655,0.8037857022139597
oscore,eth,,64,p1,json,dns_message,binvec,7,0.2,knn,algorithm=brute,22868,4855,3419,58510,0.907709811270245,0.869935709666375,0.8248746528153519,0.846806147009813
oscore,eth,,64,p1,json,dns_message,binvec,7,0.2,svm,C=0.01,21308,6415,4082,57847,0.8829139338776603,0.8392280425364317,0.7686036864697183,0.8023647694538061
oscore,eth,,64,p1,json,dns_message,binvec,7,0.2,dt,,22246,5477,6426,55503,0.8672310712532905,0.77587890625,0.8024384085416442,0.7889351892898306
oscore,eth,,64,p1,json,dns_message,binvec,7,0.2,rf,"n_estimators=250,max_depth=9",22893,4830,3310,58619,0.9092044795431223,0.8736785864214022,0.8257764311221729,0.8490524051477951
oscore,eth,,64,p1,json,dns_message,binvec,8,0.2,nb,,12056,15638,14826,47132,0.660197206978093,0.44847853582322744,0.4353289521195927,0.4418059220170038
oscore,eth,,64,p1,json,dns_message,binvec,8,0.2,lr,max_iter=5000,21339,6355,4165,57793,0.8826573863382858,0.8366922835633626,0.7705279121831443,0.80224820481973
oscore,eth,,64,p1,json,dns_message,binvec,8,0.2,knn,algorithm=brute,22831,4863,3500,58458,0.9067170838352742,0.8670768295924955,0.8244023976312559,0.8452012956964369
oscore,eth,,64,p1,json,dns_message,binvec,8,0.2,svm,C=0.01,21253,6441,4143,57815,0.8819435149243743,0.8368640730823752,0.7674225463999422,0.8006404219250329
oscore,eth,,64,p1,json,dns_message,binvec,8,0.2,dt,,22326,5368,6262,55696,0.870276179003257,0.7809570449139499,0.8061674008810573,0.7933619985075158
oscore,eth,,64,p1,json,dns_message,binvec,8,0.2,rf,"n_estimators=250,max_depth=9",22909,4785,3203,58755,0.9108999241511623,0.8773360906862745,0.8272188921788113,0.8515407203657585
