protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,eth,,1024,p2,cbor,dns_cbor,binvec,1,0.2,nb,,8859,1101,5048,5328,0.6976298190401259,0.6370173294024591,0.8894578313253012,0.7423639334646164
oscore,eth,,1024,p2,cbor,dns_cbor,binvec,1,0.2,lr,max_iter=5000,8721,1239,2403,7973,0.8209087332808812,0.7839805825242718,0.8756024096385542,0.8272623790552077
oscore,eth,,1024,p2,cbor,dns_cbor,binvec,1,0.2,knn,algorithm=brute,8722,1238,2147,8229,0.8335464201416207,0.8024657282178673,0.87570281124498,0.8374861971290029
oscore,eth,,1024,p2,cbor,dns_cbor,binvec,1,0.2,svm,C=0.01,8753,1207,2409,7967,0.8221872541306058,0.7841784626411037,0.8788152610441767,0.8288040905217309
oscore,eth,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,7529,2431,2034,8342,0.7804386309992132,0.7873052389417546,0.7559236947791165,0.7712953951749218
oscore,eth,,1024,p2,cbor,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9255,705,2760,7616,0.8296125098347757,0.7702871410736579,0.9292168674698795,0.842320819112628
oscore,eth,,1024,p2,cbor,dns_cbor,binvec,2,0.2,nb,,9047,1087,4970,5232,0.7021538158929976,0.6454305486195334,0.8927373199131636,0.7492029315556291
oscore,eth,,1024,p2,cbor,dns_cbor,binvec,2,0.2,lr,max_iter=5000,8859,1275,2277,7925,0.8253343823760818,0.7955280172413793,0.874185908821788,0.8330042313117066
oscore,eth,,1024,p2,cbor,dns_cbor,binvec,2,0.2,knn,algorithm=brute,8895,1239,2111,8091,0.8352675059008655,0.8081955297110667,0.8777383066903494,0.8415326395458845
oscore,eth,,1024,p2,cbor,dns_cbor,binvec,2,0.2,svm,C=0.01,8852,1282,2288,7914,0.8244492525570417,0.7946140035906643,0.87349516479179,0.8321895271223089
oscore,eth,,1024,p2,cbor,dns_cbor,binvec,2,0.2,dt,,7682,2452,1991,8211,0.7815204563335956,0.7941693373307144,0.7580422340635484,0.7756853637602867
oscore,eth,,1024,p2,cbor,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",9501,633,2778,7424,0.8322678992918962,0.7737600781822624,0.9375370041444642,0.8478115379467274
oscore,eth,,1024,p2,cbor,dns_cbor,binvec,3,0.2,nb,,8883,1117,5052,5284,0.6966463414634146,0.63745963401507,0.8883,0.7422602882807604
oscore,eth,,1024,p2,cbor,dns_cbor,binvec,3,0.2,lr,max_iter=5000,8750,1250,2380,7956,0.821498819826908,0.7861635220125787,0.875,0.8282063416942735
