protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,8,4280,0,17461,0,53924,0.7553967920431464,nan,0.0,0.0
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,16,4280,0,17504,0,53881,0.7547944245990054,nan,0.0,0.0
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,24,4280,0,17614,0,53771,0.7532534846256216,nan,0.0,0.0
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,32,4280,0,17571,0,53814,0.7538558520697626,nan,0.0,0.0
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,40,4280,0,17396,0,53989,0.756307347481964,nan,0.0,0.0
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,48,4280,8861,8746,3050,50728,0.8347552006724102,0.7439341784904709,0.5032657465780656,0.6003794295006437
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,56,4280,8846,8760,3172,50607,0.8328500385234994,0.7360625728074555,0.5024423491991367,0.5972184715095868
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,64,4280,8834,8791,3123,50637,0.8331021923373257,0.7388140838002843,0.5012198581560283,0.5972550875532419
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,72,4280,8825,8747,3158,50655,0.833228269244239,0.7364599849787199,0.5022194400182108,0.5971916765352733
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,80,4280,9001,8645,3235,50504,0.8335784828745535,0.7356162144491664,0.5100872719029809,0.6024362492470383
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,88,4280,8764,8844,3160,50617,0.8318414232681935,0.7349882589734988,0.49772830531576556,0.5935256670730056
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,96,4280,8834,8691,3145,50715,0.834194858863907,0.7374572167960598,0.5040798858773181,0.5988340563991323
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,104,4280,8818,8805,3161,50601,0.8323737479862716,0.7361215460389015,0.5003688361799921,0.5957705560435106
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,112,4280,8759,8844,3211,50571,0.831126987462352,0.7317460317460317,0.4975856388115662,0.5923646569505968
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,120,4280,8901,8798,3212,50474,0.8317573719969181,0.7348303475604723,0.5029097689134979,0.5971420904333825
