protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,nb,,8115,9353,15518,38399,0.6515934720179309,0.3433757880929209,0.4645637737577284,0.3948809031410428
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,lr,max_iter=5000,8196,9272,3195,50722,0.8253554668347692,0.7195154069001843,0.46920082436455235,0.5680030493087078
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,knn,algorithm=brute,10383,7085,4624,49293,0.8359739441059046,0.6918771240087959,0.5944011907487978,0.639445727482679
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,svm,C=0.01,8123,9345,3107,50810,0.8255655950129579,0.7233303650934996,0.46502175406457524,0.566102167398425
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,dt,,10502,6966,8208,45709,0.787434334944316,0.5613041154462854,0.601213647813144,0.5805738293990823
oscore,eth,,64,p2,cbor,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",10224,7244,3956,49961,0.8431042936191077,0.7210155148095909,0.5852988321502175,0.6461071789686552
oscore,eth,,64,p2,cbor,dns_cbor,binvec,2,0.2,nb,,8614,9128,15942,37701,0.6488057715206276,0.35079003094966604,0.4855145981287341,0.40730058158778193
oscore,eth,,64,p2,cbor,dns_cbor,binvec,2,0.2,lr,max_iter=5000,8412,9330,3116,50527,0.8256496462842334,0.7297015961138098,0.47412918498478185,0.574786470789204
oscore,eth,,64,p2,cbor,dns_cbor,binvec,2,0.2,knn,algorithm=brute,10647,7095,4625,49018,0.8358198501085662,0.697158198009429,0.6001014541765303,0.6449990912946023
oscore,eth,,64,p2,cbor,dns_cbor,binvec,2,0.2,svm,C=0.01,8312,9430,2987,50656,0.8260558940953981,0.7356403221524028,0.46849284184421147,0.5724320787851658
oscore,eth,,64,p2,cbor,dns_cbor,binvec,2,0.2,dt,,10652,7090,8164,45479,0.7863136513273097,0.5661139455782312,0.6003832713335587,0.582745226762952
oscore,eth,,64,p2,cbor,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",10410,7332,3794,49849,0.8441409259648386,0.7328921430582934,0.5867433209333784,0.6517247855756589
