protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;test_size;job_id;start;stop;feature;mdi;mdi_std
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;0;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;1;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;2;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;3;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;4;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;5;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;6;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;7;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;8;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;9;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;10;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;11;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;12;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;13;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;14;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;15;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;16;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;17;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;18;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;19;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;20;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;21;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;22;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;23;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;24;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;25;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;26;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;27;0.0;0.0
oscore;eth;;64;p2;cbor;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759467946;1759468986;28;0.0;0.0
