protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,eth,,1024,p2,json,dns_cbor,binvec,1,0.2,nb,,8869,1153,4621,5701,0.7161816751867872,0.6574499629355078,0.8849531031730193,0.7544232732221844
oscore,eth,,1024,p2,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,8645,1377,2535,7787,0.8077074321667322,0.7732558139534884,0.862602274995011,0.8154891048014338
oscore,eth,,1024,p2,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,8648,1374,2226,8096,0.8230436492331892,0.7952915210594078,0.8629016164438236,0.8277182235834609
oscore,eth,,1024,p2,json,dns_cbor,binvec,1,0.2,svm,C=0.01,8689,1333,2538,7784,0.8097227683837986,0.7739378284492741,0.8669926162442626,0.8178267212574709
oscore,eth,,1024,p2,json,dns_cbor,binvec,1,0.2,dt,,7442,2580,2305,8017,0.7598800629178136,0.7635169795834615,0.7425663540211535,0.75289594820173
oscore,eth,,1024,p2,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9250,772,2927,7395,0.8181773495871019,0.7596288084092963,0.9229694671722211,0.8333708725618271
oscore,eth,,1024,p2,json,dns_cbor,binvec,2,0.2,nb,,8956,1096,4651,5641,0.7175088478175383,0.6581906371720438,0.8909669717469161,0.7570903250348705
oscore,eth,,1024,p2,json,dns_cbor,binvec,2,0.2,lr,max_iter=5000,8723,1329,2492,7800,0.8121804954777821,0.7777975925100312,0.8677875049741345,0.820331969718343
oscore,eth,,1024,p2,json,dns_cbor,binvec,2,0.2,knn,algorithm=brute,8631,1421,2182,8110,0.8228961856075502,0.7982058633126792,0.8586350974930362,0.8273184759166068
oscore,eth,,1024,p2,json,dns_cbor,binvec,2,0.2,svm,C=0.01,8770,1282,2496,7796,0.814294140778608,0.7784484289011184,0.8724631914046956,0.822778872314476
oscore,eth,,1024,p2,json,dns_cbor,binvec,2,0.2,dt,,7424,2628,2238,8054,0.7608139992135273,0.7683709376940592,0.7385594906486271,0.7531703358019681
oscore,eth,,1024,p2,json,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",9351,701,2910,7382,0.8225029492725128,0.7626620993393687,0.9302626343016315,0.8381660915161565
oscore,eth,,1024,p2,json,dns_cbor,binvec,3,0.2,nb,,8889,1142,4680,5633,0.7138222571765631,0.6550961751050188,0.8861529259296181,0.7533050847457627
oscore,eth,,1024,p2,json,dns_cbor,binvec,3,0.2,lr,max_iter=5000,8643,1388,2546,7767,0.8066260322453794,0.7724550898203593,0.8616289502542119,0.8146088595664468
oscore,eth,,1024,p2,json,dns_cbor,binvec,3,0.2,knn,algorithm=brute,8543,1488,2248,8065,0.8163586315375541,0.7916782503938468,0.8516598544512013,0.8205743924695034
oscore,eth,,1024,p2,json,dns_cbor,binvec,3,0.2,svm,C=0.01,8687,1344,2573,7740,0.8074616594573338,0.7714920071047957,0.8660153524075367,0.8160255507021746
oscore,eth,,1024,p2,json,dns_cbor,binvec,3,0.2,dt,,7399,2632,2259,8054,0.7595851356665356,0.766100641954856,0.7376133984647593,0.7515871806592513
oscore,eth,,1024,p2,json,dns_cbor,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",9238,793,2901,7412,0.8184231222965002,0.7610182057830134,0.9209450702821255,0.8333784393324312
oscore,eth,,1024,p2,json,dns_cbor,binvec,4,0.2,nb,,8833,1116,4674,5721,0.7153952025167125,0.6539572073739542,0.8878279224042618,0.7531548431105047
oscore,eth,,1024,p2,json,dns_cbor,binvec,4,0.2,lr,max_iter=5000,8577,1372,2469,7926,0.8111974046401887,0.7764801738185768,0.8620966931349885,0.8170516789711836
oscore,eth,,1024,p2,json,dns_cbor,binvec,4,0.2,knn,algorithm=brute,8516,1433,2230,8165,0.81994691309477,0.7924809231341895,0.8559654236606694,0.8230007248127567
oscore,eth,,1024,p2,json,dns_cbor,binvec,4,0.2,svm,C=0.01,8614,1335,2487,7908,0.8121313409359024,0.7759661291775516,0.8658156598653131,0.8184323040380047
oscore,eth,,1024,p2,json,dns_cbor,binvec,4,0.2,dt,,7344,2605,2296,8099,0.7590935902477389,0.7618257261410788,0.7381646396622776,0.7498085660319567
oscore,eth,,1024,p2,json,dns_cbor,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",9150,799,2827,7568,0.8217656311443178,0.7639642648409452,0.919690421147854,0.8346255586974368
oscore,eth,,1024,p2,json,dns_cbor,binvec,5,0.2,nb,,8924,1144,4650,5626,0.7151985843491938,0.6574333284219832,0.88637266587207,0.7549276710938161
