protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;job_id;start;stop;feature;accuracy_mean;accuracy_std;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;balanced_accuracy_mean;balanced_accuracy_std;roc_auc_mean;roc_auc_std
oscore;eth;;1024;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760484064;1760488001;0;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760484064;1760488001;1;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760484064;1760488001;2;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760484064;1760488001;3;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760484064;1760488001;4;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760484064;1760488001;5;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760484064;1760488001;6;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760484064;1760488001;7;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760484064;1760488001;8;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760484064;1760488001;9;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760484064;1760488001;10;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760484064;1760488001;11;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760484064;1760488001;12;0.0;0.0;;;;;0.0;0.0;;;;
