protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,eth,,64,p2,json,dns_cbor,binvec,1,0.2,nb,,8000,9567,16627,45367,0.6707683412727341,0.32484671295732326,0.4553993282859908,0.3792008342418353
oscore,eth,,64,p2,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,7895,9672,3128,58866,0.8391171553902037,0.7162297015331579,0.44942221210223715,0.5522910108429521
oscore,eth,,64,p2,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,10281,7286,4619,57375,0.8503663855406544,0.69,0.5852450617635339,0.6333199864477778
oscore,eth,,64,p2,json,dns_cbor,binvec,1,0.2,svm,C=0.01,8039,9528,3179,58815,0.8402860698080717,0.7166161526118737,0.45761940001138496,0.558554802848706
oscore,eth,,64,p2,json,dns_cbor,binvec,1,0.2,dt,,10366,7201,8774,53220,0.7992106685436332,0.5415882967607105,0.5900836796265726,0.5647969052224371
oscore,eth,,64,p2,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",10700,6867,4414,57580,0.8582094242153819,0.7079528913590049,0.6090966015825127,0.6548147241516478
oscore,eth,,64,p2,json,dns_cbor,binvec,1,0.2,nb,,7880,9549,16800,45332,0.6688201505762874,0.3192868719611021,0.4521200298353319,0.3742667838229357
oscore,eth,,64,p2,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,7874,9555,3161,58971,0.8401729490579555,0.7135478024467603,0.45177577600550806,0.5532602585722316
oscore,eth,,64,p2,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,10152,7277,4626,57506,0.8503915234851246,0.6869671132764921,0.5824774800619656,0.6304219579594498
oscore,eth,,64,p2,json,dns_cbor,binvec,1,0.2,svm,C=0.01,7966,9463,3130,59002,0.8417189326428778,0.7179163662581111,0.4570543347294739,0.5585276073619632
oscore,eth,,64,p2,json,dns_cbor,binvec,1,0.2,dt,,10178,7251,8708,53424,0.7994117720993954,0.5389177168272795,0.5839692466578691,0.5605397218780118
oscore,eth,,64,p2,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",10649,6780,4267,57865,0.8611505637184047,0.7139313488871011,0.6109931722990418,0.6584634410264337
oscore,eth,,64,p2,json,dns_cbor,binvec,1,0.2,nb,,7910,9679,16528,45444,0.6706049446336773,0.32367624191832395,0.449712888737279,0.3764246793727842
oscore,eth,,64,p2,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,7919,9670,3131,58841,0.8391045864179686,0.7166515837104073,0.4502245721757917,0.5530221027270505
oscore,eth,,64,p2,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,10218,7371,4595,57377,0.8495996782343108,0.6897995004388038,0.5809312638580931,0.6307018085303376
oscore,eth,,64,p2,json,dns_cbor,binvec,1,0.2,svm,C=0.01,7973,9616,3102,58870,0.8401478111134852,0.7199097065462754,0.4532946728068679,0.5563075634942786
oscore,eth,,64,p2,json,dns_cbor,binvec,1,0.2,dt,,10315,7274,8880,53092,0.796960822513543,0.5373795259182078,0.5864460742509523,0.5608416702914311
oscore,eth,,64,p2,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",10725,6864,4509,57463,0.857053078769749,0.7040173296573454,0.6097560975609756,0.6535051640617859
oscore,eth,,64,p2,json,dns_cbor,binvec,2,0.2,nb,,7908,9703,16622,45328,0.6691218059099308,0.32238075825519774,0.44903753335983193,0.3753114544030754
oscore,eth,,64,p2,json,dns_cbor,binvec,2,0.2,lr,max_iter=5000,7873,9738,3182,58768,0.8376088787219869,0.7121664405246495,0.44705013911759695,0.549291843996372
oscore,eth,,64,p2,json,dns_cbor,binvec,2,0.2,knn,algorithm=brute,10241,7370,4593,57357,0.8496373851510162,0.6903734663610624,0.5815115552779513,0.6312837108953614
oscore,eth,,64,p2,json,dns_cbor,binvec,2,0.2,svm,C=0.01,7953,9658,3112,58838,0.839494224557258,0.7187528242205151,0.45159275452841974,0.5546798716696889
oscore,eth,,64,p2,json,dns_cbor,binvec,2,0.2,dt,,10166,7445,8720,53230,0.7968225638189566,0.5382823255321402,0.577252853330305,0.5570868838534674
oscore,eth,,64,p2,json,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",10703,6908,4368,57582,0.8582722690765576,0.7101718532280539,0.6077451592754528,0.6549782755033352
