protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,eth,,1024,p2,json,dns_message,binvec,1,0.2,nb,,8958,1168,4284,5934,0.7320094376720409,0.676483914816493,0.8846533675686352,0.766689489900719
oscore,eth,,1024,p2,json,dns_message,binvec,1,0.2,lr,max_iter=5000,8953,1173,2103,8115,0.8389697208022021,0.809786541244573,0.8841595891763776,0.845340383344349
oscore,eth,,1024,p2,json,dns_message,binvec,1,0.2,knn,algorithm=brute,9041,1085,1912,8306,0.8526838379866299,0.8254359536200128,0.8928500888801106,0.8578205797238958
oscore,eth,,1024,p2,json,dns_message,binvec,1,0.2,svm,C=0.01,9030,1096,2110,8108,0.842410538733779,0.8105924596050269,0.891763776417144,0.8492429229756419
oscore,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,7773,2353,1950,8268,0.7884880062917814,0.7994446158593027,0.7676278886035947,0.7832132601138596
oscore,eth,,1024,p2,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9624,502,2672,7546,0.8439834840739284,0.7826935588809368,0.9504246494173415,0.8584426010168584
oscore,eth,,1024,p2,json,dns_message,binvec,1,0.2,nb,,8827,1199,4330,5988,0.7282245379473063,0.6708976210382306,0.8804109315778975,0.7615062761506276
oscore,eth,,1024,p2,json,dns_message,binvec,1,0.2,lr,max_iter=5000,8940,1086,2099,8219,0.843442784113252,0.8098559652142404,0.8916816277678037,0.8488013292190838
oscore,eth,,1024,p2,json,dns_message,binvec,1,0.2,knn,algorithm=brute,8972,1054,1844,8474,0.8575501376327173,0.8295118343195266,0.8948733293437063,0.8609538432012283
oscore,eth,,1024,p2,json,dns_message,binvec,1,0.2,svm,C=0.01,9093,933,2138,8180,0.8490464018875344,0.8096340486154394,0.9069419509275882,0.8555299430775745
oscore,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,7750,2276,1954,8364,0.7920762878489972,0.7986397361912614,0.7729902254139238,0.7856056766345666
oscore,eth,,1024,p2,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9573,453,2665,7653,0.8467361384191899,0.7822356594214741,0.9548174745661281,0.8599532878189005
oscore,eth,,1024,p2,json,dns_message,binvec,1,0.2,nb,,8913,1145,4332,5954,0.7307805741250492,0.6729331823329558,0.8861602704314974,0.7649658842209157
oscore,eth,,1024,p2,json,dns_message,binvec,1,0.2,lr,max_iter=5000,8919,1139,2062,8224,0.8426563114431773,0.8122211091885985,0.8867568104991052,0.8478539854555824
oscore,eth,,1024,p2,json,dns_message,binvec,1,0.2,knn,algorithm=brute,8976,1082,1885,8401,0.85415847424302,0.8264432372709696,0.89242394114138,0.8581672164061379
oscore,eth,,1024,p2,json,dns_message,binvec,1,0.2,svm,C=0.01,9037,1021,2092,8194,0.8469819111285882,0.8120226435438943,0.89848876516206,0.8530702789446358
oscore,eth,,1024,p2,json,dns_message,binvec,1,0.2,dt,,7782,2276,1944,8342,0.7925678332677939,0.8001233806292412,0.773712467687413,0.786696320258795
oscore,eth,,1024,p2,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9563,495,2615,7671,0.8471293747542273,0.785268516997865,0.9507854444223504,0.8601367152365533
