protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,schc,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,1,1016,0,17337,0,56006,0.7636175231446763,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,2,1016,0,17626,0,55717,0.75967713346877,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,3,1016,0,17649,0,55694,0.7593635384426598,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,4,1016,0,17497,0,55846,0.7614359925282577,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,5,1016,0,17391,0,55952,0.7628812565616351,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,6,1016,0,17713,0,55630,0.7584909261960924,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,7,1016,0,17440,0,55903,0.7622131628103568,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,8,1016,0,17485,0,55858,0.7615996073244891,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,9,1016,0,17436,0,55907,0.7622677010757672,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,10,1016,0,17692,0,55651,0.7587772520894973,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,11,1016,0,17725,0,55618,0.758327311399861,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_cbor,binvec,1,0.2,dt,,12,1016,0,17786,0,55557,0.7574956028523513,nan,0.0,0.0
