protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,1,1016,0,27926,0,55511,0.6653043613744501,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,2,1016,0,27624,0,55813,0.6689238587197526,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,3,1016,0,27565,0,55872,0.6696309790620468,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,4,1016,0,27756,0,55681,0.6673418267675012,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,5,1016,0,27637,0,55800,0.6687680525426369,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,6,1016,0,27781,0,55656,0.6670421995038173,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,7,1016,0,27884,0,55553,0.6658077351774393,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,8,1016,0,27572,0,55865,0.6695470834282153,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,9,1016,0,27760,0,55677,0.6672938864053118,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,10,1016,0,27709,0,55728,0.6679051260232272,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,11,1016,1,27783,3,55650,0.6669822740510805,0.25,3.599193780593147e-05,7.197351374694113e-05
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,12,1016,0,27661,0,55776,0.6684804103695003,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,13,1016,2,27696,1,55738,0.6680489471097955,0.6666666666666666,7.220737959419453e-05,0.0001443991191653731
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,14,1016,0,27659,1,55777,0.6684923954600477,0.0,0.0,0.0
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,15,1016,0,27761,1,55675,0.667269916224217,0.0,0.0,0.0
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,16,1016,0,27575,0,55862,0.6695111281565732,nan,0.0,0.0
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,17,1016,4,27652,14,55767,0.6684204849167635,0.2222222222222222,0.0001446340757882557,0.0002890800028908
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,18,1016,8,27478,24,55927,0.6703860397665304,0.25,0.00029105726551699045,0.0005814376044770696
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,19,1016,52,27499,117,55769,0.6690197394441315,0.3076923076923077,0.0018874088054880041,0.003751803751803752
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,20,1016,106,27539,234,55558,0.6671380802281961,0.31176470588235294,0.003834328088261892,0.007575486867964981
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,21,1016,150,27418,299,55570,0.6678092452988482,0.33407572383073497,0.005441091120139292,0.010707784559374666
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,22,1016,300,27207,555,55375,0.667269916224217,0.3508771929824561,0.010906314756243865,0.02115506663845991
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,23,1016,929,26901,1658,53949,0.6577177990579719,0.3591032083494395,0.033381243262666185,0.061084262090278466
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,24,1016,2187,25500,4204,51546,0.6439948703812457,0.3421999687059928,0.07899013977679055,0.12835260285228006
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,25,1016,3900,23624,7461,48452,0.6274434603353428,0.3432796408766834,0.14169452114518238,0.20059148772020058
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,26,1016,5472,22227,10178,45560,0.6116231408128289,0.3496485623003195,0.1975522582042673,0.2524625712242497
oscore,schc,,64,d1,cbor,dns_message,binvec,1,0.2,dt,,27,1016,5966,21582,11331,44558,0.6055347148147704,0.3449153032317743,0.21656744591258895,0.2660720258668748
