protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,1,0.2,nb,,22290,5483,0,55686,0.9343030709689788,1.0,0.8025780434234688,0.8904779977228692
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,1,0.2,lr,max_iter=5000,27773,0,0,55686,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,1,0.2,knn,algorithm=brute,24251,3522,1370,54316,0.9413843923363567,0.9465282385543109,0.8731861880243402,0.9083792186387983
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,1,0.2,svm,C=0.01,27773,0,0,55686,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,1,0.2,dt,,27773,0,0,55686,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",23440,4333,424,55262,0.9430019530547934,0.9822326516929266,0.8439851654484571,0.9078761353293181
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,2,0.2,nb,,22159,5433,0,55867,0.9349021675313627,1.0,0.8030951000289939,0.890796164901208
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,2,0.2,lr,max_iter=5000,27592,0,0,55867,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,2,0.2,knn,algorithm=brute,24110,3482,1324,54543,0.9424148384236571,0.9479436974129118,0.8738040011597564,0.9093652170633274
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,2,0.2,svm,C=0.01,27592,0,0,55867,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,2,0.2,dt,,27592,0,0,55867,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",23294,4298,458,55409,0.943013934986041,0.9807174132704615,0.8442302116555523,0.9073698971642257
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,5,0.2,nb,,22211,5444,0,55804,0.9347703662876382,1.0,0.8031459048996564,0.8908274174788433
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,5,0.2,lr,max_iter=5000,27655,0,0,55804,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,5,0.2,knn,algorithm=brute,24092,3563,1278,54526,0.9419954708299884,0.9496255419787151,0.8711625384198156,0.9087034417727488
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,5,0.2,svm,C=0.01,27655,0,0,55804,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,5,0.2,dt,,27655,0,0,55804,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",22890,4765,404,55400,0.9380653973807498,0.9826564780630205,0.8276984270475501,0.8985456044279574
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,3,0.2,nb,,22091,5333,0,56035,0.9361003606561306,1.0,0.8055352975495916,0.8922952640613956
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,3,0.2,lr,max_iter=5000,27424,0,0,56035,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,3,0.2,knn,algorithm=brute,23886,3538,1241,54794,0.9427383505673445,0.9506108966450432,0.8709889148191365,0.9090597705086487
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,3,0.2,svm,C=0.01,27424,0,0,56035,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,3,0.2,dt,,27424,0,0,56035,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",23121,4303,370,55665,0.9440084352795983,0.9842492869609638,0.8430936406067678,0.9082195816557007
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,4,0.2,nb,,21882,5526,0,56051,0.9337878479253287,1.0,0.7983800350262698,0.8878880097382836
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,4,0.2,lr,max_iter=5000,27408,0,0,56051,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,4,0.2,knn,algorithm=brute,23906,3502,1325,54726,0.9421632178674558,0.9474852364155206,0.8722270869819031,0.9082999297099109
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,4,0.2,svm,C=0.01,27408,0,0,56051,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,4,0.2,dt,,27408,0,0,56051,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",22944,4464,402,55649,0.9416959225487964,0.98278077615009,0.8371278458844134,0.9041257831895023
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,6,0.2,nb,,22374,5462,0,55623,0.93455469152518,1.0,0.8037792786319874,0.8912168890659231
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,6,0.2,lr,max_iter=5000,27836,0,0,55623,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,6,0.2,knn,algorithm=brute,24284,3552,1218,54405,0.9428461879485736,0.9522390400752883,0.8723954591176893,0.910570325096554
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,6,0.2,svm,C=0.01,27836,0,0,55623,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,6,0.2,dt,,27836,0,0,55623,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,6,0.2,rf,"n_estimators=250,max_depth=9",23253,4583,393,55230,0.9403779101115518,0.9833798528292311,0.8353570915361402,0.9033448583971097
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,7,0.2,nb,,22334,5330,0,55795,0.9361363064498736,1.0,0.8073308270676691,0.8933957358294332
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,7,0.2,lr,max_iter=5000,27664,0,0,55795,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,7,0.2,knn,algorithm=brute,24141,3523,1281,54514,0.9424388022861525,0.9496105735189992,0.8726503759398496,0.9095053309723844
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,7,0.2,svm,C=0.01,27664,0,0,55795,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,7,0.2,dt,,27664,0,0,55795,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,cbor,dns_message,binvec,7,0.2,rf,"n_estimators=250,max_depth=9",23171,4493,464,55331,0.9406055668052576,0.9803680981595092,0.8375867553499132,0.9033704360708785
