protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;test_size;job_id;start;stop;feature;mdi;mdi_std
oscore;schc;min_rules;1024;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759458327;1759458707;0;0.0;0.0
oscore;schc;min_rules;1024;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759458327;1759458707;1;0.0;0.0
oscore;schc;min_rules;1024;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759458327;1759458707;2;0.0;0.0
oscore;schc;min_rules;1024;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759458327;1759458707;3;0.028426415179320152;0.031105029904961376
oscore;schc;min_rules;1024;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759458327;1759458707;4;0.034283151942655236;0.04034628884237187
oscore;schc;min_rules;1024;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759458327;1759458707;5;0.04031148120141907;0.05923401171248006
oscore;schc;min_rules;1024;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759458327;1759458707;6;0.03960766538609624;0.05660980090768736
oscore;schc;min_rules;1024;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759458327;1759458707;7;0.030835966134484253;0.0387370718663422
oscore;schc;min_rules;1024;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759458327;1759458707;8;0.15792615028112827;0.16211545560807236
oscore;schc;min_rules;1024;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759458327;1759458707;9;0.01716765466551106;0.020550479974578467
oscore;schc;min_rules;1024;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759458327;1759458707;10;0.01580553044064438;0.04167452751732654
