protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,1,0.2,nb,,8935,2240,4995,18362,0.7904841885787096,0.6414213926776741,0.7995525727069351,0.7118103963353913
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,9973,1202,444,22913,0.952334066952392,0.9573773639243545,0.8924384787472036,0.9237680622452761
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,9490,1685,2383,20974,0.8821962237924245,0.7992925124231449,0.8492170022371365,0.8234987851440472
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,1,0.2,svm,C=0.01,9586,1589,316,23041,0.9448337773659214,0.9680872550999798,0.8578076062639821,0.9096171181857
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,1,0.2,dt,,10536,639,837,22520,0.9572570369512337,0.9264046425745186,0.9428187919463087,0.9345396487493347
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",9097,2078,610,22747,0.9221591567241978,0.9371587514165035,0.8140492170022371,0.8712766976343262
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,2,0.2,nb,,8998,2285,4914,18335,0.791526699872582,0.6467797584818862,0.7974829389346805,0.714268704107958
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,2,0.2,lr,max_iter=5000,10101,1182,444,22805,0.9529132398934321,0.9578947368421052,0.8952406274926881,0.9255085211654756
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,2,0.2,knn,algorithm=brute,9516,1767,2398,20851,0.8793872350283795,0.7987241900285379,0.8433927147035363,0.820450920377635
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,2,0.2,svm,C=0.01,9713,1570,330,22919,0.9449785706011815,0.9671412924424972,0.8608526101214216,0.9109068742380193
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,2,0.2,dt,,10656,627,913,22336,0.955403683539905,0.9210822024375486,0.9444296729593193,0.932609837213373
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",9208,2075,559,22690,0.9237229236650064,0.9427664584826456,0.8160950101923248,0.8748693586698337
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,5,0.2,nb,,8784,2368,4929,18451,0.788688752461485,0.6405600525049223,0.787661406025825,0.706535290569073
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,5,0.2,lr,max_iter=5000,9910,1242,454,22926,0.9508861345997915,0.9561945194905442,0.8886298421807748,0.9211749395798475
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,5,0.2,knn,algorithm=brute,9345,1807,2364,21016,0.8792134831460674,0.7981040225467589,0.8379662840746055,0.8175495385153755
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,5,0.2,svm,C=0.01,9513,1639,344,23036,0.9425750028958647,0.9651009434919346,0.8530308464849354,0.9056118806225903
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,5,0.2,dt,,10465,687,876,22504,0.9547376346577088,0.9227581342033331,0.938396700143472,0.9305117147557018
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",8993,2159,565,22815,0.9211166454303255,0.9408872148985143,0.8064024390243902,0.8684693384838242
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,3,0.2,nb,,8811,2305,4906,18510,0.7911791961079578,0.6423416198877305,0.7926412378553437,0.7096202633592397
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,3,0.2,lr,max_iter=5000,9912,1204,447,22969,0.9521892737171319,0.9568491167101072,0.8916876574307305,0.9231199068684517
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,3,0.2,knn,algorithm=brute,9403,1713,2347,21069,0.8824278929688405,0.8002553191489362,0.845897804965815,0.8224438030263272
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,3,0.2,svm,C=0.01,9504,1612,339,23077,0.943501679601529,0.9655592807071015,0.8549838071248651,0.9069134977813827
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,3,0.2,dt,,10505,611,917,22499,0.9557511873045291,0.9197163368937139,0.9450341849586182,0.9322033898305084
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",9025,2091,532,22884,0.9240414687825784,0.9443339960238568,0.8118927671824397,0.8731195278866154
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,4,0.2,nb,,8842,2279,4927,18484,0.7913239893432179,0.6421671871595613,0.7950723855768366,0.7104861390116513
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,4,0.2,lr,max_iter=5000,9918,1203,446,22965,0.952247191011236,0.956966422230799,0.8918262746155922,0.923248778217361
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,4,0.2,knn,algorithm=brute,9344,1777,2369,21042,0.8799374493223676,0.797746094083497,0.8402122111320924,0.8184286590172549
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,4,0.2,svm,C=0.01,9497,1624,355,23056,0.9426908374840728,0.9639667072675598,0.8539699667296107,0.9056405855147094
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,4,0.2,dt,,10474,647,879,22532,0.9558091045986331,0.9225755306967321,0.9418217786170309,0.932099314763727
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",8991,2130,647,22764,0.9195818371365689,0.932869890018676,0.8084704612894524,0.8662266968543764
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,6,0.2,nb,,8809,2296,4874,18553,0.7923665006370902,0.643791566177008,0.7932462854570014,0.7107471357108278
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,6,0.2,lr,max_iter=5000,9941,1164,456,22971,0.9530869917757442,0.9561411945753583,0.8951823502926609,0.9246581713328993
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,6,0.2,knn,algorithm=brute,9356,1749,2441,20986,0.8786632688520792,0.7930829872001356,0.8425033768572715,0.8170465461531744
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,6,0.2,svm,C=0.01,9558,1547,364,23063,0.9446600254836094,0.9633138480145133,0.8606933813597478,0.9091168497645884
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,6,0.2,dt,,10483,622,915,22512,0.9554905594810611,0.9197227583786629,0.9439891940567312,0.9316979958227792
oscore,schc,min_rules,1024,d2,json,dns_cbor,binvec,6,0.2,rf,"n_estimators=250,max_depth=9",9028,2077,591,22836,0.922738329665238,0.9385591017777316,0.8129671319225574,0.8712603744450879
