protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,1,0.2,nb,,10729,6848,1647,62426,0.8959583588487446,0.8669198448610214,0.610399954485976,0.7163890094481354
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,17577,0,0,64073,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,12883,4694,1127,62946,0.9287078995713411,0.9195574589578872,0.7329464641292598,0.8157153259252224
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,1,0.2,svm,C=0.01,17577,0,0,64073,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,1,0.2,dt,,17577,0,0,64073,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",11331,6246,131,63942,0.9218983466013472,0.9885709300296632,0.6446492575524834,0.7803987740624677
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,2,0.2,nb,,10762,6840,1574,62474,0.8969503980404164,0.8724059662775616,0.611407794568799,0.7189525018371301
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,2,0.2,lr,max_iter=5000,17602,0,0,64048,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,2,0.2,knn,algorithm=brute,13009,4593,1077,62971,0.9305572565829762,0.9235411046429078,0.739063742756505,0.8210679121433981
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,2,0.2,svm,C=0.01,17602,0,0,64048,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,2,0.2,dt,,17602,0,0,64048,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",11122,6480,148,63900,0.9188242498469076,0.9868677905944987,0.6318600159072832,0.7704350235522305
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,5,0.2,nb,,11048,6507,1460,62635,0.9024249846907532,0.8832747041893189,0.6293363714041583,0.7349898546385923
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,5,0.2,lr,max_iter=5000,17555,0,0,64095,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,5,0.2,knn,algorithm=brute,12813,4742,1087,63008,0.9286099203919167,0.9217985611510792,0.7298775277698661,0.814687649022413
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,5,0.2,svm,C=0.01,17555,0,0,64095,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,5,0.2,dt,,17555,0,0,64095,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",11314,6241,172,63923,0.9214574402939375,0.9850252481281561,0.6444887496439761,0.7791742708584415
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,3,0.2,nb,,10801,6740,1598,62511,0.897881200244948,0.8711186385998871,0.6157573684510576,0.7215096860387441
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,3,0.2,lr,max_iter=5000,17541,0,0,64109,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,3,0.2,knn,algorithm=brute,12755,4786,1165,62944,0.927115737905695,0.9163074712643678,0.727153526024742,0.8108451733892756
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,3,0.2,svm,C=0.01,17541,0,0,64109,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,3,0.2,dt,,17541,0,0,64109,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",10600,6941,135,63974,0.9133374157991426,0.9874243129948765,0.6042985006556069,0.7497524402319988
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,4,0.2,nb,,10613,7027,1667,62343,0.8935211267605634,0.8642508143322476,0.6016439909297052,0.7094251336898396
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,4,0.2,lr,max_iter=5000,17640,0,0,64010,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,4,0.2,knn,algorithm=brute,12861,4779,1130,62880,0.927630128597673,0.919233793152741,0.7290816326530613,0.8131895924883816
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,4,0.2,svm,C=0.01,17640,0,0,64010,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,4,0.2,dt,,17640,0,0,64010,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",11162,6478,151,63859,0.9188120024494795,0.9866525236453637,0.632766439909297,0.7710427244154319
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,6,0.2,nb,,11185,6541,1576,62348,0.9005878750765463,0.8764987069978841,0.6309940200834931,0.7337553711417981
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,6,0.2,lr,max_iter=5000,17726,0,0,63924,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,6,0.2,knn,algorithm=brute,12998,4728,1124,62800,0.9283282302510717,0.9204078742387763,0.7332731580728873,0.816252197940216
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,6,0.2,svm,C=0.01,17726,0,0,63924,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,6,0.2,dt,,17726,0,0,63924,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,6,0.2,rf,"n_estimators=250,max_depth=9",11593,6133,140,63784,0.9231720759338641,0.9880678428364442,0.654011057204107,0.7870599816694389
oscore,schc,min_rules,64,d2,json,dns_cbor,binvec,7,0.2,nb,,11251,6474,1593,62332,0.9012002449479486,0.8759732170663345,0.63475317348378,0.7361052046190585
