protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,1,0.2,nb,,7754,5459,4112,19132,0.7374715418163864,0.6534636777347042,0.5868462877469159,0.6183659635551657
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,1,0.2,lr,max_iter=5000,11621,1592,1298,21946,0.9207285295005074,0.8995278272312098,0.8795126012260652,0.8894076228378999
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,1,0.2,knn,algorithm=brute,11408,1805,3429,19815,0.8564336067147599,0.7688885893374672,0.8633921138272913,0.8134046345811051
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,1,0.2,svm,C=0.01,11600,1613,1328,21916,0.9193296211975752,0.8972772277227723,0.8779232573980171,0.8874947400635018
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,1,0.2,dt,,11982,1231,1568,21676,0.9232246207861317,0.8842804428044281,0.906834178460607,0.8954153121847327
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",8459,4754,813,22431,0.8472995583838495,0.9123166522864539,0.6402028305456747,0.7524127195908383
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,2,0.2,nb,,7646,5459,4191,19161,0.7353046054255699,0.645940694432711,0.5834414345669592,0.6131023975623446
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,2,0.2,lr,max_iter=5000,11443,1662,1241,22111,0.9203719450311326,0.902160201829076,0.8731781762685997,0.8874326263135446
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,2,0.2,knn,algorithm=brute,11224,1881,3395,19957,0.8552815645829334,0.7677679731855804,0.8564669973292637,0.8096955706247295
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,2,0.2,svm,C=0.01,11409,1696,1239,22113,0.919494198644979,0.9020398481973435,0.8705837466615796,0.8860326952199744
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,2,0.2,dt,,11824,1281,1520,21832,0.923169761636997,0.8860911270983214,0.9022510492178558,0.8940980755416084
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",8293,4812,958,22394,0.8417313547466879,0.8964436277159226,0.6328119038534911,0.7419037394882806
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,5,0.2,nb,,7866,5382,4019,19190,0.7421345694928272,0.6618426588136306,0.59375,0.6259499462857597
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,5,0.2,lr,max_iter=5000,11597,1651,1251,21958,0.9203993746056999,0.9026307596513076,0.8753774154589372,0.8887952176578786
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,5,0.2,knn,algorithm=brute,11434,1814,3280,19929,0.8602737471541816,0.7770830501563137,0.8630736714975845,0.817824189972105
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,5,0.2,svm,C=0.01,11577,1671,1290,21919,0.9187810297062292,0.8997435299603638,0.8738677536231884,0.8866168868466399
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,5,0.2,dt,,11971,1277,1625,21584,0.9203993746056999,0.8804795528096498,0.9036080917874396,0.8918939055282372
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",8511,4737,895,22314,0.845516636036975,0.904847969381246,0.6424365942028986,0.7513904829169241
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,3,0.2,nb,,7644,5345,4072,19396,0.7416956962997504,0.6524411061795835,0.5884979598121487,0.6188221007893139
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,3,0.2,lr,max_iter=5000,11370,1619,1223,22245,0.9220451490797378,0.90288255379973,0.8753560705212102,0.8889062622156204
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,3,0.2,knn,algorithm=brute,11168,1821,3345,20123,0.8582988177853361,0.7695169847722731,0.8598044499191624,0.8121591157006763
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,3,0.2,svm,C=0.01,11320,1669,1219,22249,0.920783388649642,0.9027833160539118,0.8715066594810994,0.8868693199623943
oscore,schc,min_rules,1024,d2,json,dns_message,binvec,3,0.2,dt,,11683,1306,1511,21957,0.9227308884439203,0.8854782476883432,0.8994533836323042,0.892411106443112
