protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,nb,,21920,5737,0,64084,0.9374652554474008,1.0,0.7925660773041183,0.8842810174072655
oscore,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,lr,max_iter=5000,27657,0,0,64084,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,knn,algorithm=brute,23986,3671,1248,62836,0.9463816614163787,0.9505429182848538,0.8672668763784936,0.9069974097672572
oscore,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,svm,C=0.01,27657,0,4,64080,0.9999563989928167,0.9998553920682549,1.0,0.999927690805886
oscore,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,dt,,27657,0,0,64084,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",23150,4507,293,63791,0.9476787913800809,0.9875015996246215,0.8370394475178075,0.9060665362035225
oscore,schc,min_rules,64,d2,json,dns_message,binvec,2,0.2,nb,,22109,5885,0,63747,0.93585201818162,1.0,0.789776380652997,0.8825419635550765
oscore,schc,min_rules,64,d2,json,dns_message,binvec,2,0.2,lr,max_iter=5000,27994,0,0,63747,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_message,binvec,2,0.2,knn,algorithm=brute,24311,3683,1255,62492,0.9461745566322582,0.9509113666588438,0.8684360934485962,0.9078043315907394
oscore,schc,min_rules,64,d2,json,dns_message,binvec,2,0.2,svm,C=0.01,27994,0,0,63747,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_message,binvec,2,0.2,dt,,27994,0,0,63747,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_message,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",23312,4682,337,63410,0.945291636236797,0.9857499260010995,0.8327498749732085,0.9028135468504928
oscore,schc,min_rules,64,d2,json,dns_message,binvec,5,0.2,nb,,21844,5861,0,64036,0.9361136242247196,1.0,0.7884497383143837,0.8817130517265737
oscore,schc,min_rules,64,d2,json,dns_message,binvec,5,0.2,lr,max_iter=5000,27705,0,0,64036,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_message,binvec,5,0.2,knn,algorithm=brute,23995,3710,1214,62822,0.9463271601573996,0.9518425958982903,0.8660891535823858,0.9069433420266848
oscore,schc,min_rules,64,d2,json,dns_message,binvec,5,0.2,svm,C=0.01,27705,0,0,64036,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_message,binvec,5,0.2,dt,,27705,0,0,64036,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_message,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",22831,4874,369,63667,0.9428499798345342,0.9840948275862069,0.8240750767009565,0.8970042235536784
oscore,schc,min_rules,64,d2,json,dns_message,binvec,3,0.2,nb,,21639,5901,0,64201,0.935677614152887,1.0,0.7857298474945533,0.8800097602635271
oscore,schc,min_rules,64,d2,json,dns_message,binvec,3,0.2,lr,max_iter=5000,27540,0,0,64201,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_message,binvec,3,0.2,knn,algorithm=brute,23853,3687,1218,62983,0.9465342649415202,0.9514179729568026,0.8661220043572985,0.9067685465016821
oscore,schc,min_rules,64,d2,json,dns_message,binvec,3,0.2,svm,C=0.01,27540,0,0,64201,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_message,binvec,3,0.2,dt,,27540,0,0,64201,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_message,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",22867,4673,323,63878,0.9455423420281008,0.9860715825786978,0.830319535221496,0.901517839542677
oscore,schc,min_rules,64,d2,json,dns_message,binvec,4,0.2,nb,,21693,5994,0,64054,0.934663890735876,1.0,0.7835085057969444,0.8786148238153099
oscore,schc,min_rules,64,d2,json,dns_message,binvec,4,0.2,lr,max_iter=5000,27687,0,0,64054,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_message,binvec,4,0.2,knn,algorithm=brute,23972,3715,1218,62836,0.9462290578912372,0.9516474791583962,0.8658215046772854,0.9067080205004066
oscore,schc,min_rules,64,d2,json,dns_message,binvec,4,0.2,svm,C=0.01,27687,0,0,64054,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_message,binvec,4,0.2,dt,,27687,0,0,64054,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_message,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",22986,4701,363,63691,0.9448011249059853,0.9844532956443531,0.8302091234153213,0.9007759228779685
oscore,schc,min_rules,64,d2,json,dns_message,binvec,6,0.2,nb,,21966,5831,0,63944,0.936440631778594,1.0,0.7902291614202972,0.8828245885497257
oscore,schc,min_rules,64,d2,json,dns_message,binvec,6,0.2,lr,max_iter=5000,27797,0,0,63944,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_message,binvec,6,0.2,knn,algorithm=brute,24152,3645,1175,62769,0.9474607863441645,0.9536068227583212,0.8688707414469188,0.9092688803553949
oscore,schc,min_rules,64,d2,json,dns_message,binvec,6,0.2,svm,C=0.01,27797,0,0,63944,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_message,binvec,6,0.2,dt,,27797,0,0,63944,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_message,binvec,6,0.2,rf,"n_estimators=250,max_depth=9",23288,4509,339,63605,0.9471555792938817,0.9856520082955941,0.8377882505306328,0.9057249533291848
oscore,schc,min_rules,64,d2,json,dns_message,binvec,7,0.2,nb,,21891,5793,0,64057,0.9368548413468352,1.0,0.7907455570004335,0.8831467473524962
oscore,schc,min_rules,64,d2,json,dns_message,binvec,7,0.2,lr,max_iter=5000,27684,0,0,64057,1.0,1.0,1.0,1.0
oscore,schc,min_rules,64,d2,json,dns_message,binvec,7,0.2,knn,algorithm=brute,24058,3626,1214,62843,0.9472427813082482,0.9519626464070908,0.8690218176564081,0.9086033688345041
oscore,schc,min_rules,64,d2,json,dns_message,binvec,7,0.2,svm,C=0.01,27684,0,0,64057,1.0,1.0,1.0,1.0
