protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,nb,,8747,2483,5323,15732,0.7582158897320738,0.6216773276474769,0.7788958147818343,0.6914624505928854
oscore,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,lr,max_iter=5000,8115,3115,2914,18141,0.8132569304630634,0.7357874693988575,0.7226179875333927,0.7291432678916393
oscore,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,knn,algorithm=brute,8595,2635,3244,17811,0.8179030509524547,0.7259903708083453,0.7653606411398041,0.7451558368373141
oscore,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,svm,C=0.01,8175,3055,2920,18135,0.8149295338392443,0.7368183866606579,0.7279608192341941,0.7323628219484882
oscore,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,dt,,7867,3363,3533,17522,0.7864023540343813,0.6900877192982456,0.7005342831700802,0.695271763146266
oscore,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",8734,2496,2721,18334,0.8384079293789686,0.762461807071148,0.7777382012466607,0.7700242450958783
oscore,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,2,0.2,nb,,8693,2500,5227,15865,0.7606628465231532,0.6244971264367816,0.7766461181095328,0.6923107553856568
oscore,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,2,0.2,lr,max_iter=5000,8106,3087,2788,18304,0.8180269474988384,0.7440793097117679,0.724202626641651,0.7340064291212025
oscore,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,2,0.2,knn,algorithm=brute,8501,2692,3155,17937,0.8188942233235249,0.7293239533287578,0.7594925399803448,0.7441025865464572
oscore,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,2,0.2,svm,C=0.01,8179,3014,2812,18280,0.8195446801920396,0.7441543080702393,0.7307245599928527,0.7373782906599351
oscore,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,2,0.2,dt,,7802,3391,3521,17571,0.7859067678488462,0.6890400070652654,0.6970427946037702,0.6930182980991295
oscore,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",8668,2525,2638,18454,0.8400805327551495,0.7666725632407572,0.7744125792906281,0.7705231343615272
oscore,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,5,0.2,nb,,8758,2524,5320,15683,0.7570388725414279,0.6221054127006677,0.7762808012763694,0.6906940063091482
oscore,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,5,0.2,lr,max_iter=5000,8197,3085,2877,18126,0.8153321976149914,0.7402022756005057,0.7265555752526148,0.7333154410449096
oscore,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,5,0.2,knn,algorithm=brute,8624,2658,3224,17779,0.8178101285426669,0.7278865631330182,0.764403474561248,0.7456982274102897
oscore,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,5,0.2,svm,C=0.01,8263,3019,2839,18164,0.8185535078209695,0.7442803098540803,0.7324056018436448,0.7382952108649035
oscore,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,5,0.2,dt,,7832,3450,3448,17555,0.7863404057611894,0.6943262411347517,0.6942031554688884,0.6942646928463788
oscore,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",8766,2516,2653,18350,0.8398946879355738,0.7676679218845783,0.7769898954086155,0.7723007797013347
oscore,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,3,0.2,nb,,8903,2428,5159,15795,0.7649992256465851,0.6331247333238516,0.7857205895331392,0.7012168707911629
oscore,schc,peer_based,1024,d2,cbor,dns_cbor,binvec,3,0.2,lr,max_iter=5000,8239,3092,2845,18109,0.81610655102989,0.743323709852039,0.7271202894713618,0.7351327236225742
