protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,nb,,8984,2348,5520,17665,0.7720543500304198,0.619415333701048,0.7927991528415108,0.6954636940702895
oscore,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,8142,3190,2970,20215,0.8215372135469479,0.7327213822894169,0.7184962936816096,0.7255391195865265
oscore,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,8463,2869,3130,20055,0.8262015818292435,0.7300094884844303,0.7468231556653724,0.7383206106870229
oscore,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,svm,C=0.01,8217,3115,3030,20155,0.8219717820204537,0.7305948252867431,0.7251147193787505,0.7278444572390275
oscore,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,dt,,7785,3547,3497,19688,0.7959266448416722,0.690037227441943,0.6869925873632192,0.6885115415229504
oscore,schc,peer_based,1024,d2,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",8589,2743,2640,20545,0.8440478604745488,0.7648944696767299,0.757942110836569,0.7614024201054918
oscore,schc,peer_based,1024,d2,json,dns_cbor,binvec,2,0.2,nb,,8696,2399,5454,17968,0.7724889185039256,0.6145583038869258,0.7837764758900405,0.6889285006932065
oscore,schc,peer_based,1024,d2,json,dns_cbor,binvec,2,0.2,lr,max_iter=5000,7921,3174,2918,20504,0.8235072572935076,0.730786972967986,0.7139251915277152,0.722257682137321
oscore,schc,peer_based,1024,d2,json,dns_cbor,binvec,2,0.2,knn,algorithm=brute,8282,2813,3113,20309,0.8283164817336385,0.7268100043878895,0.7464623704371338,0.7365051133837262
oscore,schc,peer_based,1024,d2,json,dns_cbor,binvec,2,0.2,svm,C=0.01,7984,3111,2960,20462,0.8241156531564157,0.72953216374269,0.719603424966201,0.7245337810245474
oscore,schc,peer_based,1024,d2,json,dns_cbor,binvec,2,0.2,dt,,7637,3458,3551,19871,0.7969406379465191,0.6826063639613872,0.6883280757097792,0.6854552798097204
oscore,schc,peer_based,1024,d2,json,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",8270,2825,2561,20861,0.8439609467798476,0.7635490721078386,0.7453808021631365,0.7543555596095959
