protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,nb,,7780,9851,11232,52749,0.74166789197667,0.40921523248474645,0.44126822074754696,0.4246377207106405
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,lr,max_iter=5000,9010,8621,3734,60247,0.8486129490761163,0.7069993722536095,0.5110317055186887,0.5932510288065843
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,knn,algorithm=brute,9241,8390,4689,59292,0.8397417046512767,0.6633883704235463,0.5241336282683909,0.5855961471436266
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,svm,C=0.01,8778,8853,3442,60539,0.8493481350781747,0.7183306055646481,0.4978730644886847,0.5881210009714918
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,dt,,10800,6831,7849,56132,0.8201244914963486,0.5791195238350582,0.6125574272588055,0.5953693495038589
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",8544,9087,2838,61143,0.853881782090869,0.7506589351607802,0.48460098689807724,0.5889773549788027
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,2,0.2,nb,,7757,9768,11283,52804,0.742059991177768,0.40740546218487395,0.4426248216833096,0.42428551893887595
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,2,0.2,lr,max_iter=5000,9036,8489,3737,60350,0.850193598980542,0.7074297345964143,0.5156062767475036,0.5964750148524655
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,2,0.2,knn,algorithm=brute,9207,8318,4668,59419,0.8408812429544675,0.6635675675675675,0.5253637660485021,0.5864331210191083
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,2,0.2,svm,C=0.01,8810,8715,3410,60677,0.8514311620840073,0.720949263502455,0.5027104136947218,0.5923684652882838
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,2,0.2,dt,,10670,6855,7537,56550,0.8236533843062295,0.5860383369033888,0.6088445078459344,0.5972237770066047
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,2,0.2,rf,"n_estimators=250,max_depth=9",8564,8961,2645,61442,0.8577905210018134,0.7640289053439201,0.48867332382310985,0.5960882578130438
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,5,0.2,nb,,7696,9802,11045,53069,0.7445596235847669,0.410650445547196,0.4398216939078752,0.4247357818924363
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,5,0.2,lr,max_iter=5000,9172,8326,3598,60516,0.8538940351909033,0.7182458888018795,0.5241741913361527,0.606052596801903
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,5,0.2,knn,algorithm=brute,9389,8109,4667,59447,0.8434543939616723,0.6679709732498577,0.5365756086409875,0.5951068010394879
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,5,0.2,svm,C=0.01,8946,8552,3293,60821,0.8548620300936137,0.7309420704305908,0.5112584295348039,0.6016746813733732
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,5,0.2,dt,,10762,6736,7805,56309,0.8218276724011175,0.5796305272795821,0.6150417190536062,0.5968113129072508
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,5,0.2,rf,"n_estimators=250,max_depth=9",8644,8854,2600,61514,0.8596529922070284,0.7687655638562789,0.493999314207338,0.601489110013221
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,3,0.2,nb,,7787,9666,11313,52846,0.7429422143802382,0.40769633507853403,0.4461697129433335,0.4260662599513036
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,3,0.2,lr,max_iter=5000,9009,8444,3642,60517,0.8519090329853453,0.7121176191605406,0.51618632899788,0.5985251129418018
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,3,0.2,knn,algorithm=brute,9205,8248,4580,59579,0.8428172327598883,0.6677548059484948,0.5274164900017189,0.5893463089826494
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,3,0.2,svm,C=0.01,8750,8703,3331,60828,0.8525461941871293,0.7242777915735452,0.5013464733856644,0.5925374145053159
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,3,0.2,dt,,10748,6705,7917,56242,0.8208351712983385,0.5758371283150281,0.6158253595370423,0.5951603078797275
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,3,0.2,rf,"n_estimators=250,max_depth=9",8540,8913,2654,61505,0.8582683919031515,0.7629087010898695,0.4893141580244084,0.5962229901909449
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,4,0.2,nb,,7896,9853,11173,52690,0.7423663186786257,0.4140752005873407,0.4448701335286495,0.42892063664511926
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,4,0.2,lr,max_iter=5000,9130,8619,3617,60246,0.8500710679801989,0.7162469600690359,0.5143951771930813,0.5987670514165793
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,4,0.2,knn,algorithm=brute,9492,8257,4587,59276,0.8426211831593393,0.6741956104836991,0.5347906924333765,0.5964559507352017
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,4,0.2,svm,C=0.01,8976,8773,3378,60485,0.8511125814831152,0.7265662943176299,0.5057186320356076,0.5963525230043517
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,4,0.2,dt,,10851,6898,7649,56214,0.8217541538009117,0.5865405405405405,0.6113583863879655,0.5986923777207647
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,4,0.2,rf,"n_estimators=250,max_depth=9",8761,8988,2633,61230,0.8576067245012988,0.7689134632262594,0.49360527353653727,0.6012421507737707
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,6,0.2,nb,,7760,9947,11221,52684,0.7406263784737539,0.408829882514093,0.43824476195854745,0.42302660270388137
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,6,0.2,lr,max_iter=5000,9117,8590,3710,60195,0.8492868695780033,0.7107663522257738,0.5148811204608347,0.5971703674592258
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,6,0.2,knn,algorithm=brute,9394,8313,4670,59235,0.8409180022545704,0.6679465301478953,0.5305246512678602,0.5913568977998804
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,6,0.2,svm,C=0.01,8917,8790,3471,60434,0.8497647404793413,0.7198094930577978,0.5035861523691195,0.5925901312510384
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,6,0.2,dt,,10807,6900,7812,56093,0.8197323922952507,0.5804285944465332,0.6103236008358276,0.5950008258547597
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,6,0.2,rf,"n_estimators=250,max_depth=9",8644,9063,2627,61278,0.8567612605989315,0.7669239641557981,0.4881685209239284,0.5965905169438884
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,7,0.2,nb,,7813,9864,11256,52679,0.7412145272754007,0.4097225863967696,0.44198676245969337,0.4252435639253252
oscore,schc,peer_based,64,d2,json,dns_cbor,binvec,7,0.2,lr,max_iter=5000,9020,8657,3620,60315,0.8495686908787924,0.7136075949367089,0.5102675793403858,0.5950456839397038
