protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;test_size;job_id;start;stop;feature;mdi;mdi_std
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;0;0.0;0.0
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;1;0.0;0.0
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;2;0.0;0.0
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;3;0.03843317127694937;0.04406151999610465
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;4;0.04132990643804536;0.047887227319281786
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;5;0.06962071098230103;0.09076248181093483
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;6;0.06277800417284743;0.08531847497786177
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;7;0.03940362261130997;0.049582507292218574
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;8;0.01861188313209022;0.0176430318770839
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;9;0.03690348774327184;0.045593700659759026
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;10;0.022894310370640058;0.03241447737185251
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;11;0.014803490753690144;0.01983396745687597
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;12;0.01285202965909898;0.018430659445860864
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;13;0.013773780578582053;0.021402781465599662
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;14;0.014299591101060228;0.02089001173358449
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;15;0.013300465556426798;0.02132062378617093
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;16;0.015083200725663127;0.023453038272340746
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;17;0.015079613257491239;0.02220193907582845
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;18;0.014461194632502828;0.022246228389112936
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;19;0.031368406034971014;0.04281530225944656
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;20;0.01206748947891854;0.019102624154281333
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;21;0.013657940574486884;0.022545174210405687
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;22;5.5911016474561936e-05;9.697730826546864e-05
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;23;4.7297111258430194e-05;9.06105559918972e-05
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;24;5.1858034313871206e-05;9.020395091569283e-05
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;25;5.679461359309633e-05;0.00010130584877461681
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;26;6.106560510152302e-05;0.00010768535282420163
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;27;0.00772505137642867;0.01164322020669107
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;28;0.0006079513470530406;0.0011873837944320024
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;29;0.00025232256915838744;0.0007441283244598932
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;30;5.406505799097347e-05;9.996778830854164e-05
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;31;7.819440458815701e-05;0.00013691646016809498
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;32;6.252682697103277e-05;9.941866088749548e-05
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;33;4.314804582323454e-05;8.178395617613936e-05
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;34;5.84593428008588e-05;9.715491472829343e-05
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;35;6.307146562988181e-05;0.00010411304539889119
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;36;5.59041468758057e-05;0.00010910511172033823
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;37;6.451260093266009e-05;0.00010694103896780962
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;38;0.012148818328144037;0.018879344156004292
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;39;0.0011263421436322782;0.002474940657001125
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;40;0.0005591097181729214;0.0012334174986686406
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;41;6.409061917557505e-05;0.00011531186970216153
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;42;8.005175018520841e-05;0.0001247586887209748
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;43;6.913799731236061e-05;0.00014307388623306988
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;44;7.933668447308796e-05;0.00018753791996257136
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;45;5.5786632253609775e-05;0.0001289903824243386
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;46;5.7189183309971996e-05;0.00010405536955354721
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;47;5.039557084857384e-05;9.306173146419902e-05
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;48;4.806430757495266e-05;9.892777605762104e-05
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;49;5.492457742069348e-05;9.791627177585521e-05
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;50;5.052843783571867e-05;7.894844194605956e-05
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;51;0.005085229251234763;0.006380401881944886
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;52;0.004536650090348666;0.006350006638807449
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;53;0.00448675060598666;0.00534000212368844
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;54;5.5093744868113894e-05;9.282062041353307e-05
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;55;5.5103063639356755e-05;9.284561809102137e-05
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;56;5.0861021468311456e-05;9.94919497254357e-05
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;57;5.514868988219036e-05;0.00010636047895157411
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;58;6.446872371009532e-05;0.00010383059324325305
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;59;7.297490341868022e-05;0.00012150860443467748
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;60;6.059046970129514e-05;0.00010773907769409865
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;61;5.458165075150167e-05;0.00010925585798874351
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;62;0.0010143556741147271;0.0021765852093887502
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;63;0.0006136061934271063;0.0015060902876948255
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;64;0.000710662879912238;0.0018162129713018634
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;65;6.238091884734749e-05;0.00010108077407807196
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;66;5.8964105507994465e-05;9.736693437724276e-05
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;67;5.2588895526609904e-05;8.549741496605911e-05
oscore;schc;peer_based;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759425523;1759425855;68;5.1018130582412246e-05;8.62096935291268e-05
