protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;test_size;job_id;start;stop;feature;mdi;mdi_std
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;0;0.0;0.0
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;1;0.0;0.0
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;2;0.0;0.0
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;3;0.0008074354519923806;0.0030570997875007102
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;4;0.0;0.0
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;5;0.0014739454916364292;0.005427837446605144
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;6;0.1750191922917889;0.23911990361324104
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;7;0.15641896574348663;0.226610649086299
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;8;0.010313032519934203;0.01868869534421623
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;9;0.0014520262054703078;0.006066274363225144
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;10;0.0007259070604657825;0.0015876010223129138
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;11;1.0105126724133685e-05;3.9379691509364266e-05
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;12;1.0852529234874726e-05;6.997198891442936e-05
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;13;1.6393417469804992e-05;7.92297756049634e-05
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;14;1.1050154220654472e-05;4.7344275081105294e-05
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;15;8.599791281506249e-06;2.683683020730334e-05
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;16;7.548922327616163e-06;2.3792108981362036e-05
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;17;6.154149741605219e-06;2.1745398924076118e-05
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;18;7.531478073268514e-06;2.1442226475235777e-05
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;19;1.1113091280231022e-05;2.9120118958794745e-05
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;20;7.201907663328893e-06;1.9335029330905686e-05
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;21;6.45408231021045e-06;2.164166112545434e-05
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;22;2.7646206751252515e-06;6.369125808548126e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;23;2.6389032451048255e-06;6.8213501205939776e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;24;2.7920517457481343e-06;6.548388958955238e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;25;2.666099936140867e-06;5.438330746740991e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;26;2.0475782308608e-06;4.933556996228083e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;27;0.00036482872488716634;0.0009479599701288001
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;28;1.1624328381701303e-05;6.203072505911695e-05
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;29;5.65613665042417e-06;2.479434084926037e-05
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;30;2.3298357001015665e-06;5.7375002295072715e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;31;2.5040852328280303e-06;6.105194327087486e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;32;2.561130899414897e-06;5.267143656914773e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;33;2.906807822951225e-06;7.2407579006463416e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;34;2.285405315995291e-06;5.389515677510134e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;35;2.8732223881735013e-06;6.74430518506179e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;36;2.4051520940014213e-06;5.444979191244221e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;37;2.8318868084097818e-06;6.151587008075297e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;38;9.677074496315496e-06;5.497932339307973e-05
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;39;2.2691034027881128e-06;4.710081834774817e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;40;3.375762094629884e-06;6.919152962141876e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;41;2.417416864127857e-06;5.711158939754424e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;42;2.9046064529568836e-06;6.103788838674181e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;43;1.7884974133862744e-05;5.066652460020011e-05
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;44;2.0884268922922442e-05;5.907387540256713e-05
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;45;1.555692622472618e-05;4.570242616164069e-05
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;46;2.808260741658749e-06;6.506844063887759e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;47;2.9555829165823127e-06;6.790321087296612e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;48;2.657921419656205e-06;6.425607109829506e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;49;2.385093268404635e-06;6.058325279844561e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;50;2.1808133718264393e-06;5.092989045612487e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;51;0.0021298285039310556;0.0047529076596341
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;52;0.0017843434765528788;0.003420011749180224
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;53;0.0013972698796518078;0.0034240146494724727
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;54;2.453751064851239e-06;6.6151120929893165e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;55;2.054964849366426e-06;5.188004638431941e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;56;1.8828368695631706e-06;5.026495314756448e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;57;2.265697913420806e-06;4.961348401491952e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;58;2.950374271803346e-06;6.8449486542064626e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;59;3.1271437699397593e-06;7.176311179468594e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;60;2.3267746238161796e-06;5.346643379237096e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;61;2.917533526501968e-06;6.350138309501845e-06
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;62;6.9668424956484465e-06;1.8671280639512878e-05
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;63;8.087454627564867e-06;2.8579846483081677e-05
oscore;schc;;64;d2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759455218;1759455918;64;3.4711062834567495e-06;7.262213121444004e-06
