protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;test_size;job_id;start;stop;feature;mdi;mdi_std
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;0;0.0;0.0
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;1;0.0;0.0
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;2;0.0;0.0
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;3;0.030955333860413246;0.043717378170243
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;4;0.026656895916801225;0.03254251112934877
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;5;0.035240664612905655;0.04888163327239406
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;6;0.21271059541663423;0.1852610565353991
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;7;0.13214986134108117;0.14544771373416074
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;8;0.009966605661078373;0.011461599109742947
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;9;0.02726635858196464;0.03662308550079249
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;10;0.012923302512635296;0.01858875832890497
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;11;0.00982855474917934;0.0157778482817508
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;12;0.009483365828002438;0.014871151051619815
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;13;0.009781765856032007;0.01612040582992361
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;14;0.011984064154510286;0.01831221449736897
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;15;0.009098595179043106;0.016775927841433395
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;16;0.01015073673751579;0.016772364211958296
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;17;0.08190243818611419;0.08794097862254112
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;18;0.05761796195479489;0.07893103155549056
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;19;0.017380905352169376;0.02633168562976307
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;20;0.008902838429057628;0.01543702107852685
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;21;0.008972194255941316;0.015316258615695915
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;22;2.0502993777326755e-05;4.449485642423153e-05
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;23;2.6273944051926328e-05;5.056517443065904e-05
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;24;1.5641362537918914e-05;3.891891076068503e-05
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;25;1.940161849106434e-05;4.103666193152028e-05
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;26;2.2862198962554093e-05;4.844575280822126e-05
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;27;0.005940746118886556;0.01125699021771507
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;28;0.0005857355085518699;0.001273640109300213
oscore;schc;;1024;d2;json;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759420181;1759420565;29;0.00024571003701420025;0.00047354375532447613
