protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;repeats;job_id;start;stop;feature;accuracy_mean;accuracy_std;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;balanced_accuracy_mean;balanced_accuracy_std;roc_auc_mean;roc_auc_std
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;0;0.0;0.0;;;;;0.0;0.0;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;1;0.0;0.0;;;;;0.0;0.0;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;2;0.0;0.0;;;;;0.0;0.0;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;3;0.0036606663084363666;0.00003358409457282496;;;;;0.013204147279967715;0.00007076511629605653;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;4;-0.0004164427727028075;0.00002686727565825997;;;;;0.0009370539009031509;0.00002182875165934739;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;5;0.0007724341751746966;0.00038285867813003804;;;;;0.0030345493240016563;0.0006016875424634249;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;6;0.0010746910263299547;0.0004970445996775874;;;;;0.003740639919081523;0.0008074361133470487;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;7;0.0003358409457281386;0.00010746910263303988;;;;;0.002602309936976188;0.0001818226721421734;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;8;0.005010746910263375;0.000013433637829129985;;;;;0.01128511598624049;0.0000798579373434416;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;9;0.000866469639978551;0.0002485222998387937;;;;;0.005773236173460594;0.000468815423287805;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;10;0.00047017732401938295;0.00021493820526602425;;;;;0.0023194765117315885;0.00029538878950741143;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;11;0.0;0.000013433637829129985;;;;;-0.000010231699448470799;0.000014842988955154901;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;12;-0.000013433637829129985;0.0;;;;;-0.000019959180960649192;5.115507442976508e-6;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;13;-0.000013433637829129985;0.000013433637829129985;;;;;-0.000019959283062531696;0.000019959283062531696;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;14;0.000013433637829129985;0.000013433637829129985;;;;;0.0000148427847459498;0.0000148427847459498;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;15;-6.716818914564993e-6;6.716818914564993e-6;;;;;-0.00001253734420181285;0.00001253734420181285;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;16;-0.00003358409457276945;6.7168189145094814e-6;;;;;-0.0000575698143395198;0.000017651248214456405;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;17;0.00002686727565825997;0.00002686727565825997;;;;;0.000024568682978676204;0.000034800086183561785;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;18;-0.00002686727565825997;0.0;;;;;-0.00004503347101336708;5.114904888303684e-6;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;19;-0.00005373455131640892;0.0;;;;;-0.00008495124042434687;5.114108174109067e-6;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;20;6.716818914564993e-6;6.716818914564993e-6;;;;;7.4215404957111986e-6;7.4215404957111986e-6;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;21;-0.000013433637829129985;0.000013433637829129985;;;;;-9.727859756891721e-6;0.000019960079840342093;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;22;-0.000013433637829129985;0.0;;;;;-0.000025074280020687123;0.000010230606503014439;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;23;-6.716818914564993e-6;6.716818914564993e-6;;;;;-7.421836758836342e-6;7.421836758836342e-6;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;24;-6.716818914564993e-6;6.716818914564993e-6;;;;;-7.421836758836342e-6;7.421836758836342e-6;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;25;-0.000020150456743694978;6.716818914564993e-6;;;;;-0.000032496627264344546;7.421938860718846e-6;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;26;-6.716818914564993e-6;0.000020150456743694978;;;;;-0.000012537742566820498;0.000027380823558242895;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;27;-0.0004903277807629669;0.00015448683503493932;;;;;0.00027783649462520543;0.0002124398648737369;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;28;0.0;0.0;;;;;-5.11570160244279e-6;5.11570160244279e-6;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;29;0.0;0.0;;;;;0.000010232220083450372;0.0;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;30;0.0;0.000013433637829129985;;;;;0.000015348636485112976;0.00001996047825303382;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;31;-0.000020150456743639467;0.000020150456743639467;;;;;-0.00004272722371390092;0.000022265234084772878;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;32;-0.00002686727565820446;0.000013433637829074474;;;;;-0.00005526297453883888;0.00001995808801513732;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;33;0.000013433637829129985;0.0;;;;;0.000014843080991422397;0.0;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;34;6.716818914564993e-6;6.716818914564993e-6;;;;;7.4215404957111986e-6;7.4215404957111986e-6;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;35;-6.716818914564993e-6;6.716818914564993e-6;;;;;-7.421836758836342e-6;7.421836758836342e-6;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;36;-6.716818914564993e-6;0.000020150456743694978;;;;;-7.421438377896994e-6;0.0000324971277471664;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;37;-6.716818914564993e-6;6.716818914564993e-6;;;;;-0.00001253734420181285;0.00001253734420181285;;;;
oscore;schc;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760601279;1760601740;38;-0.00005373455131640892;0.0;;;;;-0.00007983672393818697;0.00001022862466026897;;;;
