protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;test_size;job_id;start;stop;feature;mdi;mdi_std
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;0;0.0;0.0
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;1;0.0;0.0
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;2;0.0;0.0
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;3;0.0805578298321772;0.15684520451575176
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;4;0.0;0.0
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;5;0.10686358641015149;0.18653474193781017
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;6;0.08685479679503806;0.16608727062717193
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;7;0.0;0.0
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;8;0.022133133963503335;0.024785311344268996
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;9;0.08138946215610655;0.16731823791556688
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;10;0.05245627847741997;0.10604256845012527
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;11;0.002641542242493669;0.006641503750037397
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;12;0.0035048215265316832;0.011087621907703477
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;13;0.002439492537479683;0.007125519822368284
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;14;0.004698945616571474;0.014367495088729849
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;15;0.003566216211131353;0.010712469401257994
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;16;0.004662078274256766;0.012059989429201815
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;17;0.0033720779117173035;0.011547318373475559
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;18;0.0029530768337323572;0.009323058826304405
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;19;0.0032912152075007524;0.010711341760037381
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;20;0.002536308448543499;0.007925235658436081
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;21;0.0027111664774653902;0.009514633132674259
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;22;4.0762298078422067e-05;8.44282156750077e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;23;4.2951835869344805e-05;8.355864795817144e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;24;4.244318609212304e-05;8.523847110939176e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;25;4.111209868535465e-05;7.454279092557481e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;26;4.540420546141152e-05;8.064416749372087e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;27;0.02526179765027043;0.06424258802724724
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;28;0.00044032051976656;0.0009795696775724671
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;29;0.00035784813175759037;0.001532612850771205
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;30;5.649780021815277e-05;0.00010388463009062477
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;31;4.311900171180854e-05;8.487462621039814e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;32;4.0106638472334584e-05;7.932795426615453e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;33;4.237105111603931e-05;7.463076624801437e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;34;4.998350699497263e-05;9.620748646809013e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;35;4.5275553532350425e-05;9.300250816949112e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;36;3.649595944507427e-05;7.846056709228894e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;37;4.179652344333055e-05;8.243857588098581e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;38;0.0018881994301483;0.005965835574080675
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;39;0.00011625363338939325;0.0003319593566241984
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;40;0.0001249058621120096;0.00047543515117603823
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;41;4.980447409437197e-05;9.435845435525452e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;42;4.157645773950002e-05;9.038266327575935e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;43;7.606547969595343e-05;0.00015219768942134463
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;44;8.412533920692092e-05;0.0001827808485312565
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;45;4.702128068228414e-05;8.14031329140042e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;46;4.723325521600331e-05;8.771177374696368e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;47;4.815408614069436e-05;8.284863759441386e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;48;4.355885686991003e-05;8.458526816488212e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;49;4.661333414223827e-05;9.764348385733438e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;50;3.975240001114158e-05;8.183560910332234e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;51;0.008862529429481276;0.012130950710478119
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;52;0.008126073648666696;0.011461867156941878
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;53;0.00372166708321234;0.00549184741286481
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;54;5.2473946360310155e-05;9.630934230342888e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;55;4.7657264033427556e-05;9.641260136050436e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;56;3.573851882834801e-05;7.102508002665047e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;57;4.59169887043911e-05;8.764916294385726e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;58;3.369794494538924e-05;6.352607041231091e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;59;4.126196383891791e-05;8.147664624375174e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;60;4.502534508002948e-05;7.709439496411048e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;61;4.361992177387276e-05;8.60817907550723e-05
oscore;schc;;64;p1;json;dns_cbor;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759437916;1759438793;62;0.00394787510922977;0.012139248097695003
