protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,length,max_length,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,1,1016,0,11346,0,22816,0.6678765880217786,nan,0.0,0.0
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,2,1016,0,11398,0,22764,0.6663544288976055,nan,0.0,0.0
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,3,1016,0,11314,0,22848,0.668813301328962,nan,0.0,0.0
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,4,1016,8948,2438,5005,17771,0.7821263392073063,0.6412957786855873,0.7858773932900053,0.7062630727337306
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,5,1016,8792,2473,5018,17879,0.7807212692465312,0.6366401158580739,0.7804704837993786,0.7012562313060817
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,6,1016,9046,2442,4976,17698,0.7828581464785435,0.6451290828697761,0.7874303621169917,0.7092120736965896
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,7,1016,8950,2472,4957,17783,0.7825361512791991,0.6435607967210757,0.7835755559446682,0.706699830234119
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,8,1016,8874,2459,5010,17819,0.7813652596452199,0.6391529818496111,0.7830230300891202,0.7038109212039497
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,9,1016,8908,2457,4970,17827,0.782594695860898,0.641879233318922,0.7838099428068632,0.7057798201481599
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,10,1016,9028,2478,4930,17726,0.7831508693870383,0.6467975354635335,0.7846341039457674,0.7090794847628024
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,11,1016,8927,2376,5035,17824,0.7830630525144898,0.6393783125626701,0.789790321153676,0.7066693053631506
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,12,1016,8847,2443,5017,17855,0.7816287102628652,0.6381275245239469,0.7836138175376439,0.7034268903554106
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,13,1016,8946,2529,5046,17641,0.7782623968151747,0.6393653516295026,0.779607843137255,0.702556249263753
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,14,1016,8976,2470,5019,17697,0.7807798138282303,0.6413719185423365,0.784204088764634,0.7056326402264061
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,15,1016,8856,2476,5075,17755,0.7789649317955624,0.6357045438231282,0.7815037063183904,0.7011043819023869
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,16,1016,8919,2534,4972,17737,0.780282184883789,0.6420704052983947,0.7787479263075177,0.7038352272727273
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,17,1016,8809,2497,4937,17919,0.7823897898249517,0.6408409719191037,0.7791438174420662,0.7032572249720581
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,18,1016,8774,2534,4964,17890,0.7805163632105848,0.6386664725578687,0.7759108595684471,0.7006308392557694
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,19,1016,8761,2531,4983,17887,0.7800480065569931,0.6374417927823051,0.7758590152320227,0.6998721840549609
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,20,1016,8470,2846,4813,18033,0.7758035243838183,0.6376571557630053,0.748497702368328,0.6886458799138176
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,21,1016,8123,3207,4723,18109,0.7678707335636087,0.6323369142145415,0.716946160635481,0.6719887491727333
oscore,schc,,1024,p2,cbor,dns_cbor,binvec,1,0.2,dt,,22,1016,7230,4248,4236,18448,0.7516538844329957,0.6305599162742019,0.6299006795608991,0.6302301255230126
