protocol,link_layer,link_layer_mode,blocksize,network_setup,data_format,dns_format,vector_type,run,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore,schc,,1024,p2,cbor,dns_message,binvec,1,0.2,nb,,7100,6933,4087,18643,0.7002420912330332,0.6346652364351479,0.50595026010119,0.56304520222046
oscore,schc,,1024,p2,cbor,dns_message,binvec,1,0.2,lr,max_iter=5000,9394,4639,3846,18884,0.769197290754291,0.7095166163141994,0.6694220765338844,0.6888864444688887
oscore,schc,,1024,p2,cbor,dns_message,binvec,1,0.2,knn,algorithm=brute,10504,3529,4542,18188,0.7804586132796562,0.6981257477070317,0.7485213425497043,0.7224457512294096
oscore,schc,,1024,p2,cbor,dns_message,binvec,1,0.2,svm,C=0.01,9262,4771,3758,18972,0.7680004352201942,0.7113671274961597,0.6600156773320032,0.6847299744945108
oscore,schc,,1024,p2,cbor,dns_message,binvec,1,0.2,dt,,9494,4539,4577,18153,0.7520332943448576,0.6747210574941369,0.6765481365353097,0.6756333617990322
oscore,schc,,1024,p2,cbor,dns_message,binvec,1,0.2,rf,"n_estimators=250,max_depth=9",8342,5691,2079,20651,0.7886461931833637,0.8004989924191537,0.5944559253188911,0.6822605708677517
oscore,schc,,1024,p2,cbor,dns_message,binvec,2,0.2,nb,,7007,7069,4180,18507,0.6940130022033022,0.6263520157325467,0.4977976697925547,0.5547243003602106
oscore,schc,,1024,p2,cbor,dns_message,binvec,2,0.2,lr,max_iter=5000,9319,4757,3896,18791,0.7646274787150124,0.7051835035944003,0.6620488775220233,0.6829357663698655
oscore,schc,,1024,p2,cbor,dns_message,binvec,2,0.2,knn,algorithm=brute,10545,3531,4544,18143,0.7803498082311019,0.6988534694148055,0.7491474850809889,0.7231270358306189
oscore,schc,,1024,p2,cbor,dns_message,binvec,2,0.2,svm,C=0.01,9214,4862,3817,18870,0.7639202458994098,0.707083109508096,0.6545893719806763,0.6798243996015789
