protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;test_size;job_id;start;stop;feature;mdi;mdi_std
oscore;schc;;1024;p2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759454784;1759455200;0;0.0;0.0
oscore;schc;;1024;p2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759454784;1759455200;1;0.0;0.0
oscore;schc;;1024;p2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759454784;1759455200;2;0.0;0.0
oscore;schc;;1024;p2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759454784;1759455200;3;0.05927003505042978;0.07123494139417715
oscore;schc;;1024;p2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759454784;1759455200;4;0.06894284008561927;0.07568144288962077
oscore;schc;;1024;p2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759454784;1759455200;5;0.07654544316900642;0.10198148655401676
oscore;schc;;1024;p2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759454784;1759455200;6;0.07179774187419809;0.09872549533572995
oscore;schc;;1024;p2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759454784;1759455200;7;0.058434225897338835;0.06871867659733986
oscore;schc;;1024;p2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759454784;1759455200;8;0.012772841968247205;0.012166376046721645
oscore;schc;;1024;p2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759454784;1759455200;9;0.06526058127584783;0.07796851195586363
oscore;schc;;1024;p2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759454784;1759455200;10;0.026372095872063125;0.0397040424701305
oscore;schc;;1024;p2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759454784;1759455200;11;0.006485839663058576;0.010459916103448718
oscore;schc;;1024;p2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759454784;1759455200;12;0.007471277279431524;0.012649065343493504
oscore;schc;;1024;p2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759454784;1759455200;13;0.005394978846637265;0.008734283704754603
oscore;schc;;1024;p2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759454784;1759455200;14;0.005632907045902542;0.00963619977605269
oscore;schc;;1024;p2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759454784;1759455200;15;0.007188320616268779;0.01226397131422711
oscore;schc;;1024;p2;cbor;dns_message;1;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759454784;1759455200;16;0.007176369920226553;0.013395443327603443
