protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;repeats;job_id;start;stop;feature;accuracy_mean;accuracy_std;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;balanced_accuracy_mean;balanced_accuracy_std;roc_auc_mean;roc_auc_std
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;0;0.0;0.0;;;;;0.0;0.0;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;1;0.0;0.0;;;;;0.0;0.0;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;2;0.0;0.0;;;;;0.0;0.0;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;3;0.00107644601562068;0.0000428131938031151;;;;;0.006883701003839948;0.00023755644132239517;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;4;0.0;0.0;;;;;0.0;0.0;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;5;0.0010428070776324905;0.00003363893798813411;;;;;0.006067033837333702;0.00019445924367450518;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;6;0.0012048855970299699;0.000018348511629906472;;;;;0.006914437755587255;0.00015545542754596964;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;7;0.0;0.0;;;;;0.0;0.0;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;8;0.002333319062268746;0.00007033596124794705;;;;;0.011945042810531825;0.00018995063679666524;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;9;0.0007981602559005152;0.000045871279074738425;;;;;0.004206726872078126;0.0000539253942652973;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;10;0.00022018213955876664;0.00002446468217320863;;;;;0.0012029090273703025;0.0000177608132725382;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;11;-0.000012232341086604315;0.000012232341086604315;;;;;-0.00004035745117964007;0.00004035745117964007;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;12;6.116170543302157e-6;6.116170543302157e-6;;;;;0.00003161159885051168;8.749354972026335e-6;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;13;-0.00003975510853149178;0.000021406596901529795;;;;;-0.0001083057817026778;0.00003634084658438175;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;14;-6.1161705433576685e-6;0.0;;;;;-0.000025894291613204334;5.714690400615563e-6;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;15;0.000018348511629906472;6.116170543302157e-6;;;;;0.00006625874322752079;0.000014465499783011815;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;16;0.000021406596901529795;9.17425581492548e-6;;;;;0.000042053863352098375;0.000035985809883953834;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;17;-0.000018348511629906472;0.00003058085271651079;;;;;-0.00009481483604595331;0.00008945324537518173;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;18;0.000021406596901529795;3.0580852716788343e-6;;;;;0.00008206668826504782;0.000010091342908635781;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;19;-6.1161705433576685e-6;0.000012232341086604315;;;;;2.6823120266583622e-6;0.000040361615256279126;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;20;0.000015290426358227638;9.174255814980992e-6;;;;;0.00005045221400690192;0.000030272029003630685;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;21;-0.000012232341086659826;6.116170543302157e-6;;;;;-0.00005750056937431358;0.000025891587360493684;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;22;-0.00003363893798818962;0.000015290426358227638;;;;;-0.00005955559555737011;0.000033306158828350085;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;23;6.116170543246646e-6;0.000012232341086604315;;;;;0.000014464327047714054;0.000023213886160833308;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;24;0.000015290426358227638;3.058085271623323e-6;;;;;0.00002187313333834595;0.00001580507987020141;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;25;6.116170543302157e-6;0.000018348511629906472;;;;;-8.395772503055898e-6;0.00004339147791371234;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;26;-0.00002446468217320863;0.000012232341086604315;;;;;-0.00006357347347213382;0.000011786223055365586;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;27;0.00011009106977932781;0.0;;;;;0.0006553709928174278;0.000028652146588092897;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;28;-6.116170543302157e-6;6.116170543302157e-6;;;;;0.000019828439691227384;0.000014465918296513447;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;29;-0.00005198744961804058;3.058085271623323e-6;;;;;-0.00009152250229921277;0.00001276735681582375;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;30;-0.0000305808527165663;0.000012232341086604315;;;;;-0.00007232364994275153;0.000023215141519650206;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;31;-0.00001529042635828315;0.000021406596901529795;;;;;-0.000033301935399354665;0.00006491366081179395;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;32;-3.0580852716788343e-6;9.17425581492548e-6;;;;;-0.000015805118659062423;0.000013124206998393895;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;33;-0.00001529042635828315;9.17425581492548e-6;;;;;-0.00003330119657485309;0.00004741370578442705;;;;
oscore;schc;;64;p2;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1041056;1760602625;1760603573;34;-0.00003363893798818962;3.058085271623323e-6;;;;;-0.00011669370240979804;4.375148891566649e-6;;;;
