protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;test_size;job_id;start;stop;feature;mdi;mdi_std
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;0;0.0;0.0
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;1;0.0;0.0
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;2;0.0;0.0
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;3;0.012004781912959688;0.04084249439130181
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;4;0.0;0.0
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;5;0.015611396248108624;0.047650598859841006
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;6;0.013968445389701078;0.04333918544278179
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;7;0.0;0.0
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;8;0.016867340971107207;0.024748487720031378
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;9;0.011502736761098425;0.035783970924216875
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;10;0.0029414238212906204;0.008173343423263863
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;11;0.0005191397271818089;0.0025906624372069855
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;12;0.0001794552688990338;0.000865025771534633
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;13;0.00035680314106225074;0.001883509298046733
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;14;0.00065986582467494;0.0035745589862721775
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;15;0.0002929127683972511;0.0023078605074811228
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;16;0.0004195506893438658;0.0021021058476566215
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;17;0.00030976306762898543;0.0019114824527044006
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;18;0.00019924863251023485;0.001110304420165684
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;19;0.0007092323318500269;0.00333919640981618
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;20;0.0002759728772890527;0.0016055261649446492
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;21;0.0002657786854117732;0.0019177426852393978
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;22;3.385634366329255e-06;6.831956157098906e-06
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;23;2.5736071862003913e-06;5.713461876166782e-06
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;24;3.4109068045203217e-06;7.10182019838149e-06
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;25;3.0203789401516474e-06;6.925643748538323e-06
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;26;2.937390293224658e-06;6.56709118630827e-06
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;27;0.0018209430420514994;0.008616557534890282
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;28;1.8644984847617388e-05;7.309446657014397e-05
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;29;6.9193856317456095e-06;1.3813951600550269e-05
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;30;3.5354897254454734e-06;7.4566338306502265e-06
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;31;5.098838724759313e-06;9.802923341805884e-06
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;32;3.0734046832248477e-06;7.281111859170017e-06
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;33;3.9690311997376994e-06;8.206169325439242e-06
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;34;2.2623107308548672e-06;5.442605062231133e-06
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;35;4.020596656469116e-06;8.10359095291071e-06
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;36;2.8695309015073397e-06;6.552929580773806e-06
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;37;3.3909844383550892e-06;7.90394046307558e-06
oscore;schc;;64;p2;json;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;;;1759421621;1759422642;38;0.00038518190378201744;0.002735794597407921
