,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,100.0,,,,100.0,,,
d2,coap,cbor-dns_message,100.0,,,,100.0,,,
d2,coap,cbor-dns_cbor,100.0,,,,100.0,,,
d2,coap,json-dns_cbor,100.0,,,,100.0,,,
d2,oscore_base,json-dns_message,100.0,88.56818181818183,87.05873572654676,88.15799242705472,100.0,100.0,100.0,85.21059518336457
d2,oscore_base,cbor-dns_message,100.0,89.60709759188846,89.35676888556469,89.00445765230312,100.0,100.0,100.0,85.57009214320883
d2,oscore_base,cbor-dns_cbor,100.0,92.97553275453828,92.8789597696134,92.83600278551532,100.0,100.0,100.0,67.87271846228397
d2,oscore_base,json-dns_cbor,100.0,92.0195155950514,92.64436096793919,91.9603236752806,100.0,100.0,100.0,66.50607569187945
d2,oscore,json-dns_message,100.0,87.9632374740587,88.4280442804428,68.35090361445783,100.0,100.0,100.0,80.23422478587659
d2,oscore,cbor-dns_message,100.0,89.7028958254983,89.45789907775362,69.79512949362196,100.0,100.0,100.0,80.06604410041544
d2,oscore,cbor-dns_cbor,100.0,93.0152872957301,92.32961907229851,69.00877192982456,100.0,100.0,100.0,58.91948108818217
d2,oscore,json-dns_cbor,100.0,92.6246719160105,92.64046425745185,69.00372274419429,100.0,100.0,100.0,57.91195238350581
d2,coaps,json-dns_message,100.0,87.35275446145164,86.45788645788646,66.48423817863399,100.0,99.74894397067028,99.77626847782662,82.96668513096462
d2,coaps,cbor-dns_message,100.0,87.96037045013999,88.36708315381301,70.86619871191837,100.0,99.79438513246343,99.79058005373795,80.18396320735853
d2,coaps,cbor-dns_cbor,100.0,92.00441838728864,91.6075960444561,65.80738472009529,100.0,99.97115495557864,99.97134342044933,52.96803652968036
d2,coaps,json-dns_cbor,100.0,91.25498353267464,91.38727334929867,63.98046398046397,100.0,99.88336152096576,99.94814473380963,78.84942764895803
d2,https,json-dns_message,100.0,,,,,,,
d2,https,cbor-dns_message,100.0,,,,,,,
d2,https,cbor-dns_cbor,100.0,,,,,,,
d2,https,json-dns_cbor,100.0,,,,,,,
p2,coap,json-dns_message,100.0,,,,100.0,,,
p2,coap,cbor-dns_message,100.0,,,,100.0,,,
p2,coap,cbor-dns_cbor,100.0,,,,99.99426638380827,,,
p2,coap,json-dns_cbor,100.0,,,,100.0,,,
p2,oscore_base,json-dns_message,100.0,87.49443372420959,88.01261829652996,87.49443372420959,90.89295574662775,91.12158789271425,90.50685748360166,91.12158789271425
p2,oscore_base,cbor-dns_message,100.0,89.2503748125937,88.49345794392524,89.2503748125937,90.71181918066237,90.89571820458792,90.7920870739652,90.89571820458792
p2,oscore_base,cbor-dns_cbor,100.0,92.42158752409321,92.23624255169996,92.42158752409321,68.74662344678552,68.45773874862789,67.99190637646286,68.45773874862789
p2,oscore_base,json-dns_cbor,100.0,92.37125956854558,91.68975069252078,92.37125956854558,67.06602911943266,67.11895312667596,67.58856770267333,67.11895312667596
p2,oscore,json-dns_message,80.01233806292412,65.8938290803704,65.8938290803704,65.8938290803704,75.84203201113431,75.14477564216435,75.14477564216435,75.14477564216435
p2,oscore,cbor-dns_message,81.61108260646486,68.40193704600485,68.40193704600485,68.40193704600485,76.15957446808511,75.81487230139693,75.81487230139693,75.81487230139693
p2,oscore,cbor-dns_cbor,78.47279472382522,68.44366505918457,68.44366505918457,68.44366505918457,56.26030968977811,57.00058582308143,57.00058582308143,57.00058582308143
p2,oscore,json-dns_cbor,76.6100641954856,67.66031195840554,67.66031195840554,67.66031195840554,53.73795259182078,54.10465422035236,54.10465422035236,54.10465422035236
p2,coaps,json-dns_message,82.23839294865225,76.731003802827,76.731003802827,76.731003802827,81.06441668018822,73.6741239048811,73.6741239048811,73.6741239048811
p2,coaps,cbor-dns_message,86.59431212943423,84.56981664315938,84.56981664315938,84.56981664315938,81.73076923076923,74.2314930991217,74.2314930991217,74.2314930991217
p2,coaps,cbor-dns_cbor,95.39467068878834,79.91806850867253,79.91806850867253,79.91806850867253,58.88706140350877,51.003909965127335,51.003909965127335,51.003909965127335
p2,coaps,json-dns_cbor,93.80768085739804,84.12050703247091,84.12050703247091,84.12050703247091,57.03540536184387,48.47084479983385,48.47084479983385,48.47084479983385
p2,https,json-dns_message,100.0,,,,,,,
p2,https,cbor-dns_message,99.99007444168736,,,,,,,
p2,https,cbor-dns_cbor,99.98511904761904,,,,,,,
