,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,99.9925606308585,,,,99.89213728792764,,,
d2,coap,cbor-dns_message,99.99305658880127,,,,99.9083176847454,,,
d2,coap,cbor-dns_cbor,99.96528466574092,,,,99.79982069313313,,,
d2,coap,json-dns_cbor,99.97718706605832,,,,99.83169934640522,,,
d2,oscore_base,json-dns_message,97.4423448891534,91.31143485431554,90.01428022189269,88.38730071467839,97.44634810154821,96.94605293290148,94.79576597298683,91.75764251671374
d2,oscore_base,cbor-dns_message,97.24197788027574,90.92641376887954,91.03808659504082,86.9085958543155,97.19586135794589,96.56117764112156,94.29483799846624,90.43188492658075
d2,oscore_base,cbor-dns_cbor,97.35816306288434,94.19917578161312,93.17029322422667,89.22126196450144,95.61700637388807,95.9796822799482,91.97960685951088,86.0414024465082
d2,oscore_base,json-dns_cbor,97.21321231959529,94.28844982156846,93.59291162736737,90.17300336153934,95.59746609519738,95.79487242334372,92.56460502143294,86.75934321774292
d2,oscore,json-dns_message,95.4287556415216,89.5705386789605,85.74539868886633,78.71020856201974,97.6964261812341,97.15813923056791,94.661274675445,89.8683808776062
d2,oscore,cbor-dns_message,95.3255963894262,89.71880389348458,85.98784727293973,78.41508330897398,97.49459963670283,97.01625275673604,94.23081992355527,88.37150767681854
d2,oscore,cbor-dns_cbor,95.16266613767108,92.06157467633031,87.818738972978,81.78349078519437,95.91945086502767,96.52090917767687,92.27616568305417,82.96464460533673
d2,oscore,json-dns_cbor,94.95610772206517,92.42966826017674,88.00735549635121,82.80847118811022,95.88617538743856,96.55369308435034,92.82351500306186,84.31676714208696
d2,coaps,json-dns_message,97.3065859948423,89.94950557542604,85.79390115667718,78.28745534776213,98.67905922524433,97.54080198875921,93.694371639331,90.08711742618655
d2,coaps,cbor-dns_message,98.84397936917277,89.69636079482027,86.6124115557793,79.02605389690261,99.51900113798466,97.00099143224966,93.08070196206091,88.59556712928713
d2,coaps,cbor-dns_cbor,99.35032731600873,92.4252421942953,88.02882171794181,80.9492419248517,99.51999268002561,96.5127441798234,90.00117080350572,78.27833620444548
d2,coaps,json-dns_cbor,98.85836143622298,92.62633053221288,88.20493390586849,81.67895489333074,98.76040334235925,98.31705291764173,94.47649669414002,85.69030329564154
d2,https,json-dns_message,99.99727236659395,,,,,,,
d2,https,cbor-dns_message,99.9950406665344,,,,,,,
d2,https,cbor-dns_cbor,99.99504066653444,,,,,,,
d2,https,json-dns_cbor,99.99727236659395,,,,,,,
p2,coap,json-dns_message,99.99305658880127,,,,99.99955845990817,,,
p2,coap,cbor-dns_message,99.9910727570302,,,,99.9990383382485,,,
p2,coap,cbor-dns_cbor,99.94743106526484,,,,99.86274796866992,,,
p2,coap,json-dns_cbor,99.97867486609799,,,,99.97242341683832,,,
p2,oscore_base,json-dns_message,95.13068491791896,87.97235276334953,88.24119360334122,87.97235276334953,94.76016661024683,94.15289792683093,92.92889544734109,94.15289792683093
p2,oscore_base,cbor-dns_message,94.96503496503496,88.94505623242736,87.3054978494309,88.94505623242736,93.97477200237215,93.03835116876907,91.9647099251468,93.03835116876907
p2,oscore_base,cbor-dns_cbor,94.97049050240541,91.33476088508206,91.22024547483264,91.33476088508206,85.63015829444596,85.41145445939551,83.88776234411436,85.41145445939551
p2,oscore_base,json-dns_cbor,94.9144472548728,91.36102736549164,92.20778467428505,91.36102736549164,87.16962639334186,86.94235972058756,85.17457940497837,86.94235972058756
p2,oscore,json-dns_message,85.50924105387338,78.33683886523367,78.33683886523367,78.33683886523367,89.34937313166466,88.97451232518965,88.97451232518965,88.97451232518965
p2,oscore,cbor-dns_message,86.01642407553106,77.80322606968963,77.80322606968963,77.80322606968963,88.00459025246387,87.82755808314597,87.82755808314597,87.82755808314597
p2,oscore,cbor-dns_cbor,83.55527143981118,82.62221181429658,82.62221181429658,82.62221181429658,83.5346361280381,84.16459904724096,84.16459904724096,84.16459904724096
p2,oscore,json-dns_cbor,82.10283130161227,83.3653978287756,83.3653978287756,83.3653978287756,84.96398989454632,85.70608190505753,85.70608190505753,85.70608190505753
p2,coaps,json-dns_message,85.17631304865347,79.61417302335269,79.61417302335269,79.61417302335269,86.04012127634523,86.77386462735628,86.77386462735628,86.77386462735628
