,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,100.0,,,,100.0,,,
d2,coap,cbor-dns_message,99.99012345679013,,,,99.99638035255366,,,
d2,coap,cbor-dns_cbor,99.98011137629275,,,,99.97697311611307,,,
d2,coap,json-dns_cbor,100.0,,,,100.0,,,
d2,oscore_base,json-dns_message,96.2061975094121,85.34476547301679,84.09899018631774,81.00842677066649,97.69612785183526,97.53921870193787,95.36804308797127,89.72432084873815
d2,oscore_base,cbor-dns_message,96.19277108433735,85.93993483496246,85.53724827489087,80.0739776697034,97.7271016783322,96.7594879003153,95.32189009780431,88.56652628295117
d2,oscore_base,cbor-dns_cbor,95.85195259374393,90.0472711645896,88.68844049247606,83.26096211153683,96.17922453340036,96.43700913096225,89.93014731309219,74.31460514135156
d2,oscore_base,json-dns_cbor,95.73662231717977,89.79958890030832,89.58497850311485,84.16550279329608,95.9146381256934,96.43612800846337,92.13640038215625,74.29599020508113
d2,oscore,json-dns_message,94.20845718669095,82.67605633802818,76.88885893374672,69.30335831251735,97.93524694596417,97.28258815525908,95.05429182848538,85.15759761643406
d2,oscore,cbor-dns_message,93.4906737723639,83.55446927374301,78.5548263604047,70.27772035007925,97.96946679702188,97.06102024049594,94.6528238554311,87.33359746434232
d2,oscore,cbor-dns_cbor,93.88692241461781,87.2567590838643,80.13506835776643,72.59903708083453,96.70406732117812,94.77043187310242,89.8371777476255,66.62086024460629
d2,oscore,json-dns_cbor,93.24505853003262,87.66149310673718,79.92925124231449,73.00094884844303,96.40311294225361,96.47874133732908,91.95574589578872,66.33883704235463
d2,coaps,json-dns_message,95.81435079726651,84.16689317749389,77.87592852840794,68.2307590057158,98.06212368914231,96.08207480034791,90.30586000870494,84.19006973288114
d2,coaps,cbor-dns_message,98.27959103421156,83.81112984822934,80.17659164841001,71.0108986490896,99.4631566389629,96.76979254444043,91.11893427211265,84.34452234538405
d2,coaps,cbor-dns_cbor,99.00414119503057,87.33518098597463,81.4333939236562,72.066370167636,99.12968299711815,96.40791476407915,86.85062831973053,65.2874504984296
d2,coaps,json-dns_cbor,98.02689702562088,87.10816396830865,80.89963642512895,70.43907420013615,97.87801484230056,95.63004061087913,88.48864084784938,71.97620978642877
d2,https,json-dns_message,100.0,,,,,,,
d2,https,cbor-dns_message,100.0,,,,,,,
d2,https,cbor-dns_cbor,100.0,,,,,,,
d2,https,json-dns_cbor,100.0,,,,,,,
p2,coap,json-dns_message,100.0,,,,100.0,,,
p2,coap,cbor-dns_message,100.0,,,,100.0,,,
p2,coap,cbor-dns_cbor,99.95088891071605,,,,99.74225327911105,,,
p2,coap,json-dns_cbor,100.0,,,,99.98846264782233,,,
p2,oscore_base,json-dns_message,93.87268915570802,81.0939273552781,81.40050017863523,81.0939273552781,93.22250129569828,92.08381839348078,90.97869507323568,92.08381839348078
p2,oscore_base,cbor-dns_message,93.25609870961665,83.17138431206872,81.02941176470588,83.17138431206872,92.89334024979051,90.35311677599277,89.99919413329035,90.35311677599277
p2,oscore_base,cbor-dns_cbor,93.18160265528687,85.89215181178088,87.27450457655736,85.89215181178088,82.25557863700328,78.63941955667975,77.3688332028191,78.63941955667975
p2,oscore_base,json-dns_cbor,93.40764943301942,86.17483489746263,87.80725022104332,86.17483489746263,82.46554884257688,79.06728847435043,78.02990848895172,79.06728847435043
p2,oscore,json-dns_message,82.64432372709696,68.29706528249152,68.29706528249152,68.29706528249152,83.79162230625207,81.8985665316298,81.8985665316298,81.8985665316298
p2,oscore,cbor-dns_message,83.9740620657712,69.62869978858352,69.62869978858352,69.62869978858352,83.43456040293312,81.68473093744058,81.68473093744058,81.68473093744058
p2,oscore,cbor-dns_cbor,80.20225947521867,72.81133355955208,72.81133355955208,72.81133355955208,69.2792851980816,66.72658140338748,66.72658140338748,66.72658140338748
p2,oscore,json-dns_cbor,79.16782503938468,73.33218261845171,73.33218261845171,73.33218261845171,68.97995004388038,67.72651553559788,67.72651553559788,67.72651553559788
p2,coaps,json-dns_message,81.50236449618042,70.29564522572912,70.29564522572912,70.29564522572912,81.12988932837908,82.3990558880553,82.3990558880553,82.3990558880553
p2,coaps,cbor-dns_message,82.73668907868435,72.13689924533297,72.13689924533297,72.13689924533297,81.58168158567774,82.59729448491156,82.59729448491156,82.59729448491156
