,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,100.0,,,,100.0,,,
d2,coap,cbor-dns_message,100.0,,,,100.0,,,
d2,coap,cbor-dns_cbor,100.0,,,,100.0,,,
d2,coap,json-dns_cbor,100.0,,,,100.0,,,
d2,oscore_base,json-dns_message,100.0,92.83947223749313,92.57428461580712,89.78559648158328,100.0,100.0,100.0,86.76205952601673
d2,oscore_base,cbor-dns_message,100.0,92.95164500643953,93.11455253373929,84.76695163368075,100.0,100.0,100.0,85.98142043751874
d2,oscore_base,cbor-dns_cbor,100.0,96.03383633377746,95.87440332279462,92.38918316141623,100.0,100.0,100.0,83.00263197370754
d2,oscore_base,json-dns_cbor,100.0,96.30080946992776,96.25859218654833,92.5234728178973,100.0,100.0,100.0,85.17828697463547
d2,oscore,json-dns_message,100.0,92.70327378502236,92.07285295005074,77.95554335894622,100.0,100.0,100.0,88.60246008898194
d2,oscore,cbor-dns_message,100.0,92.97009733711378,92.65285852005492,76.58579362759427,100.0,100.0,100.0,87.82496134622991
d2,oscore,cbor-dns_cbor,100.0,96.11596357554359,95.43442597579472,81.32569304630634,100.0,100.0,100.0,83.12540052630861
d2,oscore,json-dns_cbor,100.0,96.01912212081703,95.2334066952392,82.15372135469478,100.0,100.0,100.0,84.86129490761162
d2,coaps,json-dns_message,99.98512199960325,92.557332211235,91.72712933753944,78.7008825383484,99.99852819969387,99.91488326848248,99.89326920478803,92.5646289743105
d2,coaps,cbor-dns_message,100.0,92.28622460370617,92.12741561092933,78.52230795035223,100.0,99.86830228325367,99.88458465271817,89.96685704139911
d2,coaps,cbor-dns_cbor,100.0,96.28085540325725,95.73354859927646,81.6354048061365,100.0,100.0,99.9966548471265,80.71281631014702
d2,coaps,json-dns_cbor,100.0,95.9719887955182,95.30745698969997,82.15917692242999,100.0,99.99698044840342,99.9969809497932,90.89811138453177
d2,https,json-dns_message,100.0,,,,,,,
d2,https,cbor-dns_message,100.0,,,,,,,
d2,https,cbor-dns_cbor,100.0,,,,,,,
d2,https,json-dns_cbor,100.0,,,,,,,
p2,coap,json-dns_message,100.0,,,,100.0,,,
p2,coap,cbor-dns_message,100.0,,,,100.0,,,
p2,coap,cbor-dns_cbor,100.0,,,,100.0,,,
p2,coap,json-dns_cbor,100.0,,,,100.0,,,
p2,oscore_base,json-dns_message,100.0,89.65014977876714,88.47337473209869,89.65014977876714,94.4733085086028,94.62916649583862,93.28578455484505,94.62916649583862
p2,oscore_base,cbor-dns_message,99.98016168228934,88.61879100281162,86.5903970506481,88.61879100281162,91.00671571220208,92.84838883242662,90.12863994262749,92.84838883242662
p2,oscore_base,cbor-dns_cbor,100.0,93.47670918288179,91.86709645425242,93.47670918288179,86.93750571872998,87.73919805260667,82.59488323363412,87.73919805260667
p2,oscore_base,json-dns_cbor,100.0,92.08024118738405,92.82150936829282,92.08024118738405,87.81168496768942,89.0160952570197,86.32856073224026,89.0160952570197
p2,oscore,json-dns_message,84.26563114431774,77.46113989637306,77.46113989637306,77.46113989637306,87.44813278008299,88.97660556402819,88.97660556402819,88.97660556402819
p2,oscore,cbor-dns_message,84.75118017309205,75.96496477436553,75.96496477436553,75.96496477436553,86.4857567166194,87.97337212890712,87.97337212890712,87.97337212890712
p2,oscore,cbor-dns_cbor,82.1498819826908,82.28733680697852,82.28733680697852,82.28733680697852,82.769489388527,84.57349146486702,84.57349146486702,84.57349146486702
p2,oscore,json-dns_cbor,80.66260322453795,83.10017864504603,83.10017864504603,83.10017864504603,83.91045864179686,85.8439945899204,85.8439945899204,85.8439945899204
p2,coaps,json-dns_message,83.10271288994693,78.53479472026243,78.53479472026243,78.53479472026243,84.78158483456964,86.35674515328368,86.35674515328368,86.35674515328368
p2,coaps,cbor-dns_message,84.19460424518944,77.9590593058364,77.9590593058364,77.9590593058364,84.02974788030325,85.61484918793504,85.61484918793504,85.61484918793504
p2,coaps,cbor-dns_cbor,85.28492783811933,82.1115941165962,82.1115941165962,82.1115941165962,78.94553839396823,80.11434459605444,80.11434459605444,80.11434459605444
p2,coaps,json-dns_cbor,81.77444951398533,83.2911744266852,83.2911744266852,83.2911744266852,80.87446218250078,81.88001080983696,81.88001080983696,81.88001080983696
p2,https,json-dns_message,98.40061495734973,,,,,,,
p2,https,cbor-dns_message,87.80995834159889,,,,,,,
p2,https,cbor-dns_cbor,100.0,,,,,,,
