,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,100.0,,,,100.0,,,
d2,coap,cbor-dns_message,100.0,,,,100.0,,,
d2,coap,cbor-dns_cbor,100.0,,,,100.0,,,
d2,coap,json-dns_cbor,100.0,,,,100.0,,,
d2,oscore_base,json-dns_message,100.0,90.40348964013086,90.49361569604486,85.71752608498412,100.0,100.0,100.0,81.8283861312048
d2,oscore_base,cbor-dns_message,100.0,90.87397758255075,90.98354439978768,80.97817675282464,100.0,100.0,100.0,82.44983648915984
d2,oscore_base,cbor-dns_cbor,100.0,95.83871563019008,95.93473451327434,90.8593170007424,100.0,100.0,100.0,69.59647495361781
d2,oscore_base,json-dns_cbor,100.0,95.59823561845249,95.73058520426942,90.52345725255174,100.0,100.0,100.0,71.41175547359335
d2,oscore,json-dns_message,100.0,89.97699386503068,89.95278272312099,71.81856013316687,100.0,100.0,100.0,84.75327291037262
d2,oscore,cbor-dns_message,100.0,91.07430411778238,91.27193663612361,71.6853562005277,100.0,100.0,100.0,84.6196623634558
d2,oscore,cbor-dns_cbor,100.0,95.98371275217472,95.54353906395674,73.57874693988575,100.0,100.0,100.0,69.76924268236023
d2,oscore,json-dns_cbor,100.0,95.83294577248628,95.73773639243545,73.27213822894169,100.0,100.0,100.0,70.69993722536096
d2,coaps,json-dns_message,100.0,90.23140011716461,89.25773964938456,69.84703499336453,99.99600543261164,99.9959998399936,99.98797064838205,89.3859649122807
d2,coaps,cbor-dns_message,100.0,90.7179866765359,90.89623343754653,71.31080528682382,100.0,99.97222222222221,99.96827788572108,87.68795837259803
d2,coaps,cbor-dns_cbor,100.0,96.02298231439089,95.75307713990416,74.17163836622304,100.0,100.0,100.0,73.83048084759577
d2,coaps,json-dns_cbor,100.0,95.34583063994829,95.59754281459419,71.93184843375631,100.0,100.0,100.0,80.65920067936946
d2,https,json-dns_message,100.0,,,,,,,
d2,https,cbor-dns_message,100.0,,,,,,,
d2,https,cbor-dns_cbor,100.0,,,,,,,
d2,https,json-dns_cbor,100.0,,,,,,,
p2,coap,json-dns_message,100.0,,,,100.0,,,
p2,coap,cbor-dns_message,100.0,,,,100.0,,,
p2,coap,cbor-dns_cbor,100.0,,,,100.0,,,
p2,coap,json-dns_cbor,100.0,,,,100.0,,,
p2,oscore_base,json-dns_message,100.0,86.37282338308458,84.99208860759494,86.37282338308458,93.36268885836633,94.02349243113575,90.69540859822189,94.02349243113575
p2,oscore_base,cbor-dns_message,99.9803574936162,86.2728130899937,83.14659197012139,86.2728130899937,92.7498252969951,93.00249608664383,88.39920621795932,93.00249608664383
p2,oscore_base,cbor-dns_cbor,100.0,92.29120059656972,90.24299065420561,92.29120059656972,88.60076444577682,87.9529946929492,74.62166962699823,87.9529946929492
p2,oscore_base,json-dns_cbor,100.0,90.57338143155496,91.34879318504497,90.57338143155496,85.97337171644477,85.67481402763019,79.69215491559086,85.67481402763019
p2,oscore,json-dns_message,81.22211091885984,69.87739463601532,69.87739463601532,69.87739463601532,81.79482262703739,82.22362552788412,82.22362552788412,82.22362552788412
p2,oscore,cbor-dns_message,82.32392436283914,70.10029409546792,70.10029409546792,70.10029409546792,82.5716828541578,82.94307866131608,82.94307866131608,82.94307866131608
p2,oscore,cbor-dns_cbor,78.61635220125787,74.53347969264544,74.53347969264544,74.53347969264544,73.3793464965927,71.81871005229517,71.81871005229517,71.81871005229517
p2,oscore,json-dns_cbor,77.24550898203593,74.2385555352909,74.2385555352909,74.2385555352909,71.66515837104073,71.251301631378,71.251301631378,71.251301631378
p2,coaps,json-dns_message,79.51549697185607,69.86225128704605,69.86225128704605,69.86225128704605,79.6771473316468,82.79936974789915,82.79936974789915,82.79936974789915
p2,coaps,cbor-dns_message,81.20429719238061,70.4639033763382,70.4639033763382,70.4639033763382,81.18281784111034,83.88063648785649,83.88063648785649,83.88063648785649
p2,coaps,cbor-dns_cbor,83.18835098335855,74.12948615192805,74.12948615192805,74.12948615192805,74.99582149423367,74.18548603052754,74.18548603052754,74.18548603052754
p2,coaps,json-dns_cbor,78.59185132237312,73.68094351334574,73.68094351334574,73.68094351334574,73.31040550267936,71.07357479291862,71.07357479291862,71.07357479291862
p2,https,json-dns_message,98.25394470000495,,,,,,,
p2,https,cbor-dns_message,84.3217665615142,,,,,,,
p2,https,cbor-dns_cbor,100.0,,,,,,,
