,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,96.9944948668353,,,,96.06585537250002,,,
d2,coap,cbor-dns_message,96.82090958686703,,,,96.53399118769714,,,
d2,coap,cbor-dns_cbor,84.42769291807181,,,,95.16992127307876,,,
d2,coap,json-dns_cbor,74.29081531442175,,,,93.46279537456009,,,
d2,oscore_base,json-dns_message,83.79705400981997,74.61517317207257,74.11984401603779,71.85816382627817,87.90099495828314,96.229048756284,93.71327657440615,72.2709971534829
d2,oscore_base,cbor-dns_message,90.96860586222289,73.19693244350779,72.99101261746537,70.98606394191357,92.08969512494477,95.9842245957253,92.98073236196319,71.17410848067126
d2,oscore_base,cbor-dns_cbor,72.92203927792104,79.39144176246398,78.11047052259624,76.7710559737323,91.36233102192337,88.65207608917979,85.05002862673464,72.65202034665684
d2,oscore_base,json-dns_cbor,72.52888955016614,79.56596164447153,79.8167000203022,77.75878057262085,90.60972084312667,89.2301281894164,90.28169014084507,74.03136870481558
d2,oscore,json-dns_message,78.70356593760849,74.22408825224335,73.74715418163863,71.64928649835346,92.58466068799358,96.20518188955771,93.74652554474008,77.85701823257438
d2,oscore,cbor-dns_message,80.69235728810197,72.56437987781707,72.19771552101896,70.39754457760888,93.76503510236142,95.90684629398791,93.43030709689788,73.74899620054414
d2,oscore,cbor-dns_cbor,73.71553263241421,78.37143034132441,78.17500851208716,75.82158897320738,91.35252504027457,89.13159078823577,87.74277964808024,72.64422355844616
d2,oscore,json-dns_cbor,74.06139959331449,79.51904968854122,79.04841885787096,77.20543500304198,92.00864745289778,88.9807871391462,89.59583588487446,74.166789197667
d2,coaps,json-dns_message,75.85796468954572,71.1208710288239,72.28706624605678,70.05673460811094,72.30219003885553,89.84273670557718,89.49985138750034,82.81963316134959
d2,coaps,cbor-dns_message,80.63380281690141,68.94116990399642,70.81969963923149,68.13429497931342,95.72053661585805,89.34580269018481,88.9733952827676,82.19305773385021
d2,coaps,cbor-dns_cbor,70.52172188057925,80.1265708886956,80.40780937004813,78.89374962545695,81.06505627230305,87.55017393631255,86.83849601926809,67.17566188891306
d2,coaps,json-dns_cbor,74.75203332672089,80.92156862745098,80.43557576267857,79.90804855484848,80.68176154957888,91.93779723711029,91.4470307641216,82.89678286206012
d2,https,json-dns_message,100.0,,,,,,,
d2,https,cbor-dns_message,100.0,,,,,,,
d2,https,cbor-dns_cbor,100.0,,,,,,,
d2,https,json-dns_cbor,99.81898432850625,,,,,,,
p2,coap,json-dns_message,95.43718692654863,,,,91.88007771105616,,,
p2,coap,cbor-dns_message,95.69508505678719,,,,91.46204641620722,,,
p2,coap,cbor-dns_cbor,75.89763935727038,,,,78.59234316667887,,,
p2,coap,json-dns_cbor,75.85300535608013,,,,83.60356169845173,,,
p2,oscore_base,json-dns_message,82.23478649010563,73.58946876631765,71.90470956751113,73.58946876631765,78.33036515903036,83.92713159225397,82.47253648139039,83.92713159225397
p2,oscore_base,cbor-dns_message,82.90432971284035,72.61305060918463,71.3871902156421,72.61305060918463,72.33735634947348,76.45722484605727,77.66505804485216,76.45722484605727
p2,oscore_base,cbor-dns_cbor,74.423448891534,78.26086956521739,75.7221671212497,78.26086956521739,81.84280355018757,82.69490837784839,72.25658183784515,82.69490837784839
p2,oscore_base,json-dns_cbor,76.17418042949959,78.83812615955473,77.76843204362201,78.83812615955473,70.51181952588999,83.79010439753604,70.64926730131565,83.79010439753604
p2,oscore,json-dns_message,73.07805741250492,71.19991791925307,71.19991791925307,71.19991791925307,66.08999241511623,56.09182341038446,56.09182341038446,56.09182341038446
p2,oscore,cbor-dns_message,73.82966168371361,69.14560835622773,69.14560835622773,69.14560835622773,65.54855971623894,57.084600802363006,57.084600802363006,57.084600802363006
p2,oscore,cbor-dns_cbor,69.66463414634147,76.94514372694807,76.94514372694807,76.94514372694807,64.98143867759333,57.290839618896385,57.290839618896385,57.290839618896385
p2,oscore,json-dns_cbor,71.38222571765631,78.22454308093995,78.22454308093995,78.22454308093995,67.06049446336773,56.167269018425316,56.167269018425316,56.167269018425316
p2,coaps,json-dns_message,73.25794772603284,70.48762073364401,70.48762073364401,70.48762073364401,63.73042505592841,69.71355738914605,69.71355738914605,69.71355738914605
p2,coaps,cbor-dns_message,74.28089664749058,68.51056757430543,68.51056757430543,68.51056757430543,62.611594621019066,69.13272049105701,69.13272049105701,69.13272049105701
