,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,97.53563201082054,,,,92.90801395888884,,,
d2,coap,cbor-dns_message,96.0700733259506,,,,100.0,,,
d2,coap,cbor-dns_cbor,81.44468356019706,,,,94.36958369621372,,,
d2,coap,json-dns_cbor,68.50971657899323,,,,88.73076391380891,,,
d2,oscore_base,json-dns_message,79.39133428051281,65.76698752688075,66.11923599453078,61.16321192672694,74.52788775423336,100.0,100.0,52.978760419824475
d2,oscore_base,cbor-dns_message,91.53017988986548,67.35030194585623,67.38902037348409,62.973188055616035,82.36029870586643,100.0,100.0,54.658432173828196
d2,oscore_base,cbor-dns_cbor,67.65504734302853,66.62028173857053,66.24135117799719,63.44770891781765,74.65556016146142,87.8979787595221,83.5518321540419,43.31663413302843
d2,oscore_base,json-dns_cbor,66.99854913147847,64.96232350173601,65.89697414871007,62.286211335178955,82.09632429228719,86.99271698641618,87.42211316766856,40.96027592324768
d2,oscore,json-dns_message,74.59090620835117,65.36282173440623,65.29992262381302,61.0282172400362,83.03827457049391,100.0,100.0,61.10672528416481
d2,oscore,cbor-dns_message,74.64481452614906,66.87613489907369,65.91881913398882,62.575720112720326,86.123607091358,100.0,100.0,56.7096791136661
d2,oscore,cbor-dns_cbor,68.14114932011563,66.01525821654894,65.48334981668066,62.47407566805945,87.59232431260358,87.48514908974116,86.95444531874601,43.17971545768491
d2,oscore,json-dns_cbor,68.81470991966097,65.12723203695415,64.28447764981908,61.94561604048261,85.98614049507869,85.98456845061939,87.3135352753135,40.94722671128787
d2,coaps,json-dns_message,70.38684800426265,62.46977359843364,63.99672096771115,60.1805165129951,73.15595679716431,85.93957079960515,88.26338415753122,74.49271686171485
d2,coaps,cbor-dns_message,75.0499622460213,62.66288288179182,64.96840462826613,60.569793503568704,91.41655754321638,86.27784624714809,88.54250236262816,74.86270726144927
d2,coaps,cbor-dns_cbor,65.22290836429531,68.23568291958856,67.98018375249322,65.3888682552904,74.294502217265,80.95971057398262,82.18380091127082,45.30065085401828
d2,coaps,json-dns_cbor,68.94861696594499,66.38944998158821,66.23561951166619,65.03462383603026,68.6703034806535,91.30770880054087,92.34119873705137,65.97419226360388
d2,https,json-dns_message,100.0,,,,,,,
d2,https,cbor-dns_message,100.0,,,,,,,
d2,https,cbor-dns_cbor,100.0,,,,,,,
d2,https,json-dns_cbor,100.0,,,,,,,
p2,coap,json-dns_message,95.47238558096642,,,,93.63681883564107,,,
p2,coap,cbor-dns_message,94.99488011811344,,,,94.45047319696937,,,
p2,coap,cbor-dns_cbor,69.96604089999856,,,,67.15360555457474,,,
p2,coap,json-dns_cbor,70.47300586376967,,,,70.33584142623012,,,
p2,oscore_base,json-dns_message,77.62650608478395,64.69228620254393,61.65754792397158,64.69228620254393,76.53633630006343,78.92278796472249,76.10946541653776,78.92278796472249
p2,oscore_base,cbor-dns_message,78.90641907134042,65.67174338344024,63.02257988067319,65.67174338344024,68.96263944107,67.87081227537466,69.39883105458574,67.87081227537466
p2,oscore_base,cbor-dns_cbor,69.08176642944187,65.89816175182712,62.826886705431015,65.89816175182712,72.05190900121605,72.18466916271929,51.54919057176216,72.18466916271929
p2,oscore_base,json-dns_cbor,70.98808507644156,63.833947512277,62.50471089975932,63.833947512277,48.75933346212543,70.30505317300009,46.607336728836735,70.30505317300009
p2,oscore,json-dns_message,67.57770812686752,62.05000670621062,62.05000670621062,62.05000670621062,45.38822613956232,36.257947586710515,36.257947586710515,36.257947586710515
p2,oscore,cbor-dns_message,68.02465308703893,63.02230915892023,63.02230915892023,63.02230915892023,49.406785428085506,39.80438410917123,39.80438410917123,39.80438410917123
p2,oscore,cbor-dns_cbor,64.19151128091951,61.95745317960635,61.95745317960635,61.95745317960635,34.690332689704604,32.70745364262098,32.70745364262098,32.70745364262098
p2,oscore,json-dns_cbor,65.88190963922187,62.02945044849826,62.02945044849826,62.02945044849826,32.513764650803104,29.478074863815607,29.478074863815607,29.478074863815607
p2,coaps,json-dns_message,67.5829774815982,60.982097712347084,60.982097712347084,60.982097712347084,50.99282780371433,55.710478676846364,55.710478676846364,55.710478676846364
p2,coaps,cbor-dns_message,68.51033881333905,60.416964185317326,60.416964185317326,60.416964185317326,54.57686949091989,59.45149646121279,59.45149646121279,59.45149646121279
