,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,0.924476392814662,,,,0.9453288406922488,,,
d2,coap,cbor-dns_message,0.9999787291066511,,,,0.9454787847621965,,,
d2,coap,cbor-dns_cbor,0.9999744746022253,,,,0.9033186639201457,,,
d2,coap,json-dns_cbor,0.9999914917150576,,,,0.9889038408884648,,,
d2,oscore_base,json-dns_message,0.9322558453436558,0.8977387511377339,0.9139199803811057,0.8261245494141622,0.9272565840834192,0.9469471398405795,0.8390877316170894,0.761281122469124
d2,oscore_base,cbor-dns_message,0.9368366458693466,0.9254162454924831,0.9003057444964234,0.8580851330603352,0.8367032084809047,0.9624390350500194,0.8642956207628668,0.8225465274574694
d2,oscore_base,cbor-dns_cbor,0.9615376307214578,0.9115531935919344,0.8836375762235278,0.8799729479109534,0.714971274002001,0.9477620873305066,0.7959232226040861,0.5538275784883016
d2,oscore_base,json-dns_cbor,0.920842769922387,0.9073526476059642,0.9005462643774683,0.768050236950573,0.7909405865116639,0.9884840080084025,0.7564594705132139,0.5668786838368436
d2,oscore,json-dns_message,0.9263377629058345,0.9129702755339512,0.9007175661545233,0.7085536180198927,0.9486166776031315,0.9900313205874613,0.916013092554907,0.8356734186150032
d2,oscore,cbor-dns_message,0.9331492178473143,0.9058334697036086,0.903357135235116,0.7240463206773757,0.9509641426306313,0.9903784482023885,0.9122446774375872,0.8369896045031044
d2,oscore,cbor-dns_cbor,0.9331649245688866,0.9022177601590462,0.8801032331639567,0.7833410240662161,0.8147070622812824,0.9901103609639167,0.8250506846785617,0.5911697550365963
d2,oscore,json-dns_cbor,0.926545181846457,0.9061835267960264,0.8835388333443455,0.771667881253295,0.835085933224188,0.9925629783856781,0.812830126797351,0.5911496244515002
d2,coaps,json-dns_message,0.973127936244499,0.8961158704350615,0.8688120175427514,0.797777428751108,0.8830030138297277,0.9567789659692714,0.9058849685476928,0.8389775846303129
d2,coaps,cbor-dns_message,0.9797228874586361,0.8984117089776869,0.8864816380279305,0.7903570989281083,0.9153331003343791,0.9498680601043056,0.868669516892701,0.8442927863679565
d2,coaps,cbor-dns_cbor,0.9660616676662588,0.9440685359794279,0.7988429279314427,0.7035177085421556,0.883031242479168,0.9902822444614643,0.8699870224908105,0.6441409528284022
d2,coaps,json-dns_cbor,0.980293374278256,0.9289687867227086,0.7963852613932618,0.7144512240127158,0.8056903160481177,0.992335973526638,0.8938530036230059,0.6723196014423548
d2,https,json-dns_message,0.9999978729513863,,,,,,,
d2,https,cbor-dns_message,0.9999978729966287,,,,,,,
d2,https,cbor-dns_cbor,1.0,,,,,,,
d2,https,json-dns_cbor,1.0,,,,,,,
p2,coap,json-dns_message,0.9755114068482769,,,,0.9599465112947133,,,
p2,coap,cbor-dns_message,0.999974475145161,,,,0.8885284669102909,,,
p2,coap,cbor-dns_cbor,0.9999659659553014,,,,0.9502603718456717,,,
p2,coap,json-dns_cbor,0.9999914918960272,,,,0.9829637102278699,,,
p2,oscore_base,json-dns_message,0.9201076012667373,0.9042522006510731,0.8768145230170397,0.9042522006510731,0.8686035118047482,0.8789760609096818,0.8488941997927748,0.8789760609096818
p2,oscore_base,cbor-dns_message,0.9282622617680486,0.8777402697964833,0.8611529975927411,0.8777402697964833,0.8793033538975298,0.8664662132343166,0.7839085872573075,0.8664662132343166
p2,oscore_base,cbor-dns_cbor,0.9116804229722542,0.8834623380497147,0.8854716783499439,0.8834623380497147,0.6458107593911262,0.7546060432103081,0.6244862378009944,0.7546060432103081
p2,oscore_base,json-dns_cbor,0.9251573590906748,0.8813715706461464,0.7764383594402673,0.8813715706461464,0.6995127464153643,0.7102600105023715,0.5714929507307172,0.7102600105023715
p2,oscore,json-dns_message,0.8815070260988817,0.6947413931030542,0.6947413931030542,0.6947413931030542,0.8494419492349399,0.8238351712536813,0.8238351712536813,0.8238351712536813
p2,oscore,cbor-dns_message,0.8875389780163339,0.701425486133533,0.701425486133533,0.701425486133533,0.8534869045366154,0.8309348126515339,0.8309348126515339,0.8309348126515339
p2,oscore,cbor-dns_cbor,0.854315465672405,0.7438941292348614,0.7438941292348614,0.7438941292348614,0.6799311699833435,0.628005225385418,0.628005225385418,0.628005225385418
p2,oscore,json-dns_cbor,0.8530777085813362,0.7438101013666657,0.7438101013666657,0.7438101013666657,0.6575566003754238,0.5913903920702137,0.5913903920702137,0.5913903920702137
