,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,oscore,json-dns_message,91.96342969891616,87.91179704240335,87.25587292952682,59.50871468783252,95.8157263258064,98.25913704923595,92.94517422299172,81.85362541508832
d2,oscore,cbor-dns_message,92.75544345762971,88.52467099054984,87.77261029510169,60.25039140596078,95.23877776448725,98.30975593343908,93.16898310004753,81.97118741982668
d2,oscore,cbor-dns_cbor,89.95843874070285,88.14707023243218,85.7433621546823,65.86556881867224,83.48758245631366,98.93372310934018,82.34578099641965,58.00469182754
d2,oscore,json-dns_cbor,89.70823388144076,88.32779831922637,85.76262201067422,66.50534714654187,83.43042557641137,98.83610451142687,81.06540581421916,55.933418463824715
d2,coaps,json-dns_message,99.46567515519334,85.96340957730834,82.35120482435059,60.60965339304823,89.68076030836262,94.46451807157432,87.94313814633568,82.64261068008099
d2,coaps,cbor-dns_message,99.4107802943516,86.19720637011848,83.11261386384983,58.349775924663085,92.65728373463247,94.38449475839515,83.91316459964371,83.37312456499383
d2,coaps,cbor-dns_cbor,99.13193245215636,84.87762278348926,81.82021294858369,64.22464436203266,90.09717936276402,98.06001227973242,81.85325426545042,62.70073547370325
d2,coaps,json-dns_cbor,99.8449018212616,84.64353124744603,80.94474676835821,63.76335289390822,82.58507010080123,98.32380277922806,80.62292330660995,65.22976292068515
p2,oscore,json-dns_message,79.8513917811395,59.004067745999535,59.004067745999535,59.004067745999535,69.68463928195736,24.324468715726926,24.324468715726926,24.324468715726926
p2,oscore,cbor-dns_message,79.9412933165853,60.77337681995634,60.77337681995634,60.77337681995634,72.24247100598393,35.14041710460284,35.14041710460284,35.14041710460284
p2,oscore,cbor-dns_cbor,79.75754475340639,66.27656404749604,66.27656404749604,66.27656404749604,8.702383982104841,5.659644465841364,5.659644465841364,5.659644465841364
p2,oscore,json-dns_cbor,80.76549474285996,66.5938517889557,66.5938517889557,66.5938517889557,7.854030372313084,4.863052751296308,4.863052751296308,4.863052751296308
p2,coaps,json-dns_message,83.27833974850408,56.06980115437214,56.06980115437214,56.06980115437214,80.48282178977098,81.51678546537737,81.51678546537737,81.51678546537737
p2,coaps,cbor-dns_message,83.65346267028707,55.87921319094086,55.87921319094086,55.87921319094086,86.66969891059676,84.61876632371002,84.61876632371002,84.61876632371002
p2,coaps,cbor-dns_cbor,80.5957492231704,62.136257313920204,62.136257313920204,62.136257313920204,65.46438112773818,59.20765067667798,59.20765067667798,59.20765067667798
p2,coaps,json-dns_cbor,80.88511473115896,62.61767053308303,62.61767053308303,62.61767053308303,64.04565897417226,58.928388226563946,58.928388226563946,58.928388226563946
p1,oscore,json-dns_message,77.749040357695,58.58875430508248,58.58875430508248,58.58875430508248,72.4730783908535,25.74370968898122,25.74370968898122,25.74370968898122
p1,oscore,cbor-dns_message,77.47323346371067,60.58045559059282,60.58045559059282,60.58045559059282,73.75521513954698,34.25673568343702,34.25673568343702,34.25673568343702
p1,oscore,cbor-dns_cbor,80.29833357945806,66.05134576557488,66.05134576557488,66.05134576557488,26.782188926159744,4.818955959252504,4.818955959252504,4.818955959252504
p1,oscore,json-dns_cbor,80.21097231246588,66.53162929089655,66.53162929089655,66.53162929089655,22.959737371510663,3.5953840667482986,3.5953840667482986,3.5953840667482986
p1,coaps,json-dns_message,80.7641466105112,55.57664079722328,55.57664079722328,55.57664079722328,84.50989533430328,85.11963636027305,85.11963636027305,85.11963636027305
p1,coaps,cbor-dns_message,81.18592736381372,55.78603615626532,55.78603615626532,55.78603615626532,87.9929650428496,82.52547041453407,82.52547041453407,82.52547041453407
p1,coaps,cbor-dns_cbor,80.67138402233634,62.0813971072871,62.0813971072871,62.0813971072871,61.164419631594356,58.47434412192285,58.47434412192285,58.47434412192285
p1,coaps,json-dns_cbor,80.52525974066313,62.58229749882116,62.58229749882116,62.58229749882116,61.324045313453446,55.058023287607014,55.058023287607014,55.058023287607014
d1,oscore,json-dns_message,82.07380101291967,59.56340091845084,59.56340091845084,59.56340091845084,84.23378518012147,78.85578769104352,78.85578769104352,78.85578769104352
d1,oscore,cbor-dns_message,82.14268698753051,60.20072023430592,60.20072023430592,60.20072023430592,83.12754653303729,78.21594085872526,78.21594085872526,78.21594085872526
d1,oscore,cbor-dns_cbor,79.3908444170088,65.68955793274462,65.68955793274462,65.68955793274462,62.81625658391899,54.7209268521861,54.7209268521861,54.7209268521861
d1,oscore,json-dns_cbor,79.83862828313273,66.45611109838028,66.45611109838028,66.45611109838028,60.00882680049209,53.15377858685972,53.15377858685972,53.15377858685972
d1,coaps,json-dns_message,87.1347844127167,82.60897781073918,82.60897781073918,82.60897781073918,87.87073029160176,79.02800907531649,79.02800907531649,79.02800907531649
d1,coaps,cbor-dns_message,86.4561819807671,83.95574950022697,83.95574950022697,83.95574950022697,85.890061732981,79.98111600358713,79.98111600358713,79.98111600358713
d1,coaps,cbor-dns_cbor,85.69934750717047,81.67918199620713,81.67918199620713,81.67918199620713,57.98500129731232,58.2029236617055,58.2029236617055,58.2029236617055
d1,coaps,json-dns_cbor,85.57785188577715,81.76897922614307,81.76897922614307,81.76897922614307,59.35354935624204,58.04151328081766,58.04151328081766,58.04151328081766
