,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,0.9911757932585459,,,,0.9918316629561904,,,
d2,coap,cbor-dns_message,0.9999999992761216,,,,0.9888767041467196,,,
d2,coap,cbor-dns_cbor,0.9999999927610013,,,,0.9531673800194256,,,
d2,coap,json-dns_cbor,1.0,,,,0.9997474939770867,,,
d2,oscore_base,json-dns_message,0.9956079976119032,0.9692054168044001,0.9706059999221253,0.9489624476152573,0.9882874395609171,0.9911791595221043,0.9646471407058149,0.8830820963904271
d2,oscore_base,cbor-dns_message,0.9898084756891434,0.9795798963078335,0.9717795472896528,0.9550435399466348,0.9167330635859988,0.9945810374429614,0.9709988022671341,0.936024824366067
d2,oscore_base,cbor-dns_cbor,0.9972172340543073,0.9879426362850893,0.9818729105646531,0.9651811534193702,0.9145167234484332,0.9970908712863483,0.9910890614597619,0.8202447137102196
d2,oscore_base,json-dns_cbor,0.9487690113177869,0.9855344334102745,0.9794241575619351,0.9546044211392795,0.9598558744221204,0.9995618707158872,0.9852367017650219,0.8389966502818872
d2,oscore,json-dns_message,0.9913646677010937,0.971035164680638,0.9608439309989774,0.8889183178616097,0.9942547115980831,0.9997936227184384,0.9943057034550142,0.9532557229928716
d2,oscore,cbor-dns_message,0.9935491451722772,0.9727496301707456,0.9633582268001634,0.8973065494497169,0.9941972748872191,0.999810778485889,0.9937125097237505,0.9488888483144784
d2,oscore,cbor-dns_cbor,0.9858867690296844,0.9808123120586322,0.9662107736382467,0.9012111074600634,0.9863565368549949,0.9998626858076763,0.9943755262534694,0.8514422672766893
d2,oscore,json-dns_cbor,0.9837596639304242,0.9780511668534345,0.9632777886835535,0.9027093664428468,0.9787436686171473,0.9998871079460377,0.993289189955531,0.8572762468591343
d2,coaps,json-dns_message,0.998829201988085,0.9657801922951592,0.9531779464609789,0.8982479806826863,0.9771444168604567,0.9974112662864917,0.9821238301287382,0.9420495191776812
d2,coaps,cbor-dns_message,0.9995352893536433,0.9683167929568185,0.9463497108890252,0.8773945414695745,0.9854386362157618,0.9960197708473665,0.9642077592882551,0.9355379369335413
d2,coaps,cbor-dns_cbor,0.998128986819995,0.9785873545294844,0.950996418761345,0.8619958656920581,0.9883180250335567,0.9992432489919315,0.9857330899560399,0.8840398232206559
d2,coaps,json-dns_cbor,0.999140549269485,0.976379407247299,0.945665380265534,0.8593200513793222,0.9757329593224513,0.9993595404543146,0.9927130981408672,0.9295456663863313
d2,https,json-dns_message,1.0,,,,,,,
d2,https,cbor-dns_message,1.0,,,,,,,
d2,https,cbor-dns_cbor,1.0,,,,,,,
d2,https,json-dns_cbor,1.0,,,,,,,
p2,coap,json-dns_message,0.9970343014482907,,,,0.9917890414167086,,,
p2,coap,cbor-dns_message,0.9999999992761216,,,,0.9485077328678699,,,
p2,coap,cbor-dns_cbor,0.9999999750258434,,,,0.9779362479997277,,,
p2,coap,json-dns_cbor,0.9999999996380609,,,,0.9976913898618751,,,
p2,oscore_base,json-dns_message,0.9815357166028018,0.9656106179052643,0.952383056520252,0.9656106179052643,0.9523932692222121,0.961032640222139,0.9456462198725053,0.961032640222139
p2,oscore_base,cbor-dns_message,0.986042103212282,0.9621883917654938,0.9557510550310827,0.9621883917654938,0.9606564760545355,0.9580930518471693,0.8838633173356891,0.9580930518471693
p2,oscore_base,cbor-dns_cbor,0.924473640512186,0.9714456883226029,0.9682022536395021,0.9714456883226029,0.8038562733405575,0.8974874891756185,0.8389601464259279,0.8974874891756185
p2,oscore_base,json-dns_cbor,0.9869687776101067,0.9686394665521704,0.9587996928640724,0.9686394665521704,0.8830415392609536,0.8881249403415217,0.844650884281404,0.8881249403415217
p2,oscore,json-dns_message,0.9276680264286217,0.8824667371792657,0.8824667371792657,0.8824667371792657,0.9454512658931025,0.9504841271157473,0.9504841271157473,0.9504841271157473
p2,oscore,cbor-dns_message,0.9335781443012461,0.885639790946153,0.885639790946153,0.885639790946153,0.9424352132276278,0.9487227202003305,0.9487227202003305,0.9487227202003305
p2,oscore,cbor-dns_cbor,0.9128431736412088,0.9004083467330579,0.9004083467330579,0.9004083467330579,0.8727936300476031,0.8766996407432212,0.8766996407432212,0.8766996407432212
p2,oscore,json-dns_cbor,0.9106581348878097,0.9009720984628581,0.9009720984628581,0.9009720984628581,0.8760503584990247,0.8754303615242829,0.8754303615242829,0.8754303615242829
