,,,,-schc,-schc,-schc,,-schc,-schc,-schc
,,,,,-min-rules,-peer-based,,,-min-rules,-peer-based
,,,,,,,_b64,_b64,_b64,_b64
setup,protocol,formats,,,,,,,,
d2,coap,json-dns_message,100.0,,,,99.9696308821905,,,
d2,coap,cbor-dns_message,99.9950337509255,,,,99.99855174325756,,,
d2,coap,cbor-dns_cbor,100.0,,,,99.98631954768784,,,
d2,coap,json-dns_cbor,100.0,,,,99.98338275884718,,,
d2,oscore_base,json-dns_message,100.0,90.42001647110935,89.7569473276235,85.66093647827215,100.0,100.0,99.98979814909276,82.51164689379434
d2,oscore_base,cbor-dns_message,100.0,90.57361799909917,90.97176054438162,81.22929744767825,99.98739548366726,100.0,100.0,82.80042075452225
d2,oscore_base,cbor-dns_cbor,100.0,96.07721523700135,96.20784231972792,91.86296121872296,100.0,100.0,100.0,70.71923717546707
d2,oscore_base,json-dns_cbor,100.0,96.36793497896872,96.49302560719973,91.09633114133686,99.99313265422913,100.0,100.0,72.88338688422343
d2,oscore,json-dns_message,100.0,90.20162273432841,90.16481726426375,72.49102802514271,100.0,100.0,99.99855392068255,85.62042931909144
d2,oscore,cbor-dns_message,100.0,90.9111087684307,91.01518283942285,72.2738318710165,99.99130211341878,100.0,100.0,85.10010512569949
d2,oscore,cbor-dns_cbor,99.99307899776102,96.1697406170624,96.17457315481298,74.36973361069803,100.0,100.0,100.0,70.82859846519428
d2,oscore,json-dns_cbor,99.99401010010061,96.38458328671362,96.49816563499337,73.26850969978163,100.0,100.0,100.0,72.27028655885654
d2,coaps,json-dns_message,100.0,90.28444869506616,89.52274245161406,69.78600122855664,99.9488352185059,100.0,100.0,89.47303151138726
d2,coaps,cbor-dns_message,99.99103317724419,90.53820282737108,90.21064855751607,70.97414770865095,99.95125214807601,100.0,100.0,87.8527137573576
d2,coaps,cbor-dns_cbor,99.94554184283724,96.07019459015076,95.9726280037261,73.33579657306018,99.94702411227742,100.0,100.0,73.57787740441843
d2,coaps,json-dns_cbor,99.95191761179167,95.90682223027767,96.07134036089428,72.11508473106505,99.90531370184253,100.0,100.0,80.13768108451865
d2,https,json-dns_message,100.0,,,,,,,
d2,https,cbor-dns_message,100.0,,,,,,,
d2,https,cbor-dns_cbor,100.0,,,,,,,
d2,https,json-dns_cbor,100.0,,,,,,,
p2,coap,json-dns_message,100.0,,,,99.99124288205581,,,
p2,coap,cbor-dns_message,99.99504644790187,,,,99.9952023527374,,,
p2,coap,cbor-dns_cbor,99.99702898457402,,,,99.93711975417794,,,
p2,coap,json-dns_cbor,99.99802877981469,,,,99.98028345791283,,,
p2,oscore_base,json-dns_message,99.9632147218055,86.29421848518972,85.1064875962225,86.29421848518972,92.97249410043725,93.28026919453659,90.98055477363769,93.28026919453659
p2,oscore_base,cbor-dns_message,99.97119836538413,86.1595151785939,83.44063895990195,86.1595151785939,92.52815593335022,93.11857290208103,88.04126380097811,93.11857290208103
p2,oscore_base,cbor-dns_cbor,99.98609859388539,93.15791325789952,90.79844096742885,93.15791325789952,88.1032412248564,87.88267809785613,75.36066640971445,87.88267809785613
p2,oscore_base,json-dns_cbor,99.99400479131471,91.44430523071547,92.50189130937667,91.44430523071547,85.83682009203977,85.90720502509377,80.69373826390466,85.90720502509377
p2,oscore,json-dns_message,81.20939525282465,70.45142385470096,70.45142385470096,70.45142385470096,81.72709844316837,82.62808224252932,82.62808224252932,82.62808224252932
p2,oscore,cbor-dns_message,81.92654446683241,70.35233267018435,70.35233267018435,70.35233267018435,82.27810621979256,82.68487443957758,82.68487443957758,82.68487443957758
p2,oscore,cbor-dns_cbor,79.04134187733688,74.65453058081276,74.65453058081276,74.65453058081276,73.33922053728386,73.10143409541314,73.10143409541314,73.10143409541314
p2,oscore,json-dns_cbor,77.6622939107011,74.30315391277128,74.30315391277128,74.30315391277128,71.87501653690363,70.69653010520769,70.69653010520769,70.69653010520769
p2,coaps,json-dns_message,79.9636563277588,69.4922492204932,69.4922492204932,69.4922492204932,79.68708503973507,82.4268493087637,82.4268493087637,82.4268493087637
p2,coaps,cbor-dns_message,81.49213744367817,70.19585143053955,70.19585143053955,70.19585143053955,81.20368816924584,84.459387650027,84.459387650027,84.459387650027
p2,coaps,cbor-dns_cbor,83.54942190587926,74.82758463583956,74.82758463583956,74.82758463583956,75.77890586204363,75.10478265403012,75.10478265403012,75.10478265403012
p2,coaps,json-dns_cbor,78.13093079295447,74.06925956033028,74.06925956033028,74.06925956033028,72.47299801496489,71.25583859184702,71.25583859184702,71.25583859184702
